Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Sandy	Mar 09, 2016	Yes	AMAZING PHONE	First of all i m using this phone. this phone is excellent for taking pictures.  i m hapy with this.  My all superb pic taken by this phone, upload to FB fof like & comments.  and  1 thnk now i already purchased it 4 times from snapdeal for my frnds.
2	Neena	Mar 09, 2016	Yes	Nice product	It is good phone
3	Anshul	Mar 09, 2016	Yes	Awesome Mobile	It's an Awesome mobile for a low budget customers.......
4	amoldaud8	Mar 09, 2016	Yes	Excellent Product	it is amazing experience... thank you snapdeal...
5	yv04112	Mar 09, 2016	Yes	Best mobile	My best and slim mobile phone... .
6	informer651	Mar 09, 2016	Yes	Excellent Product	it's good phone.but internal memory is very poor
7	ADI	Mar 09, 2016	Yes	Fantastic Product at the range	Really awesome product to buy. really satisfied with the product
8	Dish	Mar 09, 2016	Yes	Good product	Item is good as it is described.
9	A1	Mar 09, 2016	Yes	Micromax Canvas Spark 2 4 GB Black	resonable for this price
10	Mansoor	Mar 09, 2016	Yes	great product to buy from snapdeal	its an awesome mobile in that price, snapdeal really made it on time
11	anupama23.sunil	Mar 01, 2016	Yes	Good i can ho for it	Good product go for it
12	dvodickmark101	Mar 01, 2016	Yes	Kashif warsi	Perfect in this price
13	gnanavel619	Mar 01, 2016	Yes	good to use	nice product perfect price I love it I expect more from snapdeal
14	ssantu2302	Mar 01, 2016	Yes	chipest smart phone	chipest smart phone
15	jyotideysubham	Mar 01, 2016	Yes	Awesome,its really good	I love it..thnx sd
16	duwadkhan26	Mar 01, 2016	Yes	Good good phone	Very good good
17	dhruv	Mar 01, 2016	Yes	good product	good job by courier and company'
18	a2zafroz	Mar 01, 2016	Yes	Best fone in this range	Best fone in this range
19	good	Mar 01, 2016	Yes	Very Satisfied	Good Mobile No Hanging Problem Very Comfortable To use
20	mv	Mar 01, 2016	Yes	cheap n best	quick delivery
21	iamramesh1989	Feb 23, 2016	Yes	Excellent Product	good mobile
22	mshafikmomin	Feb 23, 2016	Yes	Excellent Product	this is good price snap deal is big bajar
23	hemantpatilindia	Feb 23, 2016	Yes	Good Product	Good product
24	archana	Feb 23, 2016	Yes	very good phone in this price	i liked the phone very much i was not expecting dat that this phone to be sooo gud, camera is also good
25	RAJESH	Feb 23, 2016	Yes	VERY GOOD MOBILE PHONE	EXCELLENT MOBILE PHONE
26	debashish p	Feb 23, 2016	Yes	Good service...	I am happy with service...
27	Mr. Kaushik	Feb 23, 2016	Yes	Amezing product	super fast delivery my experience very good for this site.
28	parthamlp	Feb 23, 2016	Yes	Excellent Product	Nice phone
29	sanjaypurohit391	Feb 23, 2016	Yes	Excellent Product	Spark 2 is Very Nice phone
30	dhana	Feb 23, 2016	Yes	very good product	Very nice itom
31	manishsetia3	Feb 13, 2016	Yes	Good Product	bdia ek dum jhakkas
32	bkdaas	Feb 13, 2016	Yes	Nice phone with good performance	Pros - call quality , overall performance Cons - 4g not available
33	Deepu	Feb 13, 2016	Yes	nyc. n good looking	very nyc looking  good camera quality  veey nyc ips display  but vey important  is price  m Awosome......
34	Babua ji	Feb 13, 2016	Yes	Canvas Spark Good Handsate	Nice handsate ram and rom best camra and batrrey good looking perfect canvas sparkQ380
35	Salman khan , likes Micromax	Feb 13, 2016	Yes	Miromax canvas spark 2	Its really a good phone  Its back camera is good but Its front camera is average, but almost its a great phone at this price
36	kunalsengar32	Feb 13, 2016	Yes	Excellent Product	best mobile
37	arch	Feb 13, 2016	Yes	nice, worthy for our money	Internet is bit slower
38	sonu yadav	Feb 13, 2016	Yes	i would like	nice phone
39	Tasaul moni	Feb 13, 2016	Yes	nice phone at this budget	Its a good product .good disply quality.i recomodet to buy this product whose budget near 4000..
40	gourab	Feb 13, 2016	Yes	Nice phone	This is a nice phone in low price.
41	lalsant774	Feb 10, 2016	Yes	Excellent Product	best phone micromax
42	Sanjeev K Singh	Feb 10, 2016	Yes	Its good as price is concern	screen and battery backup is upto mark camera should be more improve
43	to get invoice bill hiw i can get bil	Feb 10, 2016	Yes	good service	Good produced good delivery by snapdeal But I wan knw how to get invoice bill
