Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	abhi	Mar 08, 2016	Yes	Awesome smart phone	Awesome smart phone
2	Yogesh	Mar 08, 2016	Yes	Good app must download	Very good app I got delivery within 12 hour
3	ratanprakashverma	Mar 08, 2016	Yes	Good Product	Awesome product a d delivery
4	gulshangoyal001	Mar 08, 2016	Yes	Excellent Product	bst camera phn
5	akshaybeniwal.beniwal	Mar 08, 2016	Yes	Excellent Product	good product in budget. and quick delievery was made. thank you snapdeal.
6	sry707	Mar 08, 2016	Yes	Excellent Product	thanks for snapdeal good delivery and better products I'm very very happy in this mobile I suggest for all buy this mobile and Happy
7	pawan	Mar 08, 2016	Yes	perfect for me	nice price with better phone
8	sanju96indian	Mar 08, 2016	Yes	Good Product	amazing phone at this price range.value for money mobile
9	prabasiru	Mar 08, 2016	Yes	mobile good	Good job for snap deal but please extent Ares 603108
10	nitthiyan93	Mar 08, 2016	Yes	Excellent Product	gud one...used most
11	Mann	Mar 06, 2016	Yes	Nice ph in this price	Phone works fine, no issues till now more than 7 months
12	Joshua	Mar 06, 2016	Yes	Product is Good	Worth Of  Price
13	shilpa	Mar 06, 2016	Yes	spark is awesome	its awesome
14	pushpendra kumr	Mar 06, 2016	Yes	very good mobile	very good mobile for this price
15	manas	Mar 06, 2016	Yes	Very good Product	this phone is very good. quality of camera also better than expected
16	arindamghosh411	Mar 06, 2016	Yes	Excellent Product	i bought this phone and this is so good
17	verma.kuldeep18	Mar 06, 2016	Yes	Excellent Product	this is more nice product and model than I imagined before buying.. nice service
18	Abhai	Mar 06, 2016	Yes	Nice product	very good mobile in this price range & having all important feature. Battery life is also good.
19	akb.123.007	Mar 06, 2016	Yes	Good Product	AWESOME IPS LCD With gorilla glass 3 nice camera quality
20	vivek	Mar 06, 2016	Yes	loved it so much.....awesome	Micromax is giving good handset in such a low price.....all falilities are perfect.....it have very good look and slim body.......i love micromax mobiles
21	pravanjanbhoi9	Mar 03, 2016	Yes	Excellent Product	awesome product on dis app or site
22	Jay	Mar 03, 2016	Yes	Good phone	This mobile very super i like tis phone
23	Pabi	Mar 03, 2016	Yes	Very Nice.	The mobile is very nice. So happy to buy this product and with good Discount.
24	mayanksinghfri	Mar 03, 2016	Yes	Excellent Product	great for a gift to my sister
25	Sisir kumar	Mar 03, 2016	Yes	Good product from micromax	The product i ordered from micromax was really good one. The performance of the mobile is very nice, and the best thing is lots of pre-loaded software's are there. The overall experience was good. The worst thing is that after 4 months of purchase i didn't get cash back of 10 % from SBi credit card. I will never purchase from cash back waited provided by Snapdeal in future. Very worst C care service.  Sisir
26	jazzpradhan17	Mar 03, 2016	Yes	Micromax canvas spark	It's awesome products micromax canvas spark like it
27	micromax	Mar 03, 2016	Yes	canvas spark	good android device in this price
28	Bunnu	Mar 03, 2016	Yes	Best phone in this price	prons:- -lollipop  -game work fine -camera is good  cons- -graphic error not proper in some games -performance is average -mic in calls
29	sunil	Mar 03, 2016	Yes	nice phone .............................................	micromax canvas spark 8gb nice phone .good camera.i gifted phone to my friends.my friend was very happy.seller service  good .
30	RajaShekar K P	Mar 03, 2016	Yes	Micromax Canvas Spark 8GB	Good product
31	snehasis mohanty	Mar 02, 2016	Yes	mr snehasis	Awesome product and service of snapdeal was also very good .i got dis prod in only 2 days
32	sandy	Mar 02, 2016	Yes	good service of snapdeal	Its nice product and snapdeal service is very impressive
33	Piku	Mar 02, 2016	Yes	This called perfect one...	awesome phone in this price.........and its camera is offfff superb
34	saanusslover	Mar 02, 2016	Yes	Excellent Product	very nice mobile. price is low.
35	me29mahendra	Mar 02, 2016	Yes	Best phone under 5k	I purchased it for 4999 in the 2nd flash sale in May,2015. Pros. Android lollipop v5.0 Decent icons 4.5GB storage 1.3 GHz quad core processor 1GB Ram Corning Gorilla Glass 3  Cons. Camera quality is a bit low Battery backup is not so good No upgrade to Lollipop 5.1 Sound is low  Overall it is the best phone under 5k and I am satisfied with this product and after 1 year of use it has no complaints.
36	ramesh	Mar 02, 2016	Yes	about Micromax canwas hd	This set is very good and its speed is also good
37	ayyappanbadri	Mar 02, 2016	Yes	super phone	Worth able price.. nice spec
38	mahfuj	Mar 02, 2016	Yes	Micromax Canvas Spark 8GB	Micromax Canvas Spark 8GB ... good
39	chakradharpadhi1	Mar 02, 2016	Yes	CHAKRADHAR	Nice mobile
40	Rakesh	Mar 02, 2016	Yes	Look great	It look great and it give lots of functions on very low price.
41	parkavirajans	Feb 28, 2016	Yes	Value for money	Nice product
42	Awesome phone in this price range	Feb 28, 2016	Yes	Awesome phone in this price range	Awesome phone in this price range
43	mohandp12	Feb 28, 2016	Yes	Good phone	Average quality for user
44	vikkykumari	Feb 28, 2016	Yes	nice one mobile	amazing h at best rate
45	s_sharma.91	Feb 28, 2016	Yes	It's a average product bcz the processing is average	It's a average product bcz the processing is average .
46	prasher.ashish	Feb 28, 2016	Yes	Value for money	Will not be able to find a better phone in this price range...
47	toptraders19	Feb 28, 2016	Yes	God delivery	Good phone
48	amarpatel.ap90	Feb 28, 2016	Yes	Good product	I callected mobile only 3 day  And safely  Good service snapdeel thank you .
49	shalusolanki.vds21	Feb 28, 2016	Yes	snapdeal rockszz :D	best phone ever .....without any problem ......
50	fcknggrl857	Feb 28, 2016	Yes	Product is good in that range.thanku snapdeal	Product is good in that range.thanku snapdeal
51	Krishnan	Feb 27, 2016	Yes	Great mobile at this price range	Great mobile at this price range
52	Good	Feb 27, 2016	Yes	Good Product	Good Product
53	nagdeee	Feb 27, 2016	Yes	Simply superb,,,hand set,,nathing like anything ,,,	100% money value,,  using common man very well,,
54	Ashy Wolverine	Feb 27, 2016	Yes	Cheap and good	Nice built quality. Grips well on hands. Vivid display that is worth the money.  A good value for money overall
55	prabhaitech	Feb 27, 2016	Yes	Good product	I received product in just 5 days
