Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Salam	Apr 01, 2016	Yes	Asus Zenfone 2 Laser 5.5	A smooth functioning , ease of operating , lot of apps preloaded.
2	Gaur	Apr 01, 2016	Yes	Hitin kunar	Hi very good phone in this amazing price
3	Shane	Apr 01, 2016	Yes	Asus phone	Excellent phone, good battery life.
4	Ashi	Apr 01, 2016	Yes	excellent product	Excellent product for mid range phones
5	rahul	Apr 01, 2016	Yes	Awesome phone with on time delivery	Awesome phone with on time delivery
6	*****	Apr 01, 2016	Yes	Great Phone	Great phone at great price
7	Krish	Apr 01, 2016	Yes	Good perfect	Good fucher and best qulatiy
8	Mayur Kumar	Apr 01, 2016	Yes	5 Stars for Asus Zenfone 2 Laser 5.5 16GB 3GB RAM	Those who are looking for best mobile in low price.. this is the right choice. Processor, Memory, RAM, Camera, Battery. Phone got delivered in 2 days. Happy to have this phone Best Best Best Best
9	trinadh	Apr 01, 2016	Yes	good phone	good battery backup
10	Nice	Apr 01, 2016	Yes	Good One to Have in Hand	Very satisfied with the product. Hope to buy more product in the near future.
11	Hitesh	Mar 18, 2016	Yes	Asus is best ever.. go for it.	Asus ZenFone 2 laser 5.5 is very attractive and impressive product. Display is totally HD. Touch is wonderful. Performance wise best. Battery is good. Look wise attractive. Some of apps are installed. RAM 3gb with 1.5 ghz Octa core processor. Very interesting and in budget with reasonable price. Go for it. I recommend.... Asus rocks.....
12	debu	Mar 18, 2016	Yes	perfect phone	this phone is amazing with reliance 3g showing 6 mbps downloading speed while tithering as mobile hotspot , camera is not so good, as digital noise  in low light photo overall perfect for value as compare to lenovo k3 note infocus etc
13	Alagar	Mar 18, 2016	Yes	Good Quality	Very Good......
14	viggu	Mar 18, 2016	Yes	overall worth buying	Good phone with nice processing speed
15	Nanananana	Mar 18, 2016	Yes	Nanananaba	Nanananana
16	Niraj	Mar 18, 2016	Yes	Good service	Good service, i have got my phone in perfect condition 2-3 days before the expected delivary date.
17	Niks	Mar 18, 2016	Yes	Nikhil Telang	Delivered Time is to late
18	Deven	Mar 18, 2016	Yes	Good product	Value for money, nice bundeled, missing earphones.
