Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Shashi	Mar 29, 2016	Yes	Nice Phone in cheap price	I bought this product (Asus Zenfone 2 Laser ZE500KL 4G 16GB) a long 5 month before. I can say it is worth of money. Battery backup is also good if you are using it with normal incoming and outgoing calls. If you use internet, googlemap, etc, then battery will finish in 8 to 10 hours, so I can say battery backup is also good when you compare with other products & prices.  Snapdeal ships the product with proper way, so need to think for shipping issues as well when using snapdeal.
2	dheerajcivil503949	Mar 29, 2016	Yes	Good Product	nice phone
3	syria.mandal	Mar 29, 2016	Yes	Good Product	gd one... awesome handset
4	manju	Mar 29, 2016	Yes	Asuszen 500 kl good phone from best price.	Good phone will always get from snapdeal
5	rkursange94	Mar 29, 2016	Yes	Excellent Product	It's a awesome handset from asus,,,  most important think volume button given in back side of cellphone
6	pro phone	Mar 29, 2016	Yes	I love you for this phone	I am happy with phone and its in good condition.
7	yvm	Mar 29, 2016	Yes	excellent product	very excellent product
8	janu	Mar 29, 2016	Yes	Asus Zenfone 2 Laser	Asus Zenfone 2 Laser phone is very smart
9	jiteshgiri324	Mar 29, 2016	Yes	Excellent Product	perfect iteam at this price nice camera and battery back up and  I am very happy with this product
10	Satadipa	Mar 29, 2016	Yes	gud...nice	Nice...lyked it.
11	NICKY	Mar 07, 2016	Yes	FANTASTIC PRODUCT	ORDERED SMART PHONE DELIVERED LESS THAN THE EXPECTED DELIVERY PERIOD. I AM THANKFUL TO MY PAPA FOR THIS NICE GIFT.
12	prakash kamatar	Mar 07, 2016	Yes	Asus Zenfone 2 Laser ZE500KL 4G 16GB	excellent phone
13	guest	Mar 07, 2016	Yes	Gud product	All things is good but one cons about its batry very less backup
14	jonathan	Mar 07, 2016	Yes	Satisfies very very good	Good product
15	kingvinu0321	Mar 07, 2016	Yes	Excellent Product	well I fell in love with it When I first unboxed it, it is truly magnificent... ASUS keep it up keep making masterpieces like this... Muaaaah!!!
16	SAM	Mar 07, 2016	Yes	Nice phone in budget price	this is my third android device. and Best Of Rest!!!
17	shwetamittal81	Mar 07, 2016	Yes	Asus rocks snapdeal sucks and has lost faith	Asus is known for its quality products and the same was expected from snapdeal in terms of services provided(in which they have failed and have pathetic services and no coordination between different teams).sorry to say but my experience with snapdeal was pathetic and it's my request that there officers should atleast have time to talk to educated customers.God knows what they do to uneducated or unaware ones.
18	chiranjeeviyarramsetti	Mar 07, 2016	Yes	Disappointing	worest battery back up
19	subhandu77	Mar 07, 2016	Yes	Excellent Product	a very good Android 5.0.2 phone
20	jitendra	Mar 07, 2016	Yes	asus zenfone500	Amazing product.. Camera not so good as expected
21	KAZI MAHAMMAD ASADULLA	Feb 22, 2016	Yes	GOOD I LIKE IT	GOOD I LIKE IT
22	zsiddiqui45	Feb 22, 2016	Yes	Good Product	it's a nice looking phone will take time to adjust to camera features
23	kchavan448	Feb 22, 2016	Yes	Bad Product	Nice  phone selfie ............................................
24	Shobhendra	Feb 22, 2016	Yes	nice service	good service with great phone but headphone not received me with this product
25	Swapnil Patel	Feb 22, 2016	Yes	I liked it	Phone is good ... at this price With this quality it is better than what i spend...  Thanks ASUS and snapdeal.  Now lets hope it will give me long lasting performance
26	Nimish	Feb 22, 2016	Yes	asus  zenfone	nice phone
27	Divy	Feb 22, 2016	Yes	Wonderful experience	Great battery backup, amazing ZEN apps. Extra updates. Wonderfull experience. Wide screen.
28	piyush	Feb 22, 2016	Yes	best smartphone	best smartphone under 10k,only it take more than week to ship by seller
29	karthik	Feb 22, 2016	Yes	need to improve	it will be gud if u provide the headphones as u said
30	md.farook123	Feb 22, 2016	Yes	Very nice product but camera quality is poor	Nice product. But camera quality is poor.
31	shivakumar222	Jan 14, 2016	Yes	Good mobile with so many features..	Good one, nice picture clarity speed is good
32	nighthunter679	Jan 14, 2016	Yes	Great deal	Nice one....Thanks snapdeal
33	Lijo	Jan 14, 2016	Yes	Asus Zenfone 2 Laser	Super with this budjet..
34	tinku das	Jan 14, 2016	Yes	asus zenfone 2	Good product
35	Hemraj	Jan 14, 2016	Yes	Review of Asus Lazer Mobile	It is a great phone with good combination of features and powerful hardware
36	Sunil	Jan 14, 2016	Yes	ASUS ZenFone2 laser	Awesome cellphone..I am loving it..
37	Guest	Jan 14, 2016	Yes	Very good experience!	Very good experience ordering and receiving much ahead of time. Gifting this on time for the bed year was a special experience indeed. Thank you Snapdeal!
38	manish	Jan 14, 2016	Yes	Good product	This phone is a nice product if you're looking for sub-1000 range. I also purchased this since i prefer 5" to 5.5". Very quick delivery, kudos to snapdeal. Overall satisfied with this purchase
39	rahulsonawane335	Jan 14, 2016	Yes	About phone	All functions areee well working but sound is very low.
40	Shiva	Jan 14, 2016	Yes	Amazing mobile	Compir to Samsung zen2 is very  good mobile
41	chinna	Jan 01, 2016	Yes	GOOD PRODUCT	Its very good product,, and price also not expensive..
42	Murugan	Jan 01, 2016	Yes	A perfect smartphone	Good Product!
43	joseph	Jan 01, 2016	Yes	reasonable phone and worth for money	very good product
44	diocool444	Jan 01, 2016	Yes	Simply awesome great value for money	Really really a very great phone it's price segment  Great hardware quality and performance   10/9.9 .9 just for a little battery issue Since this is 5th Android phone of this year  But by comparing its really. a gret deal
45	babu	Jan 01, 2016	Yes	Asus zenfone 2 laser ze500kl 4g	Nice phone n amazing camera
46	gk	Jan 01, 2016	Yes	Asus Zenfone 2 Laser ZE500KL	Outstanding quality and functionality for the price of less than 10K. I am using NEXUS 4, and its as good, if not better in all areas. Would advise use of a cover, as its very thin and can easily slip out of the hands.
47	nEWbEE	Jan 01, 2016	Yes	working good so far	working good so far
48	rahul.tewari2711	Jan 01, 2016	Yes	Its nice to buy a product from here	The phone is working nicely.
49	BABAi	Jan 01, 2016	Yes	nice phone	Camera is vvvv. Good
50	uday	Jan 01, 2016	Yes	Asus ZenFone 2 laser	It is awesome handset.All extra features
51	kaisareazam077	Dec 26, 2015	Yes	Perfect phone for me	Nice features and most of all camera clearity.........
52	vineetbharadwaj33	Dec 26, 2015	Yes	Awesome phone	Nice phone..with great camera quality and myth about speaker sound is wrong loudness is pretty much and pleasant to hear....great value for money.. Must buy it
53	micromaxcanvasl.tb	Dec 26, 2015	Yes	Smooth and faar	Budget phone
54	sranjwe	Dec 26, 2015	Yes	Asus is really incredible.	asus Zenfone 2 laser is really awesome phone. The most i like in this phone is the laser focus. It gives the effect like a DSLR camera. Also it has removable battery, which is too good.
55	Prabu Adem	Dec 26, 2015	Yes	awesome and fine purchase	Except delivery time every thing is fine
56	Worth for money	Dec 26, 2015	Yes	Simply Supervvv	User friendly...camera quality excellent for both rear and front . Excellent battery withstanding...
57	NEERAJ KUMAR JHA	Dec 26, 2015	Yes	i am satisfied	this is the best way to buy any genuine product .  i am so much happpy with snapdeal i love you snapdeal.
58	Jayita	Dec 26, 2015	Yes	Awesome phone and very good product quality.	This phone very good and smooth device. When I use it I feel very comfort. The price of this phone also proper. I am very happy for this phone.
59	sam	Dec 26, 2015	Yes	very good phone	Excellent features with 2 GB ram good Canada and voice quality
60	abhishekmathurtmilife	Dec 26, 2015	Yes	Nice Gadget	Very nice cellphone. Handy and very quick. No hang problems :)
61	Vamshi Inaganti	Dec 21, 2015	Yes	Honest Review	Really a nice phone. good features for this price, Loud ringtone, good voice clarity, good data speed, good picture . Above all stable hardware wise,....     I'm loving it.  cons are no headphone,battery only 2070mAH 2500mah could be better
62	arbhanup11	Dec 21, 2015	Yes	Good Product with everything you looking in a smart phone.	Amazing phone and kudos to all the departments of snapdeal for the fast delivery of the order. Keep up the good work guys.
63	Lokesh	Dec 21, 2015	Yes	Good at this price...	Using it and ubtil now..did not get any problems. It justs overheats. Camera is good but not so good comparing other phones.
64	Aizul	Dec 21, 2015	Yes	Call before delivering	They should before delivering product if its coming before  delivering date
65	Hem	Dec 21, 2015	Yes	Asus Zenfone 2 Laser ZE500KL 4G 16GB	the product delivered in time as promised and in good condition
66	bhavidas	Dec 21, 2015	Yes	Asus Zenfone 2 Laser ZE500KL 4G 16GB	Nice to have Asus Zenfone , very much happy with snapdeal
67	Vikram	Dec 21, 2015	Yes	Best value for money phone.	This should be best phone in it's budget.  + point: Same feature compared to ZE550KL in small screen. - point: Speaker sound output is very low.
