Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	raunak_verma	Mar 26, 2016	Yes	Excellent Product	power packed phone with 4 gb ram
2	venkat	Mar 26, 2016	Yes	Asus Zenfone 2 ZE551ML 32GB With 4GB RAM	good looking and working good
3	dhruv_tyagi	Mar 26, 2016	Yes	Buy at your own risk	I bought this product almost a week ago. But got a dead phone instead. The matter seems resolved and I'll be getting a replacement. But that's not the point . I've read that another customer received a dead phone. So if you get a dead phone, get ready for waiting 2 weeks more before you get the phone. If not, lucky you. Can't comment on the phone as of now as i haven't used it yet.
4	neerajmaini463	Mar 26, 2016	Yes	Excellent Product	Very nice product it is a amazing and I love it in this price I get a excellent phone with 4gb ram it's never hang I use also Samsung Galaxy Note and A7also but that get hang so many times but this product is the best in every thing thank you Snapdeal
5	gopaldavhale009	Mar 26, 2016	Yes	Good Product	its too good  i like it
6	rahulpawase76	Mar 26, 2016	Yes	Good Product	nice phone, nice look, must buy, 4gb model is awsome
7	yousuf	Mar 26, 2016	Yes	yousuf mondal	Asus Zenfone 2 ZE551ML 32GB With 4GB RAM. is good snapdeal. gojavas couer service goop compani.
8	vijay	Mar 26, 2016	Yes	ASUS Zenfone 2 ZE551M	extraordinary phone. .everything is perfect..i wl recommend this to everyone..one of the best smartphone.i love this phone and ASUS is a good brand
9	sam4865	Mar 26, 2016	Yes	Good phone	Best phone u can have. Good camera and lots of storage space.
10	Umesh Kumar Gupta	Mar 26, 2016	Yes	Best mobile in this price range.	Awesome mobile .....everything is good at the price range, only problem is too many pre -installed apps that consume RAM.
11	RKM	Jan 27, 2016	Yes	good product	Check your device.....if it hangs or not...if not then ur lucky....
12	A.K	Jan 27, 2016	Yes	Asus Zenfone 2 ZE551ML 32GB With 4GB RAM	Nice Product.
13	Prashant	Jan 27, 2016	Yes	Perfect phone asus	Only Battery consume more ...rest ..all perfect ..
14	pvishwakarma27	Jan 27, 2016	Yes	awesome phone	love this phone ,.........................
15	triveni	Jan 27, 2016	Yes	ASUS zenfone	Best mobile ,,,I have bought till..performance is the best
16	jeba.june	Jan 27, 2016	Yes	Nice to use...	Compare with other brand ASUS fulfill all my Need...
17	hussainbiabani	Jan 27, 2016	Yes	Asus Zenfone 2 ZE551 ML is a super Mobile	The best mobile in today's competition business at best price I love it.
18	Madhu	Jan 27, 2016	Yes	Awesom Asus	Am new to Asus  Easy to use, numerous options to handle  easily , Camera in Indor ntmuch gud bt in outdor xtraordnary ... sped Ram nd Procesor s super .... 2weeks usage nt felt any laggngs ... Inch takes a major look bt litl hard  fr shrthanders ....  Much slim gud lukg  ... simply awesome
19	dashy	Jan 27, 2016	Yes	Asus Zenfone 2 ZE551ML 32GB With 4GB RAM- BEST PHONE IN THIS RANGE	ASUS COMES UP WITH ANOTHER FANTASTC PHONE. NOT GOING MORE INTO THE TECHNICALITIES. ITS A NICE DEVICE..
20	jack770032	Jan 27, 2016	Yes	nice product	Hey ASUS is awesome...with its 4gb ram..the phone runs without a lag...and yes would suggest everyone to purchase.if they are planning to get a new phone..but little disappointed with the battery life.
21	Fakhruddin	Nov 30, 2015	Yes	Nice phone	It is a really good phone in this price range, from touch experience, screen size, screen visibility, battery performance, to Zen UI, I don't have any thing to complain about.
22	sharjeel	Nov 30, 2015	Yes	Awesome phone	Very fast , good battery life, camera  is also  very nice ,  got delivery within 3 days after ordering. Performence is excellent, processor is very fast, apps provided are very unique
23	raju	Nov 30, 2015	Yes	Multi tasking	Its very good multi tasking fone for gaming social networking photography n much more
