Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	chetanrock6	Mar 21, 2016	Yes	Excellent Product	gr8 phn loved it n i suggested this phn to my frnds to but n they buyed it n r veryyyy heppi
2	zenfone	Mar 21, 2016	Yes	Asus zenfone 5	One of the best smartfone at this price group.. Anyone cant get better than this phone
3	Roshan	Mar 21, 2016	Yes	Asus zenfone	Good product for every one and thanks for snapdragon for great offer.
4	my3	Mar 21, 2016	Yes	Good, worth it	It reaches our expectations in speed, look, pic qualities... but it's volume is low and most common problem encountered is of sound system
5	manoj kumar	Mar 21, 2016	Yes	Asus Zenfone 5 16 GB gold	Awesone product . I am using this mobile since 8 month, Everything like Camera battery and sound is supererb.
6	rajesh	Mar 21, 2016	Yes	mobile phn	awsum product.. enjoying to  use it.. good product quality.. good features.. easy to order.
7	damu	Mar 21, 2016	Yes	Speed was good	Speed was good.  problem is  not giving headphones.  Ring volume low.  Over heat during calls.
8	Pawan	Mar 21, 2016	Yes	Mobile	Good product phone running fast  asus product always best
9	rahul kumar	Mar 21, 2016	Yes	this is good asus mobile	this is good asus mobile ,i have 3 this mobie  from snapdeal..................................
10	Percy S.	Mar 21, 2016	Yes	Zenphone 5	nice phone, at a really good price comparing to its older brothers. descent processor and other configurations. Definitely recommended.
11	Srikanth	Jul 29, 2015	Yes	Amazing Phone	Got this for my dad about 3 months back... His first smart phone... and he is in love with the phone
12	sunil shirsat	Jul 29, 2015	Yes	Service very good	i got on the spot offer too and i am happy with the processing of offer too. I got delvery in 2 days.
13	VIbhu	Jul 29, 2015	Yes	Good product & excellent SD delivery	The phone is pretty good with decent features. The only problem is battery drains fast while on wi-fi/ mobile data.  But the features on this for are comparable with any high end phone.  Would definitely recommend. The SD delivery was also pretty fast.
14	Sumit	Jul 29, 2015	Yes	Overall good phone	Good Phone at price, and delivery was very quick. I compared various mobiles before buying this phone, as per specs this phone is quite good.  Cons:  1> Handset size is little big, and not very much handy for me. 2> Comparing display and touch w.r.t. Sumsung s3 neo,  is not upto the mark.
