Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Vikram	Mar 29, 2016	Yes	BB Z10 grate product	Excellent product provided by ELECTRUM  thanks.
2	santosh	Mar 29, 2016	Yes	buy this to have really smart phone experience	It is really awesome ... got it for less price... specs are good... if you are bored with same old android... go for it...
3	akki	Mar 29, 2016	Yes	awesome phone	Bst phone ever.
4	Mv	Mar 29, 2016	Yes	Perfect	Pros light weight than iphone  Catchy colour Nice body  Smooth touch  It looks bombastic  Fast  Easy to use   Cons little expensive  Worth buying     Far better than i phone
5	Prabhu	Mar 29, 2016	Yes	Awesome	It's best phone ever nd it's perfect phone I used apple 5c I m not satisfied by Apple 5c. BlackBerry z10 is awesome.
6	puha	Mar 29, 2016	Yes	service	good service .timely delivery .go on.....
7	actorarun	Mar 29, 2016	Yes	simply mass	Super, mass, amazing, perfectly. Smart
8	inshah Hafeez	Mar 29, 2016	Yes	Excellent phone in this price	A perfect phone in this price. Does not hang even for a second. Best operating system. You can find a good number of applications on BlackBerry World. Completely charged battery lasts for a day.
9	Niraj	Mar 29, 2016	Yes	Perfect	It is amazing, i got at lowest price
10	baachii	Mar 29, 2016	Yes	good	Really good
11	yeshwant	May 13, 2015	Yes	nice ....	worth the price... charging is problem.
12	jim the runner	May 13, 2015	Yes	good	Good on delivery on time, but make it as fast as you can.
13	vivek dragneel	May 13, 2015	Yes	blackberry is the best	awsome screen quality,better battery backup than any other android phones,worth for money.
14	hemant	May 13, 2015	Yes	Bestest Ever	This product is awesome  i am loving it to purchase it from Snapdeal
15	selva	May 13, 2015	Yes	blackberry z10 black	blackberry z10 black mobile is perfect. using siply better then other company  mobilesbut that people apps so low. they try lot of apps then better to other mobiles.
16	Karthik	May 13, 2015	Yes	Not great not bad,,,,,,just ok	Awesome os, awesome display, awesome gestures, awesome design,good handling grip, ok ok camera, ok ok touch sensitivity, bad app store, very bad battery life, heats up a lot too much heat,,,,,,overall just ok ok mibile
17	sankit	May 13, 2015	Yes	Good Product	This is a good product, but the warranty has some issue in India. I am facing issue with the warranty. Seller here claims 18 Months warranty where as Blackberry India don't recognize it.
