Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	ved prakash	Apr 01, 2016	Yes	awesome phone	this phone is not compared by any os even ios also its os is too good ,fast ant smooth running , but due to lack of application update and lack of application in blackberry word the phone is not good so much ...
2	sujit kumar biswsl.	Apr 01, 2016	Yes	good,.but battery bacup good,,,,,only 8 hour	Net speed is very good....battery backup good....camera good......looking very good...
3	Anand	Apr 01, 2016	Yes	BLACKBERRY Z30	I am a regular user for BB from last 6 / 7 years. Once I lost my phone and I purchased Panasonic Eluga S. But it does not suit for me. I was searching for another BB with touchpad and came across BB Z30 on Snapdeal. This was within my price range also. The phone is really good with a very sensative touch screen. The battery life is also good as prescribed by co. The phone is very handy and looks smart in your hand. This is the only perfect phone for professionals who are more intrested in commercial operation than the silly apps that we use once in a while. The camera quality is also enhanced as compared to BB previous models. I will recommed for BB lovers to upgrade / change your old BB with Z30.
4	Dpk	Apr 01, 2016	Yes	The service provided is good	The mobile is the performing well..and the function of the mobile are great compared to other os like Android...
5	Prem Berry	Apr 01, 2016	Yes	blackberry z30	Looking.gud..wrkng awsme...no hanging.. speed speed
6	gj	Apr 01, 2016	Yes	AWESOME	its a really elegant phone, working smoothly. A bit heavy but that isn't much of an issue. all in all a good product.
7	chethan	Apr 01, 2016	Yes	good packing and better than andriod expect applications	Lack of applications only is negative about this.. everything is better than any android mobile..
8	santhu	Apr 01, 2016	Yes	awesome	mobile is awesome and delivery also  but how could i get activation password for enterprise account
9	mintu	Apr 01, 2016	Yes	Z30	It is a good product...BlackBerry I am happy with this product and thank you snapdeal
10	arnab45	Apr 01, 2016	Yes	BB Z30 mobile	Product is fine and as advertised. Price is surely the cheapest. Delivery period is longer than other online shops.
11	Sanjeev	Oct 12, 2015	Yes	Great Job	On time and quality delivery I AM HEPPY  with services
12	ranjith	Oct 12, 2015	Yes	Good Product	Good Product but dont sent with JV Express even snapdeal also not able to Track
13	catchme	Oct 12, 2015	Yes	BlackBerry Z30	good at first view, usage yet to be reviewed. Hopefully it will be good as i m happy with this
14	snapdeal super performs in toatal	Oct 12, 2015	Yes	super	total snapdeal members of all very good and good quality of purches in excellent
15	RP	Oct 12, 2015	Yes	Best business phone ever made	Just a swipe to the right and you can access your emails and lot more. No crappy email app like android and iPhones. Everything in one place called BB hub. Excellent
16	babu kumar	Oct 12, 2015	Yes	one of the best mobile	one of the best mobile in black berry guys it is awesome
17	satya	Oct 12, 2015	Yes	Phone is good	Phone is great but snapdeal does give warranty card proper everyone. . .
18	BlackBerry first time user	Oct 12, 2015	Yes	Try it...It's worth	A good product to try... A different os that performs exceptionally well The only let down is the app constraint...dont except apps like android and ios But a beast in its range apart from brand :D
19	rahul	Oct 12, 2015	Yes	black berry z30	This is by far the best Blackberry ever made and for my needs the best Smartphone on the market today. I use for work 50% and 50% personal. I've always loved BBM and voice/video chat is a fantastic addition.
20	Sharp	Oct 12, 2015	Yes	Awesome Phone..	This is my 3rd BB phone. I had nice experience in using it. Thanks SD for enhancing my experience.
21	Prem	Sep 13, 2015	Yes	Really worthy mobile :)	Good Sound clarity..Superb UI..Excellent features !! :) Looks awesome
22	kiiirish	Sep 13, 2015	Yes	Best phone than other brands	This is best phone ever in range of this price its better than iphone 5
23	DoM	Sep 13, 2015	Yes	If you need a perfect phone which has all the things that is required for a phone, this is it.	The best phone I have used till date. I have used, iPhone5, Mi4, microsoft lumia but by far this is what I will call a smartphone in true sense. Its the best phone by far and is able to do everything that you expect it from. Now it has android app support from amazone store which runs butter smooth. Network reception is amazing and the sound is so pure and natural.  If you are looking for a smartphone and not an entertainment box, go for this. The best keyboard, the best browser and the fastest mailing.
24	Hari	Sep 13, 2015	Yes	awesummmmmmmmm!!!!!	i love this phone very much......good build quality ...brilliant HD a-molded display i would recommend to all to buy this BEAST>>>>>
25	vivek	Sep 13, 2015	Yes	Worthy purchase	I got the phone a week back. The phone is real good. You'll fell what blackberry means when you simply hold the device in your hands. Most of the iOs and Android  apps and games are available through Amazon Appstore as soon as you update the phone to the latest available OS 10.
26	Parvinder Singh	Sep 13, 2015	Yes	Z30 Smartfone	Great Phone Awesome picture quality Great Processor and Battery backup
27	manish	Sep 13, 2015	Yes	BlackBerry z30	Awesome os, battery backup good, screen should be more crispy ( ppi>300) overall good product in a range of 20000 with BRAND VALUE
28	ravi	Sep 13, 2015	Yes	Amazing z30 received	Best device in the earth. Out of 100 only one negative feedback seen about this phone. Easy to handle, no lag or hang, best battery backup and I want to stay with my z30 at least 3 to four years forward. Last but not least, remember BlackBerry z30 is a productive tool not toy. Try it, I am confident you love it.
29	sundar	Sep 13, 2015	Yes	Perfect Product	Best phone in this price range from reputed company.
30	lumia 730	Sep 13, 2015	Yes	Blackberry	Better one in performance...I love it.... Best battery backup also...
31	Tinkerer	Aug 20, 2015	Yes	Good device from Blackberry	BB seems to be slowly getting back in the game. The device did not seem like anything i have seen before from them (in a good way). The price point is great! Its as fast as other Android devices out there. The user experience is not at the same level as Android (let alone iOS) but its getting there. Good going!
32	saurabh	Aug 20, 2015	Yes	bested phone	it is the bestest phone i have ever used. i bought it one month back and everything is beyond expectation. Battery life is great, camera is decent , performance is awesome , for look i want to say only one word sexy.. don't think much just go for it, u will never regret after buying this phone,, experience and new world really Blackberry is unbeatable and untouchable.. all in one device and z30 is materpiece from blackberry
33	Saikiran 09951242570	Aug 20, 2015	Yes	Sai	Snapdeal delivered a good product in time without dealy. Z30 is a wonderful product forever.
34	sagar	Aug 20, 2015	Yes	Osome experience	Osome phone with gr8 experience but have to improve the service
35	swamy	Aug 20, 2015	Yes	excellent phone	its really very good product from balackberry, I recommend this to people who are not interested in games and other entertain ment apps
36	Khushal	Aug 20, 2015	Yes	Stuck	I have a blackberry users for years now and this time trying moving away with iphone but no escape. i had to come back to blackberry as it saves so much time in using it for me as compared an android or iOS phone.
37	leohvf	Aug 20, 2015	Yes	Great thanks for Nice product	Lower price Quickly delivery Good package All is good
