Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Wanderlust	Feb 25, 2015	Yes	My companion	Been a blackberry user since 2009 and am extremely satisfied. Best business phone in the age of fancy phones that serve half the purpose.
2	Ravera Deepak	Feb 25, 2015	Yes	Perfect Beast	First of all i am not a BB fan or Never Used BB in Past this was my First BB Phone, I have used many Mobiles like Sony, Samsung Apple & HTC but i used feel something lagging. My Last Mobile was HTC ONE, it was a Night Mare to me & i recommend not to use of it. Coming to BB Q10 this was truly Amazing & Outstanding in Performance & Design we have talk specially about the Keypad its very ease and i love to type. Not only BB fans can use BB people like me can also become BB fans after using Such Amazing Q10. Don't for the Rest Just go for BB Q10 definitely u will love
3	Dhaval	Feb 25, 2015	Yes	Great Phone in good Price	Very Nice phone with touch and qwerty keypad. New phone with fast delivery.
4	as	Feb 25, 2015	Yes	I have been shipped a repaired handset	Snapdeal has shipped me a swapped handset. It has no warranty certificate.
5	KULKUL	Feb 25, 2015	Yes	Blackberry Q10	Awsm product go for it
6	Anuj Batra	Feb 25, 2015	Yes	Smart Choice for a Smart Phone	Smart Phone by Blackberry. Operating System is awesome. Does not need Blackberry Plan as Data Plan is sufficient to run all the Blackberry Apps. Smart Move by RIM. Always recommend to use BlackBerry Smart Phone. Overall I am happy with this product and its performance.
7	aghosht	Feb 25, 2015	Yes	very good	Q10 rules
8	Arbaz	Feb 25, 2015	Yes	Awesome Phone	I LIKE THE PRODUCT
9	ishu	Feb 25, 2015	Yes	For Blackberry lovers.	Highs Comfortable, compact design Great keyboard (if you don't have fingernails) Made for messaging Speedy performance Long battery life  Lows Display not bright enough Interface doesn't work well on smaller screen BlackBerry World still has mediocre selection of apps
10	Honey	Feb 25, 2015	Yes	Very good product	Very good product
11	Vis	Jun 07, 2014	Yes	Smartphone for Work	Battery is good in comparison to other smartphones. It's the best phone suited for pure Phone use. Google Maps are good to go for navigation, works welll. Most Banking are available and apps are low but it doesn't worry much. Videos viewing is not suitable but pictures are good. Overall I liked it from my Heart, I'm not a regular BlackBerry user. This is my BlackBerry phone and I love it
12	Aman	Jun 07, 2014	No	very gud product	Very gud service by snapdeal , and very gud product
13	Muds	Jun 07, 2014	Yes	good phone on good price	good phone on good price. you will never get anything less then this price.
