Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Genius	Mar 28, 2016	Yes	Phone is Awesome..!! But Cant say d same about After Sale Services..!!	Just Be Cautious bcoz of the After Sale Services..!!
2	NP	Mar 28, 2016	Yes	HORRIBLE AFTER SALES SERVICE	REPLACED FOC TWICE. 1) WITHIN A WEEK AFTER PURCHASE  2) WITHIN TWO MONTHS - GOT DELIVERY OF REPLACEMENT AFTER ONE MONTH. WHILE WORKING, FONE IS VERY GOOD. LAST FOR ONE YEAR AND NOW I HAVE TO PURCHASE A NEW PHONE. NOW TOTALLY DEAD. NOT BOOTING UP AND ALL MY DATA STORED IN PHONE MEMORY IS UNAVAILABLE.
3	pradip	Mar 28, 2016	Yes	super product	must have this product
4	Vijay	Mar 28, 2016	Yes	Good Product	Overall performance is good.
5	kabir	Mar 28, 2016	Yes	battary and camera very good	Aswm camera pic and video so good
6	Ram	Mar 28, 2016	Yes	Celkon A119Q by Celkon	Phone is good
7	CellBuyer	Mar 28, 2016	Yes	Like many Android, This too has manyBAD	Good Camera, Good Memory but a bad phone, it screen gets black on incoming call, It ringer gets silent on incoming call, and it mike gets mute on call, in brief, one can not talk properly. There is no solution by Android or Celkon. Search Google these problem and you see many such aggrieved users. Over all as a phone, a very bad product.
8	The ultimate e shopper	Mar 28, 2016	Yes	good product	phone: had good display, call quality, worked without any lag, camera quality is good                                                   seller: fast shipping and product received in good condition.
9	venu	Mar 28, 2016	Yes	Excellent	Best phone.Good performance and battery backup.
10	pradeep	Mar 28, 2016	Yes	Gud one	I was using from last 1year its working fine for me.
11	Ramesh	Oct 24, 2014	Yes	CellkonA119Q	I had purchased this product year ago.After 6 months i had got problems initially with battery and signal and now  with sound.Now not able to hear incoming calls. Looks to be either the product itself faulty or snapdeal itself promoting such.Also battery goes less than 1hour with internet use
12	dpp	Oct 24, 2014	Yes	Satisfactory buy	I am satisfied by buying this product on snapdeal
13	Dinesh	Oct 24, 2014	Yes	Celkon A119Q	Celkon A119Q found good and net speed averagely good. GPS navigator is not responding good. Camera is excellant. Overall good phone in budget.
14	MC	Oct 24, 2014	Yes	Celkon a119Q	Good product but no replacement cover available
15	FS	Oct 24, 2014	Yes	cutomer care	Be ware !!!!!!!!!!!!!! I have purchased a "Celkon A119Q Signature HD" on 24th June 2013 through Snapdeal web portal and feel proud to be a Indian brand owner. The phone performed exceptionally well till April'14 and then its speaker started giving problem and then it starts hanging, the frequency increased day by day. So, I deposited the phone at Diwakar Agencies Jabalpur which is about 100Km from my place Katni. They checked and said that it will take 20 days for rectification as it will go to company. On 7th July when I reached to collect the phone on their advice on phone, I found the problem still as it was. It shows very casual approach in dealing with customer complaints. The phone is still with the service center jabalpur/ Indore (as on 22nd sep2014). I also wrote several email to parent company at "contact@celkonmobiles.com" and "support@celkonmobles.com". Now they have stopped responding any more.
16	skritiesto	Oct 24, 2014	Yes	piece of junk total garbage	problems problems and problems low volume speakers low quality components mic problem charging jack problem  automatic switch off light sensor is not working and thats a bug check gsm arena 3g connection hard reset problem  loose screen  plz don't buy celkon again plz lost my 12k on this garbage used it for 1 year and sold on quikr@6000 although camera and screen was very good
17	dk	Oct 24, 2014	No	battery not avaible online store	there no spare parts and battery availbale on online store
18	SathCS	Oct 24, 2014	Yes	Celkon A119Q	Advantage : User Friendly Disadvantage : Hanging up some times
19	Vishwakarma	Oct 24, 2014	Yes	Budget phone for all.	its is in good condition and budget phone.I like it so much.
20	raj	Oct 24, 2014	Yes	good mobile @this price range.	Good mobile over all. Fast and lag free...  Light and motion sensors malfunction at times. Screen light keeps blinking constantly at times. And screen gets completely off during calls n will fail to turn on.
21	K.V	May 30, 2014	No	Nice Choice	in budget nice specifications. But, not so descent look. High in weigh. Average battery talktime. Personal use only, not for professional. Not goid for amature gadget geeks.  Highly recommended for entry level.
