Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	vasu	Jun 30, 2015	Yes	"I would buy this product again and again"	not so bad
2	Madan Mohan Reddy	Jun 30, 2015	Yes	Very Good Phone	Simply superb in this price range.
3	arul kumar	Jun 30, 2015	Yes	awesome look nd feature...	celkn campus a35k is best option in this price...nice look and awesome function and speed...touchscreen expirience very good...price comparetivly very cheap and from market... i would recommed all of you buy this phone...
4	Manoj Kumar	Jun 30, 2015	Yes	Good hand set for initiative budget.	Camera quality not looks as declared in specifications.
5	Ak	Jun 30, 2015	Yes	awesome app	awesome app,I like it ,great app good job.
6	bunty	Jun 30, 2015	Yes	Nice product	Good one .
7	kichha	Jun 30, 2015	Yes	most useful.Quality and shape are very good and nice.	clear sound , easy maintain, light weight totally i like this product. i have recommended me friends and relative  to purses as items..
8	phone user	Jun 30, 2015	Yes	Easy to use	nice phone
9	LAKSHMI PRASAD	Jun 30, 2015	Yes	Perfect. It doesn't get any better	it is good........and also improve  the charging capicity better than this
10	EXIX	Jun 30, 2015	Yes	CHEAP AND BEST	NEW MOBILE. SLIM AND LIGHT WEIGHT. LITTLE BIT SLOW PROCESS. BUT VALUE FOR MONEY. I LIKE IT . BUDJET PHONE. THANK U
11	narayana	Apr 21, 2015	Yes	easy and light weight	the phone has got lot of feature and light segment with less cost compared to others.It is idle for the regular and rough user like a common man.
12	ramesh2sun	Apr 21, 2015	Yes	Provides enough features for this amount	Good stuff
13	sankar	Apr 21, 2015	Yes	Good	Good experience. no issues.
14	DEEPAK	Apr 21, 2015	Yes	not best	Its memory was too law
15	sweety	Apr 21, 2015	Yes	good phone.	good phone with great features.
16	Vinayag.	Apr 21, 2015	Yes	Not bad for this price range.	Not bad for this price range. Battery backup is good. Camery is very poor.
17	Suman	Apr 21, 2015	Yes	besr phone	This is nice phone its work so fast    I like it .
18	joy	Apr 21, 2015	Yes	Average product	The quality of this product is average. The display of this product is not good.Internal memory is very low.
19	huzef	Apr 21, 2015	Yes	good phone but not very good	phone is good volume is superb camera is not well & process is slow.
20	suresh	Apr 21, 2015	Yes	best for this price..	this is the best product for cheapest amount...
21	Armaanveer Singh	Mar 17, 2015	Yes	Good	Very good product, in this price range... 4.4 android make this mobile up-to-date handset...
22	Puttu	Mar 17, 2015	Yes	good product	Low budget smartphone
23	KIRAN	Mar 17, 2015	Yes	low budget best mobile	One of the best low budget mobile
24	GUNA	Mar 17, 2015	Yes	Nice	Very cheap phone
25	Solipsist	Mar 17, 2015	Yes	Hands-down winner Sub-3000 rs category !	Apart from the usual cons of a low-cost bar it scores on the Android versioning that sees it ahead of most competitors... The sprd optimizer software does a neat job of keeping the inbuilt memory relatively clutter-free. Use Advanced RAM optimizer from PlayStore if you need more controls... The inbuilt file manager is absolutely superb with easy listings of audio, video, docz etc in an intuitive format. Unfortunately i haven't been able to find the app on PlayStore :(  Must buy as a secondary bar [like its namesake :P]
26	Gulu	Mar 17, 2015	Yes	Good  Phone	good but not so good ,if u installed more apps it will hang.....
