Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Neeraj	Apr 01, 2016	Yes	Best Phone at this Range	The battery backup and the camera are just awesome. Good processing and nice look with nice UI. Really impressive results....
2	arvind	Apr 01, 2016	Yes	realy good product	good product
3	Hemant Tripathi	Apr 01, 2016	Yes	Awesome phone, 2 gb ram is nice..	Superb phone with low range thankyoun snapdeal for providing this phone.
4	abhaysinghthakur29	Apr 01, 2016	Yes	Excellent Product	Very nice phone I am 100% happy thanks Snapdeal
5	sk shahul hameed	Apr 01, 2016	Yes	coolpad4g dazen	very cool for taking others and verynice and slim
6	CL MINA	Apr 01, 2016	Yes	Good  product  at reasonable  price	Camera  quality  and  battery  backup  is superior
7	aparna	Apr 01, 2016	Yes	good product	Please provide earphones also with the set.Product is very good.
8	tushaarv99	Apr 01, 2016	Yes	Perfect phone	Everything's great excellent battery backup
9	www.nizarbanu020	Apr 01, 2016	Yes	Excellent Product	Its a fantabulate product
10	mrbhaveshverma	Apr 01, 2016	Yes	Excellent Product	Awesome mobile phone
11	arivukarasan7	Mar 28, 2016	Yes	Good Product	good product not defective product
12	prasanta sarma	Mar 28, 2016	Yes	very nice..camera quality is very good	nice phone.good performance 4g suporter..
13	good	Mar 28, 2016	Yes	EXCELLENT Phone	Nice cool pad
14	COOLPAD IS VERY COOL TO BUY	Mar 28, 2016	Yes	VERY NICE MOBILE WITH 2GB RAM SPEED	GOOD EXCELLENT PERFORMANCE IN CAMERA AND BATTERY
15	Gfytrdgk jhguj	Mar 28, 2016	Yes	Gfdsahytrvbjj	Very good phone
16	adnaanchoudhary848	Mar 28, 2016	Yes	nice mobile	yes i am happy
17	FARMAN	Mar 28, 2016	Yes	FARMAN QURESHI	THIS IS VERY VERY BULTUFUL MOB
18	samking071999	Mar 28, 2016	Yes	Best smart  phone at this price	Iam using this phone from 1 month and i have  experienced of no ever lag on this phone.  2.My brother bought tjis phone first and i saw it and secondly i purchased it and ill say its an awesome mobile at this price  3.The coolUI software they have given i did not see that in any android mobile and many more options in this mobile that doesn't come in other android mobiles at this price
19	sumo santra	Mar 28, 2016	Yes	i am sumo santra	As a good product
20	itsmanishsahu	Mar 28, 2016	Yes	Good Product	nice phone nd betri backup very good
21	Neel	Mar 26, 2016	Yes	Nice phone at this price...	Thanks snapdeal ...
22	vikasmittal278	Mar 26, 2016	Yes	Excellent Product	eeceieved the product in very good condition as new
23	drabasak	Mar 26, 2016	Yes	Excellent low budget phone	Using the phone more than 7 months.. It never hang.. Excellent battery backup.. And the most important thing is it Camera... Just awesome... Loving it..
24	jeetujangid45	Mar 26, 2016	Yes	Good mobile	Very nice nd very good
25	Venkat	Mar 26, 2016	Yes	Coolpad dazen 1 is nice mobile	This mobile was very nice to using net and etc...
26	leo	Mar 26, 2016	Yes	AMAZING mobile	thanks snapdeal to deliver in time
27	ravi	Mar 26, 2016	Yes	Worth for money	Worth for money
28	vijayvp565	Mar 26, 2016	Yes	Excellent Product	coolpad mobile is best
29	vicky the bone	Mar 26, 2016	Yes	Coolpad dazen 1	Phone quality very very good camera sound r very nice phone System is good
30	rbprasad90	Mar 26, 2016	Yes	Good Product	this is very good product I like very much
31	R.k.	Mar 22, 2016	Yes	Best for this price	Very good phone at this price. Camera is a little bit disappointing otherwise phone is best in this price segment. - No Heating Issue - Good Battery Backup - Super Performance i.e. No Lag - CoolUI really cool - Good Sound Quality.        You must buy a back cover for this phone as its back panel is sensitive to finger prints and dirt.
