Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	bkr.dhiraj	Dec 17, 2015	Yes	It has good bettery back up and four sims slot but only for gsm user	I got it, this one is very good mobile for those who wants to use four sims in one system.
2	mahi	Dec 17, 2015	Yes	very nice phone must buy	worth fr money.4 sims working well.battery xtremly good.ultimate utilisation of phone
3	Hardy	Dec 17, 2015	Yes	Works perfectly	Works perfectly for my father. He was carrying 4 phone now its only one.
4	kittu	Dec 17, 2015	Yes	value for money	good in quality u can use three days in singel charge
5	Junaid	Dec 17, 2015	Yes	my  mobile ,i nvr aspected..	this mobile is on of the best mobile ...u cn grt everything in dis phn...major thing is dat it has 4 sim facility nd largest backup in chrging ... i m using dis frm a month bt i don't face any disturbnc ...i ordered 3 g five mobile fr my home members ... plz go fr it if u r  thinking abt charging ....  da packing was gud nd i heartly thnx to da snapdeal fr da delivery in correct time...dont by frm other shopping site without snapdeal ...best moble ever ...i nvr gv any comment in shopping site ,its my 1st time bcz i m impressed with snapdeal ..go fr it.
6	Nizam	Dec 17, 2015	Yes	Yes ...I  already use this product last 2 years ....& this time I  gifted someone	This is not a first time I had ordered .I always happy with snap deal ...Snap deal name is enough ...
7	Guru	Dec 17, 2015	Yes	G Five Multimedia Mobile W1 Four Sim	Good product, working fine and amazing stand by.
8	AMAN FROM KOLKATA	Dec 17, 2015	Yes	better for 4 gsm sim user in single mobile	clear mp3 song and good battery back up, network catching power is also good and other features are normal.
9	LUCKY	Dec 17, 2015	Yes	Simply Awesome	Very Nice Phone! It has all basic needful features with outstanding battery backup.
10	mukesh	Dec 17, 2015	Yes	Ausam 4 sim phone wid great battery backup	It's a good product for those who are using multiple simcards. Great battery backup . I charged it and after 7 days it's still more than 50%. Timely delivery by snapdeal and got it cheaper than market rate. Thanks to the phone and snapdeal for this product.
11	greati	Oct 09, 2015	Yes	So Nice mobile	Nice pH.and working great and battery back up is awesome, long life and body is also nice
12	ritesh bole	Oct 09, 2015	Yes	G five useful phone	This phone is very useful.the w1 phone  battery is longlife.
13	sachin	Oct 09, 2015	Yes	Great product	I have bought this phone for my worker its an awesome product....it was delivered within few days really snapdeal is the fastest delivery shopping website nice packaging was by snapdeal....snapdeal is the best for shopping...
14	dhanu	Oct 09, 2015	Yes	Amazing 4 sim phone	thanks to snapdeal amazing product its battery back up is too high of 3000 mah simply and high performance mobile is this always go ahead
15	Sandeep	Oct 09, 2015	Yes	Gfive	So good and helpful for the slim usage and good facility of the mobile
16	manjit	Oct 09, 2015	Yes	good	This is my first android device and I had a thrill in using this device. Good job in making this mas...
17	Good	Oct 09, 2015	Yes	Good	Good service and good product keep it up
18	Gopal	Oct 09, 2015	Yes	Very Good	its awasome. very good mobile in very chip rate.. i love this
19	sir my name is gufran baig	Oct 09, 2015	Yes	Gufran baig	I am happy very very. Happy good. Product I have. Got 2 mobile from 2time purcha sed
20	SATYENDRA SINGH RATHORE	Oct 09, 2015	Yes	very good mobile	very good mobile with so much nice qualities and in so less price
21	Arun kumar	Sep 04, 2015	Yes	Gfive.	No multimedia G five mobile. Normal Gfive mobile w1.
22	pathania	Sep 04, 2015	Yes	Good product	i like it very benifetd for middli belong family
23	Aman	Sep 04, 2015	Yes	Pocket me Rocket hai Bhai :)	Great product at great price . Perfect for business folks who need to carry a lot of sims
24	MOHAN	Sep 04, 2015	Yes	superb	super mobile in the world.............good battery,,,,,,,
25	PANDURANGAN don	Sep 04, 2015	Yes	snapdeal is always great	Superb and awesome
26	Nimesh	Sep 04, 2015	Yes	G'Five W1 Series Feature	G'Five W1 series is excellent. There are four sim card. Many futures are available. I very like it.
27	jhgj	Sep 04, 2015	Yes	good	Good
28	Mukul Kumar	Sep 04, 2015	Yes	Perfect. It doesn't get any better	Very Good
