Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	navy	Jun 17, 2015	Yes	good	Vrythn available
2	DHARMESH	Jun 17, 2015	Yes	NOT VALUE FOR MONEY	Many apps go to sleep mode and do not work in back ground also during a call internet stops working
3	Saurabh	Jun 17, 2015	Yes	very good phone at this price	the phone is real good deal at this price. Camera is awsome in day. Even in night the images are good. Though i did not like the video recording much. Lookwise it is very good. Very smooth operation.
4	Amit	Jun 17, 2015	Yes	Awesome phone	Great phone in this price range awesome camera no lag whatsoever only user interface needs to be improved everything else is just perfect.
5	Praveen	Jun 17, 2015	Yes	Superb Phone and timely delivery	Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp, light weight Cons: none
6	Onkar	Jun 17, 2015	Yes	Super Performer	Nice processing, graphics are too good easy to handle
7	bunty	Jun 17, 2015	Yes	nice	nice to shop with snap deal.
8	Nil	Jun 17, 2015	Yes	Fantastic smartphone at this price	fantastic smartphone at this price
9	Saurabh	Jun 17, 2015	Yes	Very functional phone	Very good phone at this price range. Touch is good. Camera is pretty good. Keep the camera in auto mode and it clicks nice photographs. Battery back up could be better. White colcour was an issue as it was getting dirt soon. It gives a very premium look.
10	moiz khan	Jun 17, 2015	Yes	Gionee Elife E7 32 gb Black	its very god phone in gionee hd clarity screen 3gb rom so fast camera clarity also good compare to samsung very gd product gioneeee
11	sudeep	Dec 29, 2014	Yes	features r great	must hain boss
12	mintu	Dec 29, 2014	Yes	best	Very Good
13	Subratreddogromy Panda``	Dec 29, 2014	Yes	Awesome experience without headset	With a nice delivery, I got best experience of the phone but I found within 2 months of using it that the headset is no longer working.
14	Sam	Dec 29, 2014	Yes	Superfast phone with great camera	Researched a lot about this phone when I came across ad on Colors channel sponsoring "Khatro ke Khiladi". After a month watching reviews finally bought this product. Initially received handset without playstore and couple of other software. I returned and opted to buy from local market considering wait time. Snapdeal you need to improve here. I had to wait for 2 weeks plus on entire process. I am writing this review after using handset for approx 4months.  Camera: The 16MP camera is highlight of this phone. I have tried using the camera in complete dark and the picture it captured is amazing. Also it has good number of options in settings. . It comes with interesting feature 'CharmCam' you can capture & delete one of the picture in the frame. Other feature- stamp, real time mood selection (iPhone feature).  Front 8MP (secondary) camera is equally good for all those who like taking selfies or video chatting. Compared with Sony Xperia Z which my wife has the blue, green colors in Sony are more deeper & rich than Gionee E7 but that shouldn't matter looking at the price.  Performance & Battery: 3GB RAM and 32GB internal memory will not let you down. It comes with 2500mAh battery which works for 1 day+. That's decent enough. A completely drained battery to charge takes approx 2-2.30hrs.   Looks: Most of my friends had took it in hand to check out which brand and were amazed at the configuration and Price. Its value for money deal. Go for it!  UI: Amigo is not that comfortable. I tried my hands on and gave up. Installed Nova launcher which is quite easy and fast.  Smart Gesture: Thought of sharing this as some of the reviews previously didn't cover. Found most of gesture interesting- Double screen tap for wake up screen, Using up-volume to pick call makes me easy to operate 5.5 inch phone with single hand, Shake phone to take call, when number is dialed & on connecting vibrates so you don't have to put on phone to ear till other party picks up (nice feature),   Service Center: this is important part so please check if you have service center in your city before buying. May be my bad luck the second piece I purchased from local market had thin line on screen and had to send to Delhi from Pune as service center here didn't had machinery to resolve. The entire process to get back/ turn-around time was 15 days. One good thing was main Gionee service center (Delhi) guys reverted back to my calls. I hope Gionee increases service centers with lesser turn-around time across India for gaining larger market.  Android 4.2 (Jelly Bean) is bit disappointing. Gionee promised for update but yet no signs…  Personally would recommend you buying this product. Value for money deal!!  If you like my review feel free to vote, will add up to having extra points 
15	Ruheena	Dec 29, 2014	Yes	Great product!	Got the best deal :)
16	Monil	Dec 29, 2014	Yes	Good specs in this price range	Its almost 6 months i bought this phone. Its fast blazing processor speed , good storage, best camera, average battery back up.   At that point of time when it bought it, this was a good option. but now after mi and various other brands this would not be the prefer choice.  Only concern is of late recently this phone did got hanged and restarted a couple of time.   Bottom line- I will rate it 3.5 out of 5.
17	Venu	Dec 29, 2014	Yes	False Promise	As per the offer they were suppose to give SD cash back of 10% (26950) which i did not get. Got 1000 which also was deducted. i would not recommend atleast on snapdeal
18	sureshkumar29	Dec 29, 2014	Yes	Amazing phone for cheaper price	Really loved the phone a lot. Never seen a lag till now. Highly recommended for peoples who like selfies. Amazing front camera clarity, started taking lot of selfies these days.
19	Gaurav	Dec 29, 2014	Yes	built for shooting	Awesome is one word that I can say about this phone in one word. This is a great phone no doubt and can beat nexus 5 or samsung note 3. The front camera is 8 mp bsi sensor with autofocus. The rear camera is 16 mp that can record HD videos at 30 fps. The video clarity and color reproduction is just amazing.  Coming to performance it have Snapdragon 800 2.2 GHz and adreno graphics with 3 gb ram that can handle any game of the world like butter. The screen is 5.5 inch full HD that comes with gorilla glass 3 Amigo Ui is only thing i feel reluctant to use as this lacks app drawer I bought this from snapdeal with discount and price is comparatively less than other online shopping sites. Thank you snapdeal..
20	jitu	Dec 29, 2014	Yes	best	best
21	bhola	Aug 28, 2014	Yes	Fantastic phone	I liked this phone very much...  i liked it's  features,  such as it's  camera,  internal space,  ram,  and everything that belongs to this phone....  thanks you
22	cj	Aug 28, 2014	Yes	amazing phone!	I can only recommend this phone. Hardware, looks, quality..everything great. I think its a really good bargain for this price. Its also really good for gaming and photography. I love taking panaromas with this thing. Keep in mind that its quite a big phone. The usual battery problem might be faced due to the large display. Nevertheless, it beats most of the leading branded phones available in the market. The only negative part was that the shipment took over 10days in my case. Other than that dont think too much, you wont be wasting your money for sure!
23	Ele Dsouza	Aug 28, 2014	Yes	Gionee Elife E7 32GB Black is Good phone	Gionee Elife E7 32GB Black is very Good smart phone, with all the features in it. Camera is also very good
24	Neo	Aug 28, 2014	Yes	Great Product	I have used Sony, Nokia, Apple and now tried Gionee E7 32GB and I am astonished to see the product and performance. Just awesome. Great looks, great processor, great viewing, better battery life and above all a smart looks.
25	Ullhas	Aug 28, 2014	Yes	good bargain	The processor is fast. good for gaming. sturdy and sophisticated look.
26	abhay	Aug 28, 2014	Yes	it is just awesome	Awesomeness is it beauty
27	A	Aug 28, 2014	Yes	Perfect phone	Best phone at this price. Great camera. Watch out for battery life.
28	Abs	Aug 28, 2014	Yes	Gionee E life	Superb phone and superb performance. Just installed nova launcher and everything is like nexus. Performance is much better than Samsung S5 and other high value phones. Highly recommended phone for the masses. Very very happy with the purchase.
29	Nesh	Aug 28, 2014	Yes	Awesome Device	Best option in this range. I am extremely happy with its performance. But still has some issues. Mobile Charger gets heated badly when put on charging nd headphones are also of average quality. Rest all everything is fine enough.
30	KKRISH	Aug 28, 2014	Yes	USED PHONE RECEIVED	USED PHONE RECEIVED
31	Raja	Jun 12, 2014	Yes	Really Good Phone	Best phone at this price
32	naresh	Jun 12, 2014	Yes	good mobile	its nyce to operate nd different
33	hemu	Jun 12, 2014	No	Radio ?	Everything is perfect except Radio app.  Has anybody tried radio app which is preinstalled on e7. Cause its not working at all in my e7.
34	Vishal	Jun 12, 2014	Yes	Device literally says - Hit me hard	the Device is so much powerful i tried throwing super   heavy apps and it keeps smiling and saying "try some thing heavy..". literally the heavy apps say 4 games are on multitasking and I don't have to worry. Just because the device has a SNAPDRAGON 800 chipset and monstrous 3GB of RAM.. was even not able to consume 2GB :P
35	chand	Jun 12, 2014	Yes	very good	Very good
36	bury	Jun 12, 2014	Yes	blazzing fast	I recommend to buy 32 gb ..its jus amazing. The performance is unmatched.Ui makes u desire lot more but as soon as u change it with other launchers it jus changes everything.
37	Karan Verma	Jun 12, 2014	Yes	Poor camera hardware	my mobile accidently fell down from table, backside of mobile coliding with floor. After that my whole phone was working fine with no damage but after some time when i open camera i got an error "CAN'T CONNECT TO CAMERA" So guys before buying this just be careful as it has its camera lens extended outwards of the body thus making it risker to get damage easily by just a normal fall.
38	garg	Jun 12, 2014	Yes	very good smart phone	Its a very good phone with this price range. Good hardware good sound good display and very fast in response. However android version is old. It should be updated immediately. With this price range there is no other phone is available.
39	Sujil	Jun 12, 2014	Yes	New breed of smartphone	The interface is different compared to other android phones. But, it performs well. The photo quality is really good. You can see people comparing this camera with the latest Samsung Galaxy S5 in internet. Worth for money. Unfortunately, the phone I purchased from Snapdeal was having some manufacturing defect. And I returned and purchased from local market.
40	Sagar Gondhali	Jun 12, 2014	Yes	Simply superb . Powerful yet Affordable	Hi friends I am writing this review after usage of 3 months . I've ordered the 32gb 3gb black version from snapdeal.    I am a technology freak college student . And as I was getting snapdragon 800 processor and 3gb ram for 28k I ordered it after doing lots of research about brand and quality .    No need to say about processor and ram . But both cameras in this handset are simply amazing . U can not expect better image quality . And handset deserves  slogan of 'made for shooting' .   Built quality is also very good . I was surprised after watching its look and built quality as it is on par with top handset makers (Better than samsung).   One thing I was curious was about Amigo UI which runs on andro 4.2.2 which seems much behind on paper when we consider there are lots of handsets available in market which run Kitkat . But Its own UI is quite clever in its own way . As it comes with its own apps and shortcuts . It is also very fluid with no lags or bugs as if now . Only one thing you may not like is that all apps are on desktop but you can use other launcher such as NOVA to make it traditional . So it really doesnt matter that it runs on 4.2.2 and considering specs it is capable of receiving update next to kitkat . Till now I've only got one update . So gionee is also taking care of its software .    Everything is just perfect on sheet but does it perform equally good ?  Answer is YES . I have tried every big game available there . eg . Amazing spiderman 2 , GTA vice city , San and reas , Modern Combat 4 , NOVA 3 , Fifa 14 , Deer Hunter , Contract Killand many more . This handset doesnt lag at all .       2500mAh batter sounds less . But handsets lasts like it has 3000+ battery . Thanks to customisations of gionee .      So I highly recommend this handset to anyone who is willing to buy powerful hardware and high performing handset with low tag .      My two friends have brought this handset after watching mine . and both of them are happy with it .
41	Vicky	Apr 19, 2014	Yes	Great Smartphone Atutu Benchmark 34500	Best phone ever, People Gionee is a good company which is producing good quality phone. I am certified buyer and I purchased Gionee E7 from Snapdeal. The are many reviews which mislead. Please igone all of them this is the best decision I ever made and I am very much happy with that. People trust on brands but Can you spends thousand on the brands or the quality decision is yours.
42	Rohit A	Apr 19, 2014	Yes	Awesome Phone	The UI of this phone is just awesome, its very user friendly, Nice design, good battery life, best camera quality and many more adjectives will be not enough to define this Gionee Elife E7.
43	josh	Apr 19, 2014	Yes	superb mobile	Fantastic camera... Good display.. But browsing so slow..
44	Akshat	Apr 19, 2014	Yes	Better then other in same range	Better then other in same range
