Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Nisha	Mar 20, 2016	Yes	Cell phone	Good excellent phone
2	yarrasaniravi999	Mar 20, 2016	Yes	Good one for low price	Very good budget phone...
3	mirzabaig384	Mar 20, 2016	Yes	Excellent mobile	Good condition and also super battery back up.
4	sathish	Mar 20, 2016	Yes	very good product	very good product, good battery backup
5	chalisudheer	Mar 20, 2016	Yes	Value for money	Value for money with big battery,but may be better if its available in white colour.
6	imran_vet	Mar 20, 2016	Yes	Poor quality	No automatic call recordings facility, poor quality of mobile case, back case didn't lock properly. Key pad quality is also poor.
7	prasanth005	Mar 20, 2016	Yes	A good mobile with this price tag	great battery backup is the highlight, plus its easy to use for older people.  one thing that i found is its bit heavy, but that is ok, u can manage.
8	dipak pathak	Mar 20, 2016	Yes	Gionee l800	good product & delever as per timeline
9	ketan.patel589	Mar 20, 2016	Yes	Good product in this prize	Battery backup is great in minimum 13 days maximum 14..........
10	mahatogautam01	Mar 20, 2016	Yes	GEO... nee L800	Ordered on 22nd December and got as a gift of Jesus on 25th.  Under 2500rs it's absolutely a value for the money product!!! At first I was considering to go for nokia then changed my mind to go for samsung but then at last after going through lots of POSITIVE reviews from different sites I finally ended up on this and after 5 days of using (Now My Baba's Phone) I am fully happy and satisfied with my decision. Everything is perfect in this phone except the two things which I didn't like..i.e.  #1 While scrolling up & down we have to press the buttons each n every time and #2 If in place of facebook and messenger there would have been only what'sapp then this phone might have got the privilege of going on side by side to any smart phone... Though it's possible even now also simply because of its TREMENDOUS battery power.  Thanks SD for this wonderful Dil Ka Deal!!!
11	ARIDHASU	Dec 27, 2015	Yes	Perfect phone. ...	Very nice and useful phone. .. Good clarity and clear display. .. Lang last battery life. .. Amazing mobile phone I'm very happy. ..  THANKS SNAPDEAL. ..
12	Koti	Dec 27, 2015	Yes	Good Basic Mobile	Good Basic Mobile, Battery Back up is very good.
13	grkgaurav	Dec 27, 2015	Yes	Best mobile phone	This is the Best phone in this prise..... 👌
14	A.s	Dec 27, 2015	Yes	Gionee long L800 champange	Gionee L800 ,what a superb phone with long Battery life charge it once and forget for atleast a week ,looks are also great with Good screen nice display .thank you snap deal .Good service and packing too.. Go for it without thinking twice best deal from Snap Deal.
15	Bharatt	Dec 27, 2015	Yes	Gionee Long L800 Black Champange is best	Gionee Long L800 Black Champange is best phone. Battery backup is super. once charged enjoy at lest 15 days.
16	abhishek	Dec 27, 2015	Yes	excellent battery back up normal phone	i have purchased L800 recently and very much satisfied....any body who wants normal feature phone with excellent battery back up....just go for it without rethinking....battery will last 5-7 days even with medium to higher uses limit
17	Dark Knight	Dec 27, 2015	Yes	Gionee Long L800 - Awesome Phone in its category	This Phone is awesome. Remember that its not an Android based phone. Its a basic phone. But what makes this phone outstanding is its BATTERY - 3000mAh. I bought this phone for my mother. She uses this phone only for calls and music and the battery streches to 30 days easily without any hassle. This is not a joke...seriously 30 DAYS. Every other feature is as mentioned on this Snapdeal page. Camera is not good though. It comes with a 1 year Brand Warranty. If you are looking for a basic phone for calls or msgs with a very good battery, then this is it. Also, its worth gifting to elder people who are not so good with touchscreen phones. Definitely worth buying. Go for it.
18	Aks	Dec 27, 2015	Yes	Enjoy the price	Good product ..and delivered in good   condition
19	LAXREN	Dec 27, 2015	Yes	****	Very good battery backup. But it has only 282.5Kb internal storage capacity. Also has a pre-installed Opera Mini browser, but it does not work. Overall it is a good phone in this price segment.
20	Er.jagdish raval	Dec 27, 2015	Yes	It's amazing product in this low price	Battery life is very long and Music performance is very best I like it
21	TOPIWALA BHAVESH	Nov 02, 2015	Yes	Best Mobile	GIONEE LONG L800 BLACK CHAMPANGE IS BEST QUALITY MOBILE THANK FOR SNAPDEAL
22	mast	Nov 02, 2015	Yes	wonderful phone	price below 2000 & all things best & battery back up is wonder ful
23	sonu	Nov 02, 2015	Yes	gud service	gud product sealed packecd product service also gud on time deliver
24	Rajdeep Alipurduar	Nov 02, 2015	Yes	Better than Nokia	Blindly  go for it. Considering  the price  this is  Best basic  phone ever.
25	Giridhar	Nov 02, 2015	Yes	best phone	i have bought this phone 2 nd time after a search for  long search of 1 month for a phone as secondary for me and  for my mom , its undoubtbly best phone among all below 3.5k feature phones like samsung 360, 3322 or nokia series phones in following aspects pros: 1. charge once forget it has a stand by for more than a month  2. whooping 3000mah batery lasts for 20 days for normal users and daily users can expect 10-14 days based on their usage  3: excellent call clarity and noise reduction .  4: loud speakers not loud as china made but worth  5:new user interface good for youth, elders may find difficult in beginning but later love it  6: strong built, mine last even after several falls just like nokia 1100 finally earphones and charger are of excellent  quality   cons:  no internal memory, memory card is must     just go for it without any doubt, surely you will love it either way and   you will like me for my review
26	Manish Tiwari	Nov 02, 2015	Yes	Good quality simply jva based phon.	Amazing battery life .particle 25 days ..... i have using to fullyloaded java best phon. Good sound quality.
27	goldy	Nov 02, 2015	Yes	Hppy tikka with lots of hppyness	My sis love that and giving money back For new purchase
28	Praveen	Nov 02, 2015	Yes	Product is value for money.	very happy with the quick delivery by snapdeal. Keep it up.
29	Pintu	Nov 02, 2015	Yes	Fantastic  purchase experience	On snap deal we got fantastic and great experience of purchasing mobile at low cost.Its really attract and we got the product on time.
30	sakthi	Nov 02, 2015	Yes	Gionee-L800	it is worth for every rupees,sound and screen very good,awesome battery back up...thank u Gionee...
31	Lakshay Kapoor	Oct 15, 2015	Yes	Nice phone	Nice phone in great price.I will recommend this.
32	Meet	Oct 15, 2015	Yes	Thanks snapdeal	Amazing battery backup, good sound clarity,
33	Anvinth	Oct 15, 2015	Yes	Perfect battery life	Good battery life.gionee l800.those who travel lot  can chooae this mobile
34	Tamal M.	Oct 15, 2015	Yes	Best Feature Phone in 2.5k	Best battery back up. (light usage:10 days moderate to heavy usage:3-5 days) Very good call quality. Everything is good except the camera but it can be ignored as no phone in this range has good camera.
35	Pintoo	Oct 15, 2015	Yes	Perfect phone	Very nice product with less price. Long lasting battery and easy to use.
36	Shalini	Oct 15, 2015	Yes	good ph	dis is a very good phone...its rough nd tough...it has fallen so many times from my hand but still its so tough phone
37	sakthi.mj1989	Oct 15, 2015	Yes	Gionee	Gionee Long L800 Black Champange  mobile is Super Super Super
38	It,s nice.	Oct 15, 2015	Yes	Reuireq features in affordable price.	Very much comfortable with it. Good battery backup.
39	lalit	Oct 15, 2015	Yes	awesome mob with excellent battery backup	fast delivery as well as awesome product...best mobile in this segment
40	nicpranshu	Oct 15, 2015	Yes	Satisfactory... so far	Using since last 1 week. Haven't recharged the battery yet. Since only 35%(approx) battery is used. Supports upto 32MB SD Card. So, if you wan't a backup phone or a budget phone then go for it.
41	bika	Oct 02, 2015	Yes	Nice one	I m happy to get this product at very low cost and very early
42	Lodhi Sahab	Oct 02, 2015	Yes	Lodhi	I am very   Happy to purchase Long 800 mobile
43	Suri	Oct 02, 2015	Yes	Very very good mobile for low budget.	Very very good mobile for low budget. battry capacity is 3000mah & sound quality is very good and many more features available in this mobile.
44	dayabhai	Oct 02, 2015	Yes	L800  good mobile	this mobile is very strong and good batery life
45	B K Borah	Oct 02, 2015	Yes	My review on Gionee Long L800 Black Champange	Best product. Now I charge this phone  once  a fortnight. Believe me.   It's true. Sound quality is also very good. It's torch is very good .But this phone does not show network's tower  location.
