Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	ABDUL	Mar 25, 2016	Yes	QADEER ABDUL	Very very good  services
2	cool.shivendrapratapsingh093	Mar 25, 2016	Yes	Excellent Product	really nice experience with this mobile..... best mobile
3	surajshirodkar143	Mar 25, 2016	Yes	Excellent Product	product is v gud battery bakup awesome i jst loved it 😍
4	nilzani06	Mar 25, 2016	Yes	Good Product	awesome. specially  battery backup.
5	Bholeshwar	Mar 25, 2016	Yes	Nice products	This is a good product  and bettery backup is good. Phone looking is nice and video quality is very good.
6	gionee M2	Mar 25, 2016	Yes	Good buy	No its satisfactory no complaints till today
7	ARUN	Mar 25, 2016	Yes	MOBILE FOR LONG LASTIG BATTERY	EXCEPT THE PHONE WEIGHT THE MOBILE WAS GOOD. ONLY THE MOBILE WAS TOO WEIGHT COMPARE OTHER MOBILE. IT WAS LOOK LIKE HAVING TWO MOBILE.
8	kv	Mar 25, 2016	Yes	Nice phone gionee	Nice battery and picture clarity awsm....internal memory good n phone using without any problms
9	dilip kumar	Mar 25, 2016	Yes	Good battery backup	Very good battery backup and clear camera
10	SUJAY	Mar 25, 2016	Yes	GOOD	GOOD AND BEST  I AM HAPPY PORDUCAT IS VERY GOOD
11	guru	Sep 12, 2015	Yes	good price  rate  this gionee m2	purchase by online received on 05-9-2015 iam using  gionee m2  smart phone battery is very good back up
12	basant	Sep 12, 2015	Yes	nice phone and delivery	nice phone having good features and camera and good service by snapdeal
13	BD Hnamte	Sep 12, 2015	Yes	Gionee M2 8GB Black	Owesome phone and genuine product. I like Gionee product and reliable and battery also great, processor and quodcore also great. I will buy it again and again
14	Narender Attri	Sep 12, 2015	Yes	Gionee M2 8Gb Black	its best product in gieonee m2 8 gb black long battery life
15	sank	Sep 12, 2015	Yes	goood	i m using since october.the quality is good and power cord is short. the battery ll last for long. thsnk you
