Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	dilraj	Nov 24, 2015	Yes	perfect phone	it is a good looking and stylish phone suitable for busy person
2	mnakara	Nov 24, 2015	Yes	one year done	no problems except that now battery life is half!
3	suraj	Nov 24, 2015	Yes	awesome	i must say awesm phone with full loaded apps and new features easy to use and  execellent look
4	Neeraj Saini	Nov 24, 2015	Yes	good battery back up	overall good performance....but after use of more than 8 months my phone book uploadation is slowed down.
5	anub 9790771366	Nov 24, 2015	Yes	Anub	Superb set so I've recommended n purchased 7  gionee M2 .for my friends. Value for money.
6	amit p. kacha	Nov 24, 2015	Yes	Gionee m2	Snapdeal is Superb.. Great deal. Thank you snapdeal
7	udit jain	Nov 24, 2015	Yes	GOOD LOOKING	GOOD
8	sharaf	Nov 24, 2015	Yes	Good	Good and smartest phone,good battery backup but front  is too low..
9	Ronak	Nov 24, 2015	Yes	golffffffffff	niceeeeeeeeeeeeeeeeee
10	Somu	Nov 24, 2015	Yes	The product is quite good.	Average
11	rish..	May 27, 2015	Yes	awesome phone	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices. If you are on minimum budget 10k - 15k then go for this. If you are concerned about the brand and status then no one can stop you from opting for other brands.
12	Div	May 27, 2015	Yes	What an awesome phone!!	This is my second smartphone and Snapdeal provided it at A very good price. Shopping was easy. The delivery time wad also short.  The phone also comes with two screen guards and a nice flip cover. In my second smartphone I was looking for good camera quality, long battery life, large internal memory, etc. In short I can state the phone features' as Pros: •Good camera and many preloaded features •long battery life •nice resolution •good memory •Good sound quality •Touch is good Cons: •could have been more stylish •less preloaded apps
13	nagendrababu	May 27, 2015	Yes	so good	Three times pressed  zoom is coming . gaming  problems.
14	Kaytee	May 27, 2015	Yes	gionee m2	Great phone,  good battery.. .i ordered by cod and it reached very soon.. Came with free flip cover and 2 screen guards.. Am happy
15	tarun	May 27, 2015	Yes	enjoyed shopping on snapdeal	Best, effective, speedy service. It was easily manageable. No
16	Nakkeeran	May 27, 2015	Yes	Exelent model of Gionee M2	Exelent function too long battery life. No any heat for long use also. I love it very much
17	YASH GUPTA	May 27, 2015	Yes	fine	good battery backup
18	sumit	May 27, 2015	Yes	The best phone we have experience with three phones.	Finest battery backup  High speed All features for a usefull smartphone
19	SUDIPTO	May 27, 2015	Yes	VERY GOOD PHONE IN ALL CATAGORIE	BATTRY IS TO GOOD AND SCREEN RESOLUTION ALSO THE PHONE IS QUIT BUDGET FREINDLY IN ALL CLASS,IT STAYS 3DAYS LONG AFTER ONE FULL CHARGING,
20	Champeswar Meher	May 27, 2015	Yes	Perfect. It doesn't get any better	The features provided in Gionee M2 white 8gb & gionee M2 black 8gb purchased by me recently from snapdeal,com are uncomparable from price view point, Undoubtedly Gionee is world class product & its performance is amazingly beyond expectation and satisfaction. Hopefully, Gionee will continue to launch such world class mobile phones in future without compromising the quality. Champeswar Meher, Bhubaneswar, Email- cpmeher@gmail.com,
21	Vinay Patel	Apr 07, 2015	Yes	Perfect. It doesn't get any better	It's good mobile and good service via snapdeal.  Thanks
22	jh Sam	Apr 07, 2015	Yes	Best	Best Product
23	dips	Apr 07, 2015	Yes	battery problem	My new mobile showing battery problems when inserting my existing SIM card but otherwise it is working fine!
24	suresh	Apr 07, 2015	Yes	waight is so heavy	bettry life according to 4200 mh not good . weight is more . look wise 20 % ok
25	mithoon	Apr 07, 2015	Yes	great batter back up..	i brought this to my father my fathers first smartphone. it runs good battery back up very go. calling loudnee is pretty good which is very much require as a mobile fone headphone provided is of good quality. display good with good veweing angle it has good processer mediatek. ram being 1 gb  camera is 8mp bt claraty is average on zoom and suitable for daylight photography. front is 2mp good for vedio chat. built is very good made up of plastick. put 4gb microsd card. as my purpose was not heavy gaming or net surfacing, this device is greate.  so i recommed and brought this handset for my friend. the one i purchase had jelly bean bt this had set had kitkat whichi is pretty good to work.  its very usefull smartphone for longlasting battery backup thoug camera bit low qualitu.
26	Deeps	Apr 07, 2015	Yes	excellent one	Good one....nice camera, battery backup excellent, nice model....loved it....
27	Praveen	Apr 07, 2015	Yes	Best phone with an outstanding battery b	This is the right phone for those who are tired of charging their phone everyday and in some cases at least twice or thrice a day.....  I've always wondered, why not manufacturers design a smartphone which lasts for more than a day or two, why do we have to keep looking for a charger every now n then. N the day finally came when such a phone with a huge battery was launched, which was like a dream come true.... :-D
