Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	khangaru	Feb 07, 2016	Yes	perfect shop	I like this deal. really quick and safe service
2	Pradeep	Feb 07, 2016	Yes	nice phone	great phone.... bought for my sister. Performance and design are  awesome...
3	pankaj	Feb 07, 2016	Yes	nice cool	Best
4	swetha	Feb 07, 2016	Yes	amazing	Perfect mobile for all uses.. Browsing, playing, chatting, call facilities everything are just perfect!! .wont get a better mobile at this price
5	sumit	Feb 07, 2016	Yes	best	Perfect
6	sham	Feb 07, 2016	Yes	perfect for me	Great features in low cost
7	Sandeep Kumar	Feb 07, 2016	Yes	Perfect. It doesn't get any better	It was a great experience to get item before time...
8	Manish	Feb 07, 2016	Yes	Gionee Pioneer P4 White	hello friends,  Gionee Pioneer P4 white is very good phone.it has following features- light weight beautiful design nice touch speed is ok
9	jai	Feb 07, 2016	Yes	i would buy another gionee mobile	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece.
10	Deep	Feb 07, 2016	Yes	Best Phone	It just awesome product in budget.
11	DR	Mar 18, 2015	Yes	Its fine	super mobile but back-up is poor
12	SANJU	Mar 18, 2015	Yes	HAPPY TO BUY THIS..	I BOUGHT IT ALMOST A YEAR AGO...AMAZING PHONE FOR THE PRICE..CAMERA IN DAYLIGHT WONDERFUL SO AS THE VIDEO RECORDING..INTERFACE IS SMOOTH AND FAST..ONLY PROBLEM IS BATTERY..IT COULD HAVE BEEN BETTER..OVERHAUL..VERY GOOD AND SATISFYING CHOICE...
13	Vijay	Mar 18, 2015	Yes	Average Phone	Average phone and use for home
14	Arghya	Mar 18, 2015	Yes	just awesome	Great.. ....better than any product in this price.....great camera;great performance.. .asphalt8 runs smoothly but don't know why modern combat 4fails to run. ......battery is very bad....but all in all go for it.. .
15	Hemant Sen	Mar 18, 2015	Yes	nice Phone	Nice Mobile Set
16	anoop	Mar 18, 2015	Yes	perfect for its price	Best phone fir its cost
17	Hardik	Mar 18, 2015	Yes	It is good phone and good features.	It is good phone and good features. But sometime it hangs. and difficult to firmware update. Less support from Gionee company. When talking it is heating ear. At snapdeal side it is good shoping way.
18	Varadharaj KArthikeyan.	Mar 18, 2015	Yes	Good	Mobile look is amazing. Features also ok within 10K. Overall good
19	aman the endurable	Mar 18, 2015	Yes	its awesome	I love this phone because it too easy to operate and the speed of this phone is fantastic
20	Amar	Mar 18, 2015	Yes	It's good	This my first android phone. It's performance is good.Device is light weight. Design is good. Picture clarity is good.
21	Rocky	Jan 26, 2015	Yes	Just Awwesome !!	This handset is very good at its price point. Its now running A4.4 KitKat and will get the updates coming. I'm very satisfied with it. The performance,sleek design, Camera, socials and browsing experience is so nice. Uget Screen guard and a very nice flip cover with it.
22	Jaiveer	Jan 26, 2015	Yes	Best product	I purchase this product in May 2014 and i satisfied with product.
23	Deepak	Jan 26, 2015	Yes	Average product	I have been using this mobile since last six months but battery performance looks slightly week.Product received as per specification displayed on website.with in standard delivery time. But one thing bill is not proper, feeling risk  to claim warranty when required.
24	Riki	Jan 26, 2015	Yes	Product Perfomance is very good	i have purchase it for my brother. He is very happy using the smartphone. Phone performace is very good plays HD videos as well HD games without any problem. baterry performance is averge.
25	rajasathish989	Jan 26, 2015	Yes	wow really iam appriciate the phone	very very good product camera,sound,applications veryvery super thank gionee
26	PANKIT K BHANDARI	Jan 26, 2015	Yes	That's Good Stuff	good
27	Jayant	Jan 26, 2015	Yes	Reached intact	Product not too satisfactory. Sound quality not good, signal catching tendency is very weak.
28	ANKIT SINGH	Jan 26, 2015	Yes	Perfect. It doesn't get any better	excellent phone! in this price range
29	Pravee	Jan 26, 2015	Yes	Good Product within budget	Received product bit late. Ultimate experience is nice..
30	lalit	Jan 26, 2015	Yes	its  good	Very good
31	Suresh	Dec 06, 2014	Yes	good phone in budget	good phone in budget
32	nadeem	Dec 06, 2014	Yes	goodj	Good at this price
