Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	khangaru	Feb 07, 2016	Yes	perfect shop	I like this deal. really quick and safe service
2	pankaj	Feb 07, 2016	Yes	nice cool	Best
3	swetha	Feb 07, 2016	Yes	amazing	Perfect mobile for all uses.. Browsing, playing, chatting, call facilities everything are just perfect!! .wont get a better mobile at this price
4	sumit	Feb 07, 2016	Yes	best	Perfect
5	sham	Feb 07, 2016	Yes	perfect for me	Great features in low cost
6	Sandeep Kumar	Feb 07, 2016	Yes	Perfect. It doesn't get any better	It was a great experience to get item before time...
7	Manish	Feb 07, 2016	Yes	Gionee Pioneer P4 White	hello friends,  Gionee Pioneer P4 white is very good phone.it has following features- light weight beautiful design nice touch speed is ok
8	jai	Feb 07, 2016	Yes	i would buy another gionee mobile	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece.
9	Deep	Feb 07, 2016	Yes	Best Phone	It just awesome product in budget.
10	DR	Feb 07, 2016	Yes	Its fine	super mobile but back-up is poor
11	SANJU	Mar 18, 2015	Yes	HAPPY TO BUY THIS..	I BOUGHT IT ALMOST A YEAR AGO...AMAZING PHONE FOR THE PRICE..CAMERA IN DAYLIGHT WONDERFUL SO AS THE VIDEO RECORDING..INTERFACE IS SMOOTH AND FAST..ONLY PROBLEM IS BATTERY..IT COULD HAVE BEEN BETTER..OVERHAUL..VERY GOOD AND SATISFYING CHOICE...
12	Arghya	Mar 18, 2015	Yes	just awesome	Great.. ....better than any product in this price.....great camera;great performance.. .asphalt8 runs smoothly but don't know why modern combat 4fails to run. ......battery is very bad....but all in all go for it.. .
13	Hemant Sen	Mar 18, 2015	Yes	nice Phone	Nice Mobile Set
14	anoop	Mar 18, 2015	Yes	perfect for its price	Best phone fir its cost
15	Hardik	Mar 18, 2015	Yes	It is good phone and good features.	It is good phone and good features. But sometime it hangs. and difficult to firmware update. Less support from Gionee company. When talking it is heating ear. At snapdeal side it is good shoping way.
16	PANKIT K BHANDARI	Mar 18, 2015	Yes	That's Good Stuff	good
17	Jayant	Mar 18, 2015	Yes	Reached intact	Product not too satisfactory. Sound quality not good, signal catching tendency is very weak.
18	ANKIT SINGH	Mar 18, 2015	Yes	Perfect. It doesn't get any better	excellent phone! in this price range
19	lalit	Mar 18, 2015	Yes	its  good	Very good
20	Suresh	Mar 18, 2015	Yes	good phone in budget	good phone in budget
21	nadeem	Nov 29, 2014	Yes	goodj	Good at this price
22	vijaybunny141	Nov 29, 2014	Yes	worthy product	Recommending to a friend.. Thank to snap deal for timely delivery....
23	Venugopal	Nov 29, 2014	Yes	Gionee Pioneer P4 White	HDFC debit Card cash back is not given
24	LGR	Nov 29, 2014	Yes	good phone	All features are good. Battery works for nearly 8 hrs when continuously used for calls as well as internet.  Back-up is fairly good.
25	bhat	Nov 29, 2014	Yes	excelent phone no probleam	good
26	sanjay	Nov 29, 2014	Yes	its great product	thanks for nice producy
27	jj	Nov 29, 2014	Yes	average product	camera quality is very poor for 5mp.
28	Sandra	Nov 29, 2014	Yes	Smart Phone	Gionee is  a new brand good to exlpore good phone!
29	Shammi	Nov 29, 2014	Yes	Gionee pioneer	Good
30	Diyora Jigar Rajeshbhai	Nov 29, 2014	No	Average, Ordinary	Nice, but shipping time takes longs... I got after 10 days...
31	shubham benani	Oct 30, 2014	No	Perfect. It doesn't get any better	very nice
32	prince	Oct 30, 2014	Yes	nice phn	Good work nice product
33	G prakash	Oct 30, 2014	No	That's Good Stuff	very nice phone  no words to say
34	Ashok	Oct 30, 2014	No	Overall good product in this range	I bought this 4 days back, if you compare the touch..it's seems bit slow response, and it's battery is not good for internet, the vibration is very slow. one feature need to add...whenever you get any call it does not have one key to silent the call. camara quality is not upto mark.
35	Mit	Oct 30, 2014	No	Perfect. It doesn't get any better	Nice instrument, I am using other Gionee Pioneer P4 since last one year & there is no problem at all
36	MAU	Oct 30, 2014	Yes	PA White	Good
37	AB	Oct 30, 2014	Yes	super	Perfect product
38	swapnilkumar	Oct 30, 2014	Yes	gionee p4	Good to go wd money
39	Prakash	Oct 30, 2014	Yes	Fantastic Instrument	its a nice phone in good budget...
40	Bhatt	Oct 30, 2014	Yes	Review Detail	Best for me. Great design, long talk time and standby time. Quicker delivery at my home location. High speed of data transfer, operation and networking.Enhanced futures.  Good quality. Slim and nice look. Best features with lots of applications. Phones is designed with a longer future vision. Really it is a good one.
