Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	kurmi	May 07, 2015	Yes	Awesome device Love it...	Awesome device Love it... Only battery don't last long but the overall performance is very good...
2	aakash	May 07, 2015	Yes	Awesome Phone	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices.
3	Saumitra	May 07, 2015	Yes	Perfect Phone	Very much satisfied
4	sandeep	May 07, 2015	Yes	Good product	Good product. I really like this phone
5	Priyanka	May 07, 2015	Yes	Value for Money	I bought this phone about 6months ago and i am not regretting it. Its the best in terms of performance under this price.  Nexus 4 has proved itself after the ANDROID LOLLIPOP Update. Few Pros about the phone and the updates i personally liked are 1) Prioriy interruptions - I can select who should call me and who should not 2) Messenger app - You can simply block a number and not the calls which is pretty useful.  3) The direct flashlight and the brightness buttons.  4) Sharp display - satisfactory. 5) Processor is promising .  6) Browsing is very Quick along with games.   cons  1) Poor camera quality even after the update.  2) The phone lags a bit say 10% after the update, maybe android can fix this is in the near future.  3) All photos at one place - There is no option to bifurcate them.  4) Battery drains if overused.  My Verdict:  Its is value for money, The sound quality of calls is below average but it has a very good processor,  Even if the phone has occupied 90% storage, the phone wont lag much.  ill definitely recommend it as it is the best phone available at that price.  Not to forget the unique design of the nexus 4, Its better than other nexus devices and i happy buying this one.  Its up-gradable to android 5 and the best processor you can ever use. So would definitely recommend this phone.
6	Sreejit S	May 07, 2015	Yes	Love this phone	Its been over 1.5 yrs since i have used this phone and I really love this phone. The only issue with is the battery life is very low if you have 3g on the whole day. With the constant updates google has been providing (currently on Lollipop 5.1.1) its hard to find any faults with this product.   I am not a power hungry app user so this phone (even though it is very capable to handle those kind of apps) is perfect for me.  The size of the phone is just right and anyone with average size (male) hands can operate this phone with one hand.
7	Inti	May 07, 2015	No	Gamer Changer!	Nexus 4 is definitely the device that changed the game both for LG and Google, The Geeks device(Nexus) always has top of the line hardware, released back in 2012 this phone is still relevant in 2015 after getting the Lollipop update it feels like a new phone altogether. I love it and its my primary phone have been using it for more than a year, here is a list of pros and cons- Pros- 1) Android 5.0.1 Lollipop, smooth as butter with best user interface available at the moment. 2) Size is Perfect for one hand use, not very large can fit easily into the pocket. 3) 4.7 inch HD display is vibrant and has excellent color reproduction. 4) Beautiful glass back 5) Corning Gorilla Glass II  The Cons yes it has its own 1) Camera being 8MP shooter its not upto the mark. 2) the Beautiful glass back is lovely and everything but its fragile. 3) The power button can be irresponsive sometimes. The phone has decent specs even now it can give tough competition to many other phones plus it gets the latest software always and can root it with many available custom roms for the N4.
8	joann	May 07, 2015	No	Amazing phone	Amazing phone. using it for almost 2yrs(not exact). this phone is amazing. blindly go for it. it so superb. the most thing u ll like in this the back side part of the phone it so good 2 hold.. just go for it
9	jaysuk.patel	May 07, 2015	Yes	Excellent Product	No need to mention anything it is google product. No hange ,No restart, Sometime little beet getting hot but it has been resolved once I reach to LG services.  It is not easily fragile.  Beetry life can incrse
10	Aneesh	May 07, 2015	Yes	Amazing	Wonderful phone... I like it very much
