Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	nabin	Mar 31, 2016	Yes	starrrrrrrrrrrrrr	very nice htc 326 mobile.
2	ankitaryan415	Mar 31, 2016	Yes	Excellent Product	smartphone from very big brand
3	pramod athrayil	Mar 31, 2016	Yes	snapdeal the Best	Time to time delivery and genuine products......Good....
4	Shubham	Mar 31, 2016	Yes	Htc 326g phone	I am happy of my deal with snapdeal. My phone is working well
5	vijayareddem	Mar 31, 2016	Yes	Find perfect super	So super. ............
6	peeushgoyal	Mar 31, 2016	Yes	Mobile good!!!!	Good mobile
7	shankaravere29	Mar 31, 2016	Yes	Very good product	Nice mobile htc desire 326g, looking so nice, opreting speed nice
8	Prince	Mar 31, 2016	Yes	Good phone in Cheaper Price	Pros:   Good Configration..Touch is great, nice looks, very fast , headphone provided, very nice display, clear and crisp Cons:Poor UI,  quite heavy (personal opinion) Overall: I am happy with the device
9	Sagar	Mar 31, 2016	Yes	HTC desire	Nice product at its price
10	dipu	Mar 31, 2016	Yes	That product is good	I gifted my girlfriend and she is very happy
11	Abu apm Indian maligai  Parvai	Feb 12, 2016	Yes	Best deal very nice	Nice look for. Htc mobile
12	tinu	Feb 12, 2016	Yes	HTC DESIRE 326G	thhis product is very very good one in this rate, really good one.
13	bstrikhia	Feb 12, 2016	Yes	Good Product	good but not excellent
14	Subir Karmakar	Feb 12, 2016	Yes	Original  item  probable discount	Item is Originally good with probable discount and this time item reached to the destination within estimated del date
15	ausan prasad diwaker	Feb 12, 2016	Yes	best phone in low price	Htc desire 326g phone performance is very good. Look is also nice .
16	Ashu	Feb 12, 2016	Yes	nice product	phon is good and delivery is on time i m happy with this
17	Sahoo	Feb 12, 2016	Yes	HTC 326 GM	I am fully satisfied with the product and its timely delivery by snapdeal....
18	manjunath r	Feb 12, 2016	Yes	good prize	HTC Desire 326G 8GB mobile very good product.bb good .camara nat good .wrath prize
19	Ragesh	Feb 12, 2016	Yes	Phone is good but camera quality is poor	If you are looking for good quality picture this phone is not the choice..Apart from that all are fine and no issues so far.
20	pawar vishnu	Feb 12, 2016	Yes	htc 326 white	Price equals quality  good
21	kannan	Jan 03, 2016	Yes	super kannan	nice phone and price range
22	anil94rajkumar	Jan 03, 2016	Yes	Good but not enough in this price	Old Android version
23	mack	Jan 03, 2016	Yes	love to order	Well packed n trule love sd
24	suman	Jan 03, 2016	Yes	hi... dont take this phn its not gud	Not gud. Sound quality is very bad .
25	U_makwana	Jan 03, 2016	Yes	This mobile is very good ,Cheap user frankly and also Delivered in time	This mobile is very good ,Cheap user frankly and also Delivered in time
26	satbeer	Jan 03, 2016	Yes	awesome product	this is fully function phone and not heavy on my pocket and snapdeal give me a better deal .i am relay find my dill ki deal
27	vinovino	Jan 03, 2016	Yes	my mobile phone	it is very super and my exprians is very nice
28	a	Jan 03, 2016	Yes	nice products	it is really good product...it work better than other mobiles...i am satisfied with this thing.....really it is good product for purchasing....thank u  snapdeal
29	manali	Jan 03, 2016	Yes	nice phone in this range	this is my 1st android phone... n awsome phone in this range.....   fetures are very nice..............................................................................................................................
30	Sujan h	Jan 03, 2016	Yes	Fully satisfied	I am very happy to indorm that snap deal .this phone gifted to my wife she is very happy.so i am very happy share with you
31	Avi	Nov 28, 2015	Yes	Worth the cost	I got this product delivered very fast, thanks to SnapDeal Express delivery. Product is worth its cost, with a gr8 brand as HTC.
32	jo	Nov 28, 2015	Yes	htc desire	big screen, good price, sleek model. got best price on snapdeal for this model compared to stores and other online prices.
33	dhaval p patel	Nov 28, 2015	Yes	mobial is good	Camera is not good mobila phone look is very smart
34	Bruce	Nov 28, 2015	Yes	quiet good	Decent phone for the price i.e., value for money. Average specs....but rom is hit low
35	snapshot	Nov 28, 2015	Yes	every purchase	timly delivery,quality guarandy,reasanable price,first customer responce for purchase and delivery then lot of reasons for puchasing in snap deal what ever it may be i purchase all thinga in online via only snapdeal and refer to my friends and others only snapdeal
36	Sahid	Nov 28, 2015	Yes	VERY NICE PRODUCT	the phone is so good  it has 1gb ram and 8gb internal memory camera is too good 8mp front camera is also good  battery service and performance  is good  the product is an excellent product at this price
