Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	hgbafc	Mar 19, 2016	Yes	Excellent Product	working good excellent
2	Soumitra	Mar 19, 2016	Yes	Quality of the product	Battery quality is very poor.otherwise ok
3	FFF	Mar 19, 2016	Yes	HEATING PROBLEM	CHINESE PRODUCT LOW QUALITY
4	krishna chaithanya	Mar 19, 2016	Yes	good rsponse from snapdeal.....and fast delivery	nice product and fast delivery and also good response from snapdeal
5	gouralamsuheb	Mar 19, 2016	Yes	Excellent Product	excellent @@
6	Swapnil	Mar 19, 2016	Yes	No1 service	Good product and best rate I think best for others site
7	Raj	Mar 19, 2016	Yes	Good 5 star	The best service snapdeal
8	incredible.ritesh25	Mar 19, 2016	Yes	Htc desire	Good quality
9	vikrantsawang	Mar 19, 2016	Yes	Htc desire 526g	Awesome smartphone Excellent camera Good budget phone Its awesome yaar
10	kalrasachin4	Mar 19, 2016	Yes	Excellent product at a best price.	Thx.. Fr a very nice deal.
11	rmprasath9	Feb 25, 2016	Yes	Phone review	Nice phone at this price
12	bablu	Feb 25, 2016	Yes	good app and happy 2 shopping in this site	good product and less prices
13	charan	Feb 25, 2016	Yes	ok the service was kinda ok	exceptable ok
14	Perfect Cell phone	Feb 25, 2016	Yes	Perfect Cell phone	Perfect Cell phone
15	SAURABH SRIVASTAVA	Feb 25, 2016	Yes	SEND INVOICE	DEAR SIR PLEASE SEND INVOICE COPY WE HAVE NOT RECEIVED INVOICE IN BOX
16	Atul Gangwar	Feb 25, 2016	Yes	Fantastic Mobile	Mobile is having too many features with great discount offered by Snapdeal. Perfect Mobile with loads of features so I am fully satisfied with both of Snapdeal and HTC Desire 526Gplus. Service of Snapdeal is also very good.
17	Good Mobile with Affordable Price	Feb 25, 2016	Yes	Good Mobile with Affordable Price	Good Mobile with Affordable Price
18	kaushal	Feb 25, 2016	Yes	very good and perfect appliance	Really it is good
19	Guest	Feb 25, 2016	Yes	very good hai	Product is good
20	Ajay	Feb 25, 2016	Yes	nice product	Great smartphone
21	Guest	Feb 04, 2016	Yes	good very good	Good phone got in 2 days
22	Anoop	Feb 04, 2016	Yes	Nice Product.	In time delivery. Good Service.
23	saikirantiyyaguru23	Feb 04, 2016	Yes	good phone with  low cist	Better to buy this phone  camera is good .
24	Nash	Feb 04, 2016	Yes	Amazing handset with good features	Its a good handset compare to amount, in less such a big features, not a bad deal go for this, its helps to attract people when in hand, every one ask you...konsa hai.
25	maari	Feb 04, 2016	Yes	mobile is heating in sometimes but that is not big problem	Nice mobile
26	Gouri	Feb 04, 2016	Yes	Original authentic mobile. Amazing performance	Love the speed and clarity.  HTC is truly good brand
27	aalekhs3	Feb 04, 2016	Yes	Best phone @ this price	Pros  1. Best smartphone from HTC @this price. 2.battery backup is good. 3.Camera quality is just awesome considering the price. 4.No hangs and lags. 5.Gaming experience is good. 6.HTC brand.😱 😃 7.Nice snapdeal experience. Cons  1.Display should have been better. A good phone..just go for it instead of buying Samsung phones.
28	athiq	Feb 04, 2016	Yes	Excellant product	Outstanding HTC product thanks snapdeal for gassy delivery
29	jitu	Feb 04, 2016	Yes	htc desire 526	good one buddy
30	Guest	Feb 04, 2016	Yes	good phone ..	Good phone
31	Guest	Jan 17, 2016	Yes	Nice Phone in Budget😍	Overall Good but body material is not metal, it's fibre plastic but looks good Touch and battery backup also good,  I recommend it ✔️
32	Harikesh	Jan 17, 2016	Yes	htc 526g plus	Good product and service. I feel this time serviece of snapdeal is very good.
33	Subhasis	Jan 17, 2016	Yes	Subhasis Banerjee	Descend phone in attractive price There is only one thing i.e. Getting warm near the rear camera in heavy usage like playing games.
34	lingam	Jan 17, 2016	Yes	awesome mobile	its super and works nicely thnks for snapdeal
35	coolarihant95	Jan 17, 2016	Yes	Value for money	The best smartphone one can get at this price.
36	patra_angshuman	Jan 17, 2016	Yes	Nice experience	Good product in this price
37	ybrantitsolution	Jan 17, 2016	Yes	Nice mobile	Nice mobile phone
38	Partha	Jan 17, 2016	Yes	Awesome phone	Its Realy Good Product in this Budget ,
39	Rahul	Jan 17, 2016	Yes	perfect mobile	Good camera
40	pardeeparora66216	Jan 17, 2016	Yes	Htc desire 526g+	Fentastic mobile
41	prabhash	Dec 30, 2015	Yes	GOOD SERVICING	GOOD PRODUCT
42	ashutosh	Dec 30, 2015	Yes	very good service	good phone at this range.
43	DS Chirange	Dec 30, 2015	Yes	HTC 526G16 GB ROM 8.MP CAMERA	Good product
44	Dipak	Dec 30, 2015	Yes	Good Service	Thanks your Service is Very Good
45	nandha	Dec 30, 2015	Yes	Best in class	Snapdeal is always my favourite shopping
46	varghese.sachin96	Dec 30, 2015	Yes	Htc 526 g+	Nice product
