Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Jafar	Mar 30, 2016	Yes	Delivery service very bad	Th product is very good but wht delivery person did was not okay he delivered the product to a difrnt person
2	manisachdeva777	Mar 30, 2016	Yes	nice phone	i agree with snapdeal
3	Kannan	Mar 30, 2016	Yes	Its perfect	Good mobile, delivery on time,a Even my place is small town near to tirunelveli, snap deal services reached over there Its really great.
4	ahammadalishah	Mar 30, 2016	Yes	Ahammadalishah	Nice products
5	raghavashwetha748	Mar 30, 2016	Yes	Good Product	good peaking
6	tukai	Mar 30, 2016	Yes	customer suggestion	delivery system not satisfied me.Try to better service for customer.
7	HappyBhatti	Mar 30, 2016	Yes	Perfect phone in this range	Buy it for my uncle n he is so happy to use it. coz its eazy to use and it a good status symbol as wel
8	arafatalam.aa28	Mar 30, 2016	Yes	It's superß	Awesomeeee
9	cutiee.	Mar 30, 2016	Yes	good one, at a better price	Color is quite dull compared to image..rest of all r fine.
10	rakesh	Mar 30, 2016	Yes	battery backup low	Good phone
11	A.K	Dec 29, 2015	Yes	HTC Desire 626 G+	Nice Product.
12	Maniganda	Dec 29, 2015	Yes	good product	mobile is looking is good and delivery is good
13	AHmad	Dec 29, 2015	Yes	HTC Desire 626 G+	its very good product.
14	thamilkala	Dec 29, 2015	Yes	Bought this product :) Delivered within 3 days !!	Superb phone with great features.. specs is so stylish and perfect.. 13MP camera ★,  HD display, Octa-core processing ☆ 5 inch is much compact than other sizes' mobiles in hands.. good service from Snap deal (y)
15	Really dil ki deal	Dec 29, 2015	Yes	Awesome working	My device is working awesome from the first day. Happy from shopping through snapdeal
16	Goutam	Dec 29, 2015	Yes	nice mobile	suprb android moble with good performance
17	mack	Dec 29, 2015	Yes	I m satisfied from this cell	Very good cell Awesome service  thanku snapdeal
18	Ravi	Dec 29, 2015	Yes	Smart phone -HTC Desire 626 plus	The best phone on this price... Packing and tracking system is very good... Thanx Snapdeal for making my daughter so happy....
