Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	alokrajpk9204	Mar 31, 2016	Yes	Excellent Product	awesome phone good selfie and splendid mobile in that range.
2	Disha	Mar 31, 2016	Yes	HTC Desire 826	Good Product
3	smritikaushiksingh	Mar 31, 2016	Yes	Excellent Product	classy look, and awesome selefie mob. 😊👍thanks to snapdeal.
4	pathikrakshit999	Mar 31, 2016	Yes	Perfact mobile...	Very good set
5	rachitabrol1	Mar 31, 2016	Yes	Excellent Product	Bought my new phone and one piano with snapdeal . I had an awesome experience.  There was no delay in time . The product reached me before estimated delivery date.
6	manoranjan	Mar 31, 2016	Yes	good product	right choice and right procdt
7	kkdas_gsa	Mar 31, 2016	Yes	Nice phone	Battery backup is good
8	HTC is good company	Mar 31, 2016	Yes	Its a good product and also snapdeal reaching time is also good	Its a such nice mobile phone looking good and also purchasing from snapdeal is also so nice to touch with customer.
9	pradhu	Mar 31, 2016	Yes	HTC DESIRE 826 4G 16GB	It's good.
10	sunil 77	Mar 31, 2016	Yes	good product	HTC desire826 is very good mobile Good camera Full HD Very smooth functions  Good battery backup
11	sanjaysingh1978	Dec 21, 2015	Yes	Awesome phone	Timely delivery very good service. I appreciate
12	Baban Namdeo Bhalerao	Dec 21, 2015	Yes	Htc desire 826 phone recd in good packing with the help of excellent delivery system for which i am	Snap deal delivery system is very excellent secured and fast with reliability.I got desire826 phone of HTC in good condition for which I am very thankfully.
13	viktorsingh	Dec 21, 2015	Yes	htc desire 826 4 g	Positive  -good camera both front and rear , good audio video quality  dot view  4 g  usually do not hang like other  companys  Phones of same configuration. negative - battery backup  common with most of androids  as they consume more power
14	Arpan	Dec 21, 2015	Yes	Brilliant Mobile hTC 826 dual sim	HTC desire 826 has very refreshing looks. Colours used are brilliant. Pros. Good looks veey good fhd screen Extremely fast processor Excellent camera Decent battery life for a large screen Cons Heats up rather fast. Even 10-15 mins. But heating problem resolve after software update Awesome Boom sound with  Digital Dolby fully feature loaded phone....
15	anuj	Dec 21, 2015	Yes	This is my first android device and I had a thrill in using this device. Good job in making this mas	nice phone..very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices. If you are on minimal budget 10k - 15k then go for this. If you are concerned about the brand and status then no one can stop you from opting for other brands.
16	Vinay	Dec 21, 2015	Yes	HTC 826 Desire	It was packed well and delivered in good condition and with in committed period. Very much happy with services I got.
17	pinu	Dec 21, 2015	Yes	I got my DIL KA Deal	Mind blowing surfing speed n looks gud... So go for it buddy...it delivered to me before the scheduled date.its gud thanks Snapdeal its real DIL KA DEAL.
18	Vijai	Dec 21, 2015	Yes	HTC Desire 826 4G 16GB	Product is extremely good. Delivered to us much before than the commited date. The transaction was smooth.
