Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	DR RAHUL SINGHAI	Mar 25, 2016	Yes	Good. excellent.	Very Nice Set.
2	SONA MONA	Mar 25, 2016	Yes	Amazing machine and wonderful phone	One of the best even better than iPhone 6
3	Rai	Mar 25, 2016	Yes	Phone is good but has Issues with Wi-Fi	The first handset that i got had a Wi-Fi Issue. It would connect to Wi-Fi but there would be no internet. This issue would be there if the SIM is active. Remove the SIM or put in Aeroplane Mode then then there would be internet. HTC Service Center detected a NFC Issue when they scanned the phone.   Went in for a replacement, That also had the same issue but not as bad as the previous handset. Would connect 50% of the time. Remaining 50% shows full Wi-Fi strenght but no internet. Remove the SIM or put in Aeroplane Mode then it would work.  Not sure how many people have had this issue. But this seemed to be an issue with this specific model of handset or maybe a specific batch. Detected no issues with my Wi-Fi and i have a Note 3, HTC M8 Eye, HP Printer, Acer Laptop, HP Laptop, Apple Iphone 6 and a PS3 all working fine on the same connection.
4	Anil	Mar 25, 2016	Yes	htc one A9	great.......
5	Shaanu	Mar 25, 2016	Yes	Awesome phone	Looks amazing, fast charging.  Good cam . Satisfied all the features.
6	Soap	Mar 25, 2016	Yes	Awesome phone	Best phone with great features.In love with my new phone.
7	Atul	Mar 25, 2016	Yes	One Week Review	Bought HTC One A9 last week, and this is the review of using it in the last 5 days.  About Service of Snapdeal:  Good & prompt servicing & delivery. I really liked that they sms'ed & kept me informed thru the entire delivery period, from their Hub to my home - they sms'ed me frequently to let me know the status of the delivery. This is important to me as it was a high value online buy for me.  Quality of packaging by Snapdeal: Good. HTC bos is also quite appealing.  My reason to choose a HTC phone:  I have used HTC One X for the last 4 years, so apart from wanting a replacement for the old phone, my reasons for buying a HTC again were:   a) I knew the high product quality  b) I knew the great Sense UI c) Really no complains about the phone  d) I definitely wanted to stick to Android, and not move to Apple or Microsoft ecosystem as they were quite restrictive due to various reasons e) In last 4 yrs of using HTC One X, I had to give the phone for repair 2 times as I had droppped it. During those times I had used spare back up phones, and was quite horrified by the entire experience of using other phones, as well as fully appreciating what I had, i.e. HTC One X.  Other phones that I considered before buying HTC One A9 (in order of preference): 1) Samsung Galaxy Note 5 2) Huawei Nexus 6P 3) HTC One M9+ 4) HTC One E9   Reasons why I chose HTC A9 instead of above phones: a) A9's looks - definitely better looking that above phones b) A9's specs - mid range specs. I reasoned that for my usage even mid-range specs is great  c) Expandable SD card memory upto 2TB (reason to reject Samsung Note 5) d) Latest Android Marshmallows software in A9 e) Other HTC models were old f) Not Huawei its too new brand/product fr me.. and as I have no clue about their servicing centres. Not that HTC service centres are any good.   HTC A9's Battery:  Since lot of people have written about low battery of HTC A9, without presenting any data, I thought its best to cover this clearly here with actual experience---  Battery charging using Fast Charge charger supplied in the box: 30 mins charging = 40% battery charged 60 mins charging = 70% battery charged 90 mins charging = 100% battery charged  Using the normal chargers, this time doubled.  I have no complains on this, as I am ok with getting such charging times.  HTC A9's Battery Usage:  I got straight 12 hrs of battery time which includes the following phone usage:  - The Mobile Data (not Wi-Fi) for internet was ON during the 12 hrs - I recieved 20 mails, & sent 10 mails on Yahoo Mail during the 12 hrs - I talked for 162 minutes during the 12 hrs, including 2 calls where the call went on for 40+ minutes. I added up the talk time minutes for all the other calls that I called / recieved during this 12 hrs. Calls include all my work & home related calls in this 12 hrs. - Got 10 missed calls, when the phone vibrated - Browsed news app (The Hindu) multiple times during the 12 hrs. Maybe 10-15 times. - Checked WhatsApp multiple times during the 12 hrs. Maybe 20-30 times. Checking about 100 messages from 10 groups. - Didn't listen to any music, didnt open any music or video app, didn't play any games - Battery was 100% when I started timing the 12 hrs; Battery/ phone switched off (due to 0% battery) at the end of this 12hr duration  Normally I don't use my phone so much. My normal day phone usage is definitely lesser than the above, and so I am quite fine with this battery duration of A9.   Hence, people who say that A9 has lesser battery time maybe using it for games, movies more often.  But for work life usages, I thought the battery is fine, especially as the Mobile Data was ON throughout the 12 hrs. Usually I switch it OFF, after checking the mails, messages - in which case the battery times would be more.  What I like about A9: - Looks, speaker quality, screen, fits nicely in hand - Android Marshmallows is quite cool; in some places it really impresses; it has quite deep integration's into apps and other things u will use the phone for. Its really good. Plus the lighter Sense UI.. s/w is perfect.  - It meets my requirement - HTC & Android frills galore   What I like dont about A9: - Space button on the keypad - I keep hitting the wrong button; something wrong with its alignment. Its an irritant. - The back is fully flat, unlike other HTC phones where the back of the phone is curved slightly. Fully flat back feels little odd in the hand. Curved back is much preferred. - HTC Notepad is better than the Google Keep, as its simpler. They shouldn't have kept HTC Notepad widget.   Overall: Theres not much to complain really.. : ).. think I will be using this phone for long time.   Thanks..
8	Prateek	Mar 25, 2016	Yes	Great Package	This phone is a great package and great value for money.
9	sgarg939	Mar 25, 2016	Yes	Awsome phone better than apple	HTC one A9 was a great phn nd beat apple in this range. Awsome camera specially for selfie. It give better picture quality after clicking selfie's nd others . Battery back up was also good but not when i on mobile data . Till now i have not face any hanging problem & heat . Overall HTC one A9 was great phn . Grab it quickly..
10	ezhil18	Mar 25, 2016	Yes	Excellent product than what it shown in Review s	Very nice product good battery last one day and plays games well and I don't see any heating problem while playing heavy Games...
