Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	arunprasadh21	Mar 28, 2016	Yes	Excellent Product	Got my one m8 eye for the best price on snapdeal ,HTC fanboy and now a happy customer cheers !!!
2	Himansh	Mar 28, 2016	Yes	Cool Mobile .	HTC One M8 that I recieved is a good performing mobile overall at the price range, Touch is great, nice looks, on the cons side Battery backup is not that good . The only thing that left me disappointed is the courier service that was too slow.
3	Guest	Mar 28, 2016	Yes	new look and good prfmnce	New look nd asm camera smoot touch easy to use asm phone.
4	Naveen	Mar 28, 2016	Yes	Super fast response and worth for money	2.3Ghz speed gives you super fast computing speed...and 2gb ram will gives you awesome experience ..good battery backup...overall worth for money.........
5	SIPUN	Mar 28, 2016	Yes	PERFECT COMBINATION OF STYLE AND POWER	AWESOME IN EVERY ASPECT
6	anuj.sharmaa93	Mar 28, 2016	Yes	Owsum phone...nice quality	Owsum phone in this range
7	dpdelhi	Mar 28, 2016	Yes	Very good phone in this budget	Premium phone in this budget but camera is a bit let down. Rest every thing is perfectly fine!
8	Dhiraj Goswami	Mar 28, 2016	Yes	Exelent Product	exelent product and faster delivery...super valuable price.......thank you SD..
9	rohitdandwanifb	Mar 28, 2016	Yes	Amazing phone,  bad camera	Really sexy looks, smooth functioning, amazing sound, hazy camera, Overall quite satisfactory.
10	yadavhitendra08	Mar 28, 2016	Yes	Awesome Experience	Using HTC one m8 eye is like a charm.....everything thing is great camera quality is superb especially in day light but it's also good in low light conditions too......
11	rahul jsin	Dec 02, 2015	Yes	unbelivable price	i got this product from snapdeal at 7500 less then local market.very fast delivery also at no extra cost.very exited....
12	Narendra Agarwal	Dec 02, 2015	Yes	Good Phone I Received With Factroy Lolipop Updated 5.0.2	Snapdeal delivered in Time. Good sound, Display and Performance. New Packing I   Received June 2015 Packet.    Only Problem that some Feature not working eg Smart Lock always say Disabled by Administrator. other wise good Mobile at this price.....Thanks to HTC and Snapdeal with Seller Also.  I Give **** for this   For Display may be ********** and sound *********************************************************
13	kushalmk54	Dec 02, 2015	Yes	i will buy again and again	The seller is so good and i will purchase again.and the courier partner dilevery is good.and if the same rate comes again then ill purchase.
