Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Sure	Mar 31, 2016	Yes	Honor Bee good phone for 4k budget	Good features for Android beginners.
2	Swetty	Mar 31, 2016	Yes	So smooth and lovely	This is a valuable  piece for that price.
3	Dharmendra	Mar 31, 2016	Yes	Great!!!!!	Good product under this price
4	Dileep	Mar 31, 2016	Yes	V Good excellent	V Good excellent
5	Jassi	Mar 31, 2016	Yes	items and service is better	items and service is better
6	Manojkumar	Mar 31, 2016	Yes	Tuch performenance not acceptable level	Happy with seller
7	avvrao	Mar 31, 2016	Yes	Misplaced Battery	hello sir,   Please send my misplaced battery i am sending so many mails to you din't reply any mail from your side please send battery or replace the product or refund my money or battery amount i will purchasee new battery in hyderabad. as u wish tell me your answer ASAP. please tell me ASAP
8	Deepak	Mar 31, 2016	Yes	Fast delivery	Good experience
9	Phani	Mar 31, 2016	Yes	Good Product	Product is same as described in on-line
10	krishanbhartu	Mar 31, 2016	Yes	Good Product	very good product but look is decent but overajll happy this product
11	gaurav rastogi	Mar 19, 2016	Yes	Very Good Product in this range	Nice Phone with great user interface and battery back
12	Sushil Kore	Mar 19, 2016	Yes	nice looks budget mobile	Nice mobile but camera,battery quality is very poor but any others features very nice....
13	anu_sngh	Mar 19, 2016	Yes	best phone ... :-)	all is good..
14	thakur	Mar 19, 2016	Yes	yes it,s awesome	camera quality is to gd n feature is not to many but it,s to gd  ......best phone in it,s category      superb camera n video recording is awesome .....battery backup  is just ok
15	tanveer22singh	Mar 19, 2016	Yes	Excellent Product	this honor phone I like very much  good camera and good music phone .battery life is better
16	altu	Mar 19, 2016	Yes	nice phone in this buget	this phone is  very smooth and camera quality is the best
17	Piyush Rai	Mar 19, 2016	Yes	Best quality, product as per description	Best quality, product as per description
18	MBC	Mar 19, 2016	Yes	Good in the price offered	Good for someone using limited internet features
19	sureshbe137	Mar 19, 2016	Yes	Good Product	this mobile is very nice but charging time is more than 4 hours. its really irritated me. soft Key's are same times not working. any way this is average phone at this price. camera working good. battery work it 1 day at light usage. touch is good. decent sound. good ram and internal storage. same times it's hang. light heat issues after heavy usage. over all u use light use PLC buy this product.
20	Zub	Mar 19, 2016	Yes	For this price its more then ok	Thanks snapdeal for such a wonderful product
21	sam	Mar 05, 2016	Yes	very good product	i liked this product bt it is not like other honor smarphones
22	Saurabh	Mar 05, 2016	Yes	Good smartphone at cheap rate	this is very good smartphone at very cheap rate , also received cashback from snapdeal worth Rs.500 so it goes more cheaper to me.
23	Bhaskar	Mar 05, 2016	Yes	excellent service	Mobile is good Snapdeal Services very very good thanks
24	Nagaraju, Alur	Mar 05, 2016	Yes	Also Good Mobile (Nagaraju)	Battery is very... also gud mobile... and worth for money
25	rajendraspatil51	Mar 05, 2016	Yes	Good smartphone	Best smartphone at such low price ... As usual best product and good delivery from snapdeal.
26	renga195	Mar 05, 2016	Yes	Super phone	Camera quality is amazing. Budget phone.awesome product
27	dkdknishad269	Mar 05, 2016	Yes	Good Product	Good phone for budget
28	sohail	Mar 05, 2016	Yes	good budget phone	the best thing i like about the phone is that it didnt come with bloatware
29	yadavrahulgzb	Mar 05, 2016	Yes	Good Product	awesome mobile in low price range
30	Guest	Mar 05, 2016	Yes	worth a buy	Perfect fit on the budget for a simple android phone. I
31	haresh poriya	Feb 17, 2016	Yes	nice phone	very nice phone n nice future in affordable price...
32	bijanmandal218	Feb 17, 2016	Yes	Excellent Product	i love snapdeal
33	karankumar5579	Feb 17, 2016	Yes	Good Product	Rate & Review 3
34	Sourabh	Feb 17, 2016	Yes	Huwaei honor bee	Good phone this is a cheap n best
35	Suresh	Feb 17, 2016	Yes	Really Good Phone	Nice spec and good phone at this price.
36	aashish.bba2015	Feb 17, 2016	Yes	Excellent Product	awesome phone
37	syed afzal	Feb 17, 2016	Yes	fast dilever thanks	fast dilever thanks you snapdeal
38	JAY	Feb 17, 2016	Yes	GOOD GADGET	GOOD PRODUCT FOR THIS PRICE
39	Uday	Feb 17, 2016	Yes	Huawei honor bee	Low budget and its very nice mobile
40	mriganka0361	Feb 17, 2016	Yes	very good phone at this price	at this budget it is the best phone ..,  camera quality superb , touch good  battery avg flash good interface is very attractive
41	johnyjinny	Jan 27, 2016	Yes	A good budget phone	Bought this phone for my father, touch is little bit unfair and battery life too but it's good for someone who wants first Android experience rest everything is fine.
42	srinivasajaya14	Jan 27, 2016	Yes	Excellent Product	happy. to honer bee
43	sumankaushik3222	Jan 27, 2016	Yes	Nice  all good	Very nice all good but battery life is average.
44	sanjay kumar nayak	Jan 27, 2016	Yes	Nice Mobile	Realy amazing Mobile
45	subhadip4265	Jan 27, 2016	Yes	Excellent phone.	1.Totally budget phone. 2.value for money. 3.Nice looking handset. 4.very good build quality. 5.very good performance. 6.good battery backup.
46	mridul.sharma.9999	Jan 27, 2016	Yes	good product	Nice phone low price
47	Karthik	Jan 27, 2016	Yes	Good phone for my dad	Meets basic needs of a smartphone. Easy to handle as well.
48	surya	Jan 27, 2016	Yes	Nice mobile	Good mobile phone
49	muthukrishnanjee	Jan 27, 2016	Yes	Excellent Product	good one super
50	Sunny	Jan 27, 2016	Yes	Nic product	Battery backup good....screen quality btter....less prices
51	Sukant	Jan 21, 2016	Yes	best at this price	a gorgeous budget phone
52	dilliraj007	Jan 21, 2016	Yes	Huawai mobile	Very nice mobile
53	ifti	Jan 21, 2016	Yes	good product in this price	good product in this price
54	arpan.cas.14	Jan 21, 2016	Yes	Nice mobile	Very good to hold. Games are also running without lages. Camera quality good but not real color. Apps can be transfer into sd card, it is big plus for me
55	bvn.murthy4u	Jan 21, 2016	Yes	Good Product	good  one  honor  bee
56	Venkatesh	Jan 21, 2016	Yes	very nice mobile	Best mobile for best price
57	sivaprakash1983	Jan 21, 2016	Yes	Good Product	suprrrrrrrrr
58	1madhankumar1	Jan 21, 2016	Yes	Great budget phone	Al features are niz
59	Singh	Jan 21, 2016	Yes	Very good mobile	Super mobile, fully satisfied
60	sunclw2008	Jan 21, 2016	Yes	Good phone in this price range	In this range this phone has no match
61	Vipi	Jan 12, 2016	Yes	Good Product	Overall it is good product with worth of money
62	karthikbpharm	Jan 12, 2016	Yes	Excellent Product	nice phone
63	suresh.mic143	Jan 12, 2016	Yes	Good product	For normal use ok
64	suryaa	Jan 12, 2016	Yes	good option below 5000	good option below 5000
65	Johny	Jan 12, 2016	Yes	fully satisfied	At this price I could not find any other mobile with these many features.I strongly recommend this product
66	jojuda721	Jan 12, 2016	Yes	Just the exact phone that I needed !!!	This is my second Android smartphone and it busted the difficulties I had with my Samsung Galaxy smartphone which had a very less internal memory and RAM for almost double the price . It's a right phone at the right price even though it does not have some main features like USB OTG and NFC . So, those who want a compact and reliable smartphone can opt for this beaut!
67	Rakesh	Jan 12, 2016	Yes	Good mobile in this price	Lovely mobile for me
68	Babu	Jan 12, 2016	Yes	Good product	Very good deal for the price
69	Dj ud	Jan 12, 2016	Yes	best smartphone	One gb ram. Good camera nice touch.long batry bckup. Right choice phone.
70	sanjay	Jan 12, 2016	Yes	best mobile in  on this price.	best mobile in  on this price.
71	akhetan2000	Jan 07, 2016	Yes	Good Phone.	Its a good phone in this range.
72	VKV	Jan 07, 2016	Yes	Good mobile	Good mobile
73	mahendra	Jan 07, 2016	Yes	honor mobiles are good	nice mobile
74	Ram	Jan 07, 2016	Yes	Good Phone. as of now its working fine	As of now its working fine
75	Suresh	Jan 07, 2016	Yes	Perfect one	No word go say
76	sourabh	Jan 07, 2016	Yes	Scintillating	Well I purchased after lot of evaluation and it is really worth buying and if you wish to buy go for it you will never be disappointed or regret. You would not need to corroborate before buying.
77	tensarjunsony	Jan 07, 2016	Yes	not so good	Not good please choose others as Lenevo A2010 or Moto e2nd or xolo prime
78	Amol	Jan 07, 2016	Yes	Awesome phone within 5k range	Huawei Honor best phone in lower price range
