Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Mp	Apr 01, 2016	Yes	Best and cheap phone	Cheap and best one
2	reddy	Apr 01, 2016	Yes	sim slot problem	second slot is not working properly,that means when u put a 4G sim in the second slot it is not workingnd also it is not at all showing the age in the top corner only one sim position is showing
3	Monu	Apr 01, 2016	Yes	Thanks snap deal .	Very good product
4	ayans446	Apr 01, 2016	Yes	Average phone	Its ok for that valu
5	Kumar	Apr 01, 2016	Yes	Good mobile	Nice build quality but camera is bad
6	vigneshhrko	Apr 01, 2016	Yes	Excellent Product	Super suprreeee
7	Arun	Apr 01, 2016	Yes	Infocus Bingo 21	Hi, I bought this product through snapdeal on 16th  March 2016. I ordered it on 12th and I got the expected delivery date as 18 Mar. But Snapdeal delivered to me 2 days before. Thanks for that.  The mobile is fantastic. I bought the orange panel. Its look is very good. Its camera quality is too good. Touch screen sensitivity also good. Battery backup upto 1 day only as per other android phones.  It is unexpectable thing in this price with 2GB RAM, 8MP and 5MP camera with front flash, 2300 mAh battery, 8GB ROM, 4.5'' screen,  front flash, etc.   Thanx for the product.
8	sbaghel486	Apr 01, 2016	Yes	Good phone	I have brought this phone 2week.this phone is good working
9	AfbA	Apr 01, 2016	Yes	Liked it so much...bingo!	Very good phone. Only the display quality is little disappointing. All other features are mindblowing. I am purchasing at first time from snapdeal. Ordered on sunday, got it on tuesday (really amazed). Very fast delivery as well as the phone.
10	ashikali005	Apr 01, 2016	Yes	Good Product	I'm love it
11	s.ayyannan	Mar 29, 2016	Yes	exess heat of the mobie	It is a good one.But heat is a major problem in this mobile.
12	Ani	Mar 29, 2016	Yes	Good Feature Phone	Features are all very good.The company could have done a little more good work on the outer look of the product.
13	vigasvmp	Mar 29, 2016	Yes	Excellent Product	Verry verry nice
14	babu	Mar 29, 2016	Yes	good phone,low budget..	good phone...
15	devisinghrawat47	Mar 29, 2016	Yes	Awesome phone	Very good phone at this price as compared to other phones
16	AnkiT	Mar 29, 2016	Yes	Infocus bingo 21	Front flash is of no use..But front camera is quite  good. average look.. storage space is less.. Battery backup is nyc.. overall nyc phone.. At this price range.
17	gangapandey88	Mar 29, 2016	Yes	Excellent Product	best mobile phone from infocus and snapdeal
18	Raj	Mar 29, 2016	Yes	Snapdeal is the worst site,buy from flipkart,they have real fast delivery	Snapdeal is the worst site,buy from flipkart,they have real fast delivery.last day of delivery,didnt buy from snapdeal,worst site ever,buy if you want to keep on waiting,while they were enjoying. #BOYCOTT_SNAPDEAL
19	arasi	Mar 29, 2016	Yes	Not Bad..wrorth for money	Not Bad..wrorth for money
20	JAI	Mar 29, 2016	Yes	BUDGET  MOBILE	PERFECT It's always better to review a product you have personally experienced.
21	Akmal	Mar 25, 2016	Yes	Nice phne but battary backup	Phnakmal good
22	Venkat	Mar 25, 2016	Yes	Good..except cam	Cam is not good...remaining is good
23	siamkima62	Mar 25, 2016	Yes	Good front camera	In low budget, good product..good phone ... espicially camera are very good
24	ramk7071	Mar 25, 2016	Yes	Good Product	nice mobile
25	konnur51	Mar 25, 2016	Yes	Good Product	very good mobile in this price also OK but only screen in fastly heating this mobile battery backup is good selfie camera quality is very good with flash  back Canada is just good speed process and better ram with 8gb internal so buy this mobile   first users good thing buy this mobile
26	nilesh.kuthe1994	Mar 25, 2016	Yes	Selfi best pic	Nice.....best smart phone for selfi
27	Suyash	Mar 25, 2016	Yes	Best Mobile Within This Range	Pros:- Very Good Camera Very Good Performance Never Lags/Hangs Plays Games Modern Combat 5,Asphalt 8,etc Smoothly Good Battery Backup Sound Is More Than Enough  Cons:- We Have To Remove Batter To Insert Or Remove Micro Sim Card And Micro SD Card Currently Dosen't  Get Android Marshmallow Update But It Will definitely Get It In Few Months Its Compatible accessories(Back Cover,Flip Cover,Screen Guard) Are Not Easily Found In Market
28	mehtaaman51	Mar 25, 2016	Yes	Good Product	nic product at ths price range....
29	aitu	Mar 25, 2016	Yes	infocus bingo 21	good to have it
30	Chagu	Mar 25, 2016	Yes	Good phone for money spent	Nice phone for money spent
31	kchinmoy720	Mar 22, 2016	Yes	Excellent Product	this is wonderful phone ...
32	danish hatela	Mar 22, 2016	Yes	InFocus Bingo 21 M430 8GB 4G	its good , sound are laud and clear , camera quality is good,  worth purchasing.
33	sjpt27	Mar 22, 2016	Yes	Excellent Product	very nice phone at this rate  look sis also impressive . touch works fine  l hope one love to buy it. thank you Snapdeal for this product.
34	msmishra	Mar 22, 2016	Yes	Response for product services	Good and appreciated your overall services.
35	Ariz	Mar 22, 2016	Yes	very good phone in this budget	in my family all are buy infocus bingo 21
36	sandipjmahajan161989	Mar 22, 2016	Yes	Excellent Product	nice mobile
37	Good............................	Mar 22, 2016	Yes	recommend this product	Good.........................................................................................................
38	AK	Mar 22, 2016	Yes	infocus bingo 21	very nice. clear camera and good performance
39	ajit kumar	Mar 22, 2016	Yes	battery backup is very-very bad	this phone is this price best smart phone but batrray backup is realey bad nd rear camera not like 8 mp camera profome
40	KAVITA VERMA	Mar 22, 2016	Yes	awesome product	mobile is superb... picture quality and sound is good.. love u infocus...
41	nagendra	Mar 18, 2016	Yes	Nice phone under 6k budget.	front camera awesome..
42	jayantaroy302	Mar 18, 2016	Yes	Excellent Product	Hey guys,  This model of InFocus iz really nice..  I wana no more talk about this one...  Thanks a lot Snapdeal via InFocus India
43	Bharath	Mar 18, 2016	Yes	InFocus Bingo 21 M430 8GB 4G	Very good budget phone and lightning delivery from snapdeal for the first time ever!
44	raj	Mar 18, 2016	Yes	super.................................	ok.....................................
45	madhumad46	Mar 18, 2016	Yes	Good Product	Gud product for economy price
46	shivam.mh1992	Mar 18, 2016	Yes	Good Product	love to have this phone in my hand
47	fine green solar	Mar 18, 2016	Yes	GOOD FOR MONEY	good by fine green solar
48	Manu	Mar 18, 2016	Yes	nice phone	Every thing is very good.invthis device  .
49	Nani	Mar 18, 2016	Yes	Budget mobile	Very good and fast looks like apple but small disappoint is only back cover.except this one remaining all perfect .Thank you
50	Krut Pandya	Mar 18, 2016	Yes	Slow Delivery	3 Days Gone.. Still Not Getting My Phone.. No Track Id.. No Tracking Information..  Slow Delivery :(
51	sachinhebbal381	Mar 14, 2016	Yes	Good Product	It gives good selfie photos
52	Jai	Mar 14, 2016	Yes	Overall a Good budget phone	Do not expect "Awesomeness" out of this phone, but its a nice, decent low-budget android smartphone. You can perform all the regular tasks such as calling messaging, clicking pictures, listening to music, social networking (with 4G) and also playing some light-weight games.  Te only problem is, you can't find any compatible accessories, even on SnapDeal, even after couple of months of launching.
53	salmanx777	Mar 14, 2016	Yes	Good Product	Mobile nice
54	Sumit	Mar 14, 2016	Yes	Good low cost phone	Basic features of the phone are quite good. Being an ordinary user, this phone must temp you, however, camera (rear) isn,t that sharp and also the color looks a bit over done. Call quality is good. looks cheap ( what else do you want in this price!). rest is ok. Can think of it as an option. At least better than the rest i guess.
55	Ashwani	Mar 14, 2016	Yes	refer everyone who needs a good budget phone	Phone is good ,but front flash is not that good.camera is clarity is good front and back. Just pre installed app is the most annoying thing i felt Overall good fone in this price segment
56	Suvechchha	Mar 14, 2016	Yes	Nice Phone at this Price: Recommended	Front camera is awesome
