Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	P.K. Agithkumar	Mar 30, 2016	Yes	GOOD PHONE FOR THIS PRICE.	I got the phone yesterday from SD. I found three drawbacks  - 1. No gorilla glass. 2) No finger print scanner. 3) Can't use 2 sim cards and the memory card at a  time. Any how. the product is a good piece.
2	kvsp1983	Mar 30, 2016	Yes	Excellent Product	average in range
3	Sam	Mar 30, 2016	Yes	Nice phone	Nice looking phone and good features too.
4	kushvahajayesh	Mar 30, 2016	Yes	Good Product	nice quality but not great front camera result awesome peace
5	Babu ram	Mar 30, 2016	Yes	Baburam yelisetty	Camera qyelisetty  good
6	Pinku Chauhan	Mar 30, 2016	Yes	good phone	phone is good in such range,both cameras are good....
7	RICK	Mar 30, 2016	Yes	i hate nano sim and hybrid sim card slot.. rest of all in this phone is good.specially selfie camera	hate the sim card slots they are using . but camera and audio and overall is very good
8	sharif	Mar 30, 2016	Yes	Service is very good	Thank you for supply intime.
9	varghese.neenu9	Mar 30, 2016	Yes	Excellent Product	grttttt product.. such a beutifull design.. evrthng ... nice except hybrid sim option..
10	mandeepverma789	Mar 30, 2016	Yes	Excellent Product	fast delivery than any other online shopping company i liked it
11	rahulthapar2242	Mar 17, 2016	Yes	Excellent Product	awesome camera quality specifically back.....awesome .....btry backup is so so but no so bad ...display quality great....speed is good... little bit heating problem ....but you can't ignore good qualities in front of this one problem....must busy.....
12	sathi8985.sk	Mar 17, 2016	Yes	very bad no camera quality and esay to heat the phone	Where is the duble tap in infocus m680 and also tje camera quality is very bad they said that camera quality is 13&13mp but no clarity with camera pics very bad
13	pet	Mar 17, 2016	Yes	infocus mobile	happy. good
14	shoib.shaik7	Mar 17, 2016	Yes	Excellent Product	i purchas infocus m680 from snapdeal . snapdeal deliver product before the date of delivery im happy with this product. Its a amazing product from infocus .  All things are amazing and camra is superb both front and back. I suggest to all custamers of snapdeal if u want to purchas a smart phone means . Close ur eyes and bye infocus m680  from snapdeal
15	Selfie	Mar 17, 2016	Yes	Super fone	Amazing mobile
16	DIMPLE	Mar 17, 2016	Yes	Good Product	I am very happy with this product. Awesome
17	kavi	Mar 17, 2016	Yes	smart phone	good. nice service
18	Vijay Pothula	Mar 17, 2016	Yes	Very good Display	Perfect phone with 13MP camera
19	Yogi	Mar 17, 2016	Yes	Infocus m 680	Per fact phone in its range
20	yash	Mar 17, 2016	Yes	awesome mobile	looks and performance is so good.
21	Your MK	Mar 01, 2016	Yes	Its Really fantastic budgeted smart phone , i really like it most. thanks InFocus & Snapdeal	Its Really fantastic budgeted smart phone , i really like it most. thanks InFocus & Snapdeal
22	naresh131393	Mar 01, 2016	Yes	Good phone	Good Display Good Camera Average Battery life Overall Good phone
23	anuraggs0219	Mar 01, 2016	Yes	Sprb phone...	But this phone....for thinness , metal body, camera, but not for gaming.......its only 1.3ghz octa core processor...it CNT handle any high graphics game..  it lags and framedrops are found
24	dnshkumar379	Mar 01, 2016	Yes	Awesome product in this price good looking	Everything is ok, features r good accept camera quality.
25	arshad2khan0786	Mar 01, 2016	Yes	Good in this range	Phone is good except of battery and heating problem
26	sheoranboymohit	Mar 01, 2016	Yes	Good phone in this buget	Thnx snapdeal for delivered  my product in 2 days its really awsome
27	keshojurohith	Mar 01, 2016	Yes	Best  Faster Deliver	I got tz deliver with in a day
28	jass0312	Mar 01, 2016	Yes	Infocus m680	Issue is only bettary backup otherwise phone is good
29	karansinghk.08747	Mar 01, 2016	Yes	Infocus m 680 16 GB 4G	It is good smart mobile phone
30	Anirudra	Mar 01, 2016	Yes	Awesome Phone	The phone features are great, and recommend others to buy the same.
31	vidyagowda62	Feb 25, 2016	Yes	Best phone in a price if u r compromised with a brand	Awesome awesome awesome.     Am using moto g3 and infocus m680 .....comparing these two,,,,,infocus is the best..... Camera clarity is very very good than moto g3....since both front and back are 13mp cameras,,,,both are awesome in its clarity...IF U  R A CAMERA LOVERS, then go for infocus than moto g3..the only thing u should compromise is brand......its t best compared all phones....       CONS: a bit heating when we use  internet for t long duration.
32	Akshit	Feb 25, 2016	Yes	Infocus Best in budget	Perfectly designed. Lite weight compared to others. INLIFE UI is awesome. Camera is too good. Pre-installed apps are very helpfull.
33	archanasinghal1324	Feb 25, 2016	Yes	Good phone	Good phone
34	vijay.rao	Feb 25, 2016	Yes	Pretty good phone!	Overall very good phone, though quite difficult to get back panel and screen guard. Only thing missing in the package is no Corning Gorilla or Asaahi Dragontrail protection for the big display it has.
35	vipin singhal	Feb 25, 2016	Yes	InFocus M680 16GB 4G	This is my first android device and I had a thrill in using this device. Good battery device is not heat very good performance in baatry backup and camera 13 mp front and back very good and very low price budget mobile in infocus m 680.
36	popaniya	Feb 25, 2016	Yes	Good Product	nice looking phone
