Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Dibbendu	Mar 28, 2016	Yes	Awesome mobile at this price	Used this mobile from last 7 days and found the product is perfect.No heating issues. Dispaly is very sharp (401PPI) camera quality is also very good.Taken pictures at night they are also too good. A nice mobile at a reasonable price.Can go for it. 4 stars from my side. As there is always a chance of improvement hence not given 5 stars.
2	Lucky	Mar 28, 2016	Yes	infocus is brand	vvvvvvvvvv good
3	Bankelal	Mar 28, 2016	Yes	Infocus M680	Mobile Set is Very Good. But Charger Wire Length Very Small.
4	Ritesh	Mar 28, 2016	Yes	Snapdeal feedback	Very poor product n service
5	manncafe1	Mar 28, 2016	Yes	Excellent Product	its too good phone... amazing speed and looking cool..
6	VEDHA	Mar 28, 2016	Yes	GOOD PHONE	THE ONLY DRAWBACK IS SINGLE MOBILE SIM  WITH SD CARD. 2 SIM IS REQD.
7	Syed	Mar 28, 2016	Yes	InFocus is Nice Phone	Awesome Highly Recommended
8	jayantsrivastav13	Mar 28, 2016	Yes	Amazing Infocus M680	The Phone is just awesome . Battery backup is OK can run for 1 day. The UI is perfect. The 13 MP cameras both front and back are very perfect. And other features are also good. You can buy and enjoy your life in focus with Infocus M680. Just Go For It😉
9	Som	Mar 28, 2016	Yes	Good Stylish phone	Infocus M680 is a treat. Nice sturdy phone with good design and built.Specifications are good and phone doesnot lag. Camera is good too. The only thing that is a miss is battery life, one would need to charge it everyday. Good price from snapdeal with selfie stick ,delivered on 5th day morning. Nice buy
10	raaj	Mar 28, 2016	Yes	fantastic..........	awsome,niceone, looking gordeous
11	Biswajit	Mar 10, 2016	Yes	Feedback. Good product and on time delivery by sna deal.	On time delivery Good product Nice customer service Well on time information
12	javedidea9	Mar 10, 2016	Yes	Excellent Product	the great selfi camera. i love infocus. and i love snapdeal. thank u snapdeal.
13	m.Chalawadi	Mar 10, 2016	Yes	i am purchased infocus m680 full metel body	Phone is good , battery back up itna jaada nahi, is phone me memory our sim card ka slot yek hi tray me  hai  our memory card  dalne par sim2 nahi daal sakte, agar dono sim card danle par memory card nahi daal sakte, camara front and rear good  touch super  verry luk mobile , overal phone is good
14	Ravish	Mar 10, 2016	Yes	Osum mobile	Osum design ..feel very premium...
15	sathish	Mar 10, 2016	Yes	awesome phone	good  phone ,Delivery was very fast ,
16	alice	Mar 10, 2016	Yes	good new one	wanna try different brand so tried to get infocus ...headphone not so bad ; better and look wise awesome ; overall a pretty good mobile to go with this price..
17	Rajesh	Mar 10, 2016	Yes	Rajesh chandran	Good phone.. Worthy more than this price..
18	Simmi	Mar 10, 2016	Yes	INFOCUS M680	awesome.........i advice everyone to buy it
19	Good but battery drains fast	Mar 10, 2016	Yes	Good phone	I i have seen review it is 2.2 ghz but it is 1.3.Ghz and also camera front 13 mp in review but it is 5 mp
20	commgeth	Mar 10, 2016	Yes	Excellent Product	nice selfie cam
21	msr4006chinnu	Feb 25, 2016	Yes	Good product	Good service
22	rakesh	Feb 25, 2016	Yes	my opiniyan	phone was over heating  nd battery level low nd display was not clarity... otherwise good
23	Good	Feb 25, 2016	Yes	Omg beauty with brain	Sooo good speechless
24	dmithari73	Feb 25, 2016	Yes	Good Product	Camera quality must needed to improve. I think it's no 13 mega pixel.
25	Vishal	Feb 25, 2016	Yes	Awesome Phone	Phone is awesome I must give 5 stars for the phone but the box accessories are very cheap that's why I gave 3 stars.
26	sp	Feb 25, 2016	Yes	Great Phone as per price range.	phone is too slim..looks attractive..stick is also good and matching with device's gold color. Camera quality is best both front and rear.  I found only heating issue. Other wise great phone in this range.
