Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	razaharis827	Apr 01, 2016	Yes	Excellent Product	Mobile is so heavy but performance is very good & head phone is not in box
2	narayana	Apr 01, 2016	Yes	Infocus M 260	the phne  has,all the feature I have been loking and is extremely satisfactory It is just few days since I got it; hopefully it will contine tofunction without hitch for years to come.
3	Som	Apr 01, 2016	Yes	Good budget phone	Good phone in budget, working fine till now. Good voice clarity. Camera is ok. Overall a very nice phone for the price.
4	Tariq Qhan	Apr 01, 2016	Yes	Its Cool mobile	Mobile is good Camera is good in day but average in night  Its the best mobile at this price
5	vivek902212	Apr 01, 2016	Yes	Good Product	its a very nice mobile.its working very nice.i like this mobile.
6	MUZAMMIL AHMED	Apr 01, 2016	Yes	BEST SEVICE	SIR,  ITS REALLY VERY APPRECIATE FOR GREAT SERVICE AND PROMPT RESPONSE AND UPDATIONS  THIS IS MY FIRST PURCHASE THROUGH ON LINE. I WAS VERY FEAR ABOUT THE QUALITY AND SECURE. ONCE THE ITEM DELIVERED TO ME WITH SAFE AND SECURE. I WAS VERY HAPPY   REGARDS MUZAMMIL
7	Rv	Apr 01, 2016	Yes	Could have been better	The product was nicely packed but i received a damaged battery. And small data cable... Big dissatisfaction that i doesnt include headphone....
8	VIkky	Apr 01, 2016	Yes	"One of the best  in class" Infocus M260 8GB	I really liked the way Snapdeal deliver the  Mobile well  on time. I am very happy with both the Phone  and Snapdeal..:)
9	Raghav	Apr 01, 2016	Yes	Good Product	Good Product in this price range. Got the product as described and well in time.......
10	abhishek	Apr 01, 2016	Yes	gadar phone	this is my first phone . it is very better another android mobile phone
11	Avijit	Mar 25, 2016	Yes	Better Cell	This is really a good produced , All feathers are quite better in this low price. Better Cam. quality, every parts are perfect. Therefore I request to everyone, take it with out any hesitation of mind..
12	Manik	Mar 25, 2016	Yes	More Value for money	Except camera and the absence of proxmity ...this phone is awsome display is gud not better at this price it was excellent
13	Back Banchers	Mar 25, 2016	Yes	Perfect Mobile	Best Mobile for back benchers
14	buddy	Mar 25, 2016	Yes	infocus mobile	mobile is good
15	hae	Mar 25, 2016	Yes	This is my first android device and I had a thrill in using this device.	perfect cell in low price
16	LALIT	Mar 25, 2016	Yes	BEST IN BATTERY	BATTERY BACK UP IS GOOD AND SOUND ALSO
17	eminem	Mar 25, 2016	Yes	camera clearity is little bad	camera is average
18	sdpmurmu	Mar 25, 2016	Yes	Excellent Product	nice phone
19	kumarjch	Mar 25, 2016	Yes	Best performance	Nice mobile ,and better performance in low cost
20	Vadivel	Mar 25, 2016	Yes	My opinion m 260	It is simple and  comfortable for low prize
21	narayanamoorthios1997	Mar 19, 2016	Yes	Excellent Product	worthfor 4000
22	Bhau	Mar 19, 2016	Yes	Excellent...	One of the best budget handset in market. Worth every penny spent. UI, Display, RAM, ROM, almost everything is perfect with this handset.
