Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	www.suryasurya.ss	Apr 01, 2016	Yes	Avenger arun	Its very nice because it is very  big screen  awesome mobile
2	Milind	Apr 01, 2016	Yes	Excellent Phone	I searched many smartphones in low price segment. But, I didn't get best specs as InFocus M370i have. Its the best phone in this low price. Besides, price on snapdeal is also good. Handset is not heating in any of the operating condition. Quality and speed is good. Mat finish from back side provides more grip to hold in hand and prevents scratches like glossy finish does. I like it..
3	rakeshdarji89	Apr 01, 2016	Yes	Excellent Product	viry nice mobile
4	user	Apr 01, 2016	Yes	not happy with sim2 slot	there is hybrid slot for sim2 we cannot use memory card and sim at a time
5	Cherry	Apr 01, 2016	Yes	Wow Its Working Amazing	I purchaed  Infocus M370i 4G 8GB  Its Working Very Good
6	BigBoss	Apr 01, 2016	Yes	Better phone at this price	The phone looks good, sleek and light. I didn't expect this much thin phone and light weight. When you open the back cover, plastic material does not look premium and just a like a China phone.Exterior wise, the phone looks pretty good, very compact/handy for a 5 inch phone. I feel the touch is not that much good in some spots. Not sure all face the same issue. May be they should have worked in touch sensitivity more. Remember, if you want to use SD card, then you cannot use the dual sim, it is hybrid sim type. OS/UI is good, it gives more option like CMOD. Camera quality is also good. I bought this for my sister and I own an Yureka Plus. I feel, Infocus 8MP camera is far far better then Yureka's 13MP. Go for it, if your budget is less then 5000.
7	maurya	Apr 01, 2016	Yes	Prakash Maurya	very nice.................
8	hilal.hsn	Apr 01, 2016	Yes	Good Product	Not so bad...
9	amythapa2	Apr 01, 2016	Yes	Excellent Product	it..s very oswm wow
10	Kaushik	Apr 01, 2016	Yes	Infocus M370i good phone	Infocus M370i is very good performance phone in this price range.
11	infocus	Mar 28, 2016	Yes	siva review abt the infocus	the perfect mobile in that range...even though the cam qulaity is not good but it is ok for that range and features too
12	karagwal.vk	Mar 28, 2016	Yes	Excellent Product	nice mobile & features in this rate
13	gayuraja242	Mar 28, 2016	Yes	Good Product	phne was good bt charger wire is very short...
14	ASIF	Mar 28, 2016	Yes	Awesome mobile this price tag	m buy first mobile form infocus and this pics is master cemera is perfect and lite weight
15	Thank	Mar 28, 2016	Yes	Average phone.whil be Hank	Phone while be very hite
16	Mariyan Gokul	Mar 28, 2016	Yes	Product Review	good quality, best price , fast delivery .... but sim option is different only for one sim and micro sd card or dual sim no memory card use this model... for this model so carefully purchase thank you
17	girish	Mar 28, 2016	Yes	infocus m370i	slow processer
18	sumikumar319	Mar 28, 2016	Yes	Excellent Product	InFocus M370i is the best mobile ... so I m happy I have InFocus mobile
19	zasad05	Mar 28, 2016	Yes	Excellent Product	problems this items
20	thilakkumar300	Mar 28, 2016	Yes	Good Product	is good mobile but dual sim is not perfect memory and sim card is put in only one place.
21	sagardande00	Mar 21, 2016	Yes	Awesome phone	Good picture quality, speed good,very happy for buy it.
22	Guru	Mar 21, 2016	Yes	Awesome and alagent	Perfect but camera is poor and no free gifts
23	SRPATTAPU	Mar 21, 2016	Yes	good iam satisfied by this product	good for this price range
24	Bitan	Mar 21, 2016	Yes	SUBERB DELIVERY speed AND SUPERB PHONE	Best Phone i have ever used in this price range
25	Awesome in focus set.	Mar 21, 2016	Yes	Nice cell phone with advance systems and features. Little bit gets warmer while in use.	Good in focus product. Less RAM and internal memory.
26	Priyal	Mar 21, 2016	Yes	Poor quality	not at all good
27	bhaskar	Mar 21, 2016	Yes	wast of your money	This mobile was not good, wast of money
28	MR	Mar 21, 2016	Yes	Good product	Very good product at this price point
29	Imran pathan	Mar 21, 2016	Yes	Good money worth	Good phone but earphones sound quality is very bad
30	Irfan	Mar 21, 2016	Yes	Awesome and excellent	Awesome bt one thing it lacks metal body.... plzz install metal body on the phone
31	good	Mar 17, 2016	Yes	Good Item accessories	service is satisfied and item is good condition. But i am not aware of  this that this mobile had only one point for sim and External Memory. You are also not informed in the product description
32	mithun	Mar 17, 2016	Yes	mithunsheel	Very good phone in this budget, no other can replace it. Good camera , battery is very good, looks great, it think so much just for it
33	shashibhushankumar381	Mar 17, 2016	Yes	Excellent Product	4000 thousand rupees only
34	K7	Mar 17, 2016	Yes	Excellent Smart phone	Am using Past one month amazing display 10/10
35	nawadabags	Mar 17, 2016	Yes	Sanders the best	नमस्ते यह फोन बहुत अछा है
36	thavittur	Mar 17, 2016	Yes	Good Product	mobile supper
37	ramyamerlinjose	Mar 17, 2016	Yes	Smartphone	Really a very smart experience in Snap deal.Its too good.
38	viveksinghrbs	Mar 17, 2016	Yes	Excellent Product	#It's_Super_Mobile_In_This_Price..  I love Him.. Which This Created..
39	gokuldia	Mar 17, 2016	Yes	Good Product	it's damn gud guys but since it's make some hangs....
40	raj.sardar.p	Mar 17, 2016	Yes	Good Product	I use this sell now...and it is so good for me!! and smart on lowest  budget
41	animeshnaudiyal	Mar 13, 2016	Yes	Excellent Product	Awesome Phone With Lots Of Features! I Liked It!
42	Nik	Mar 13, 2016	Yes	Dont Buy it	Its Only 1 sim is use another sim is optional  with micro SD card Front Camera Is too Poor  also secondary camera is just Camera its not face focused system its only in 1 sim 3g or 4g given 2nd sim is only 2g
43	Aarif Khan	Mar 13, 2016	Yes	awesome services by snapdeal	fantastic product & services provide by snapdeal are awesome
44	piku	Mar 13, 2016	Yes	infocus m370i	Phone is not a very good phone, the phone is good
45	matheen	Mar 13, 2016	Yes	good phone	Nice phone ,
46	avneet_palsingh	Mar 13, 2016	Yes	Good Product	little bit lagging in application
47	shailesh joshi 9016990297	Mar 13, 2016	Yes	infocus m370i 4g	good mobile i broght this phone it bettry good cemera good everything is ok
48	kk	Mar 13, 2016	Yes	infocus good quality mobile	overall good mobile
49	sdmorejaihind	Mar 13, 2016	Yes	Good Product	good phone but don't have  memory card special slot
50	kumar	Mar 13, 2016	Yes	Its good and great phone at this price	At this price the above smartphone is really good with best possible specifications, picture quality, sound clarity, camera, battery  , etc. Are good and above average.  One can buy it without doubt.
51	Good one......liked it...	Mar 10, 2016	Yes	Worth money..	Good product....
52	kaushik.borah603	Mar 10, 2016	Yes	Good Product	processor is pretty slow n the mobile lags here n thr sometimes.. display is very good at dis price range.... colors come out ok... low light photography is not good at all... power button is loose a bit... but i must say it's a nice mob...not good for selfies
53	vijaysingh1172	Mar 10, 2016	Yes	Excellent Product	good service
54	Sandeep	Mar 10, 2016	Yes	Value for money	Value for money. Good one
55	arpit	Mar 10, 2016	Yes	slow processor	pros-nice display,good battery cons- slow processor,takes time to perform mutitasking
56	aaozhchakma	Mar 10, 2016	Yes	Good Product	Nice Phone.... Iooks good,feels good,light wight,works well,run fast,smooth. only i could complain is abour the earphone....its of low quality,ear pains abit when u put it for a long time.
57	yeshwanthmanchuri	Mar 10, 2016	Yes	I always love this site	Very Good Quality and keep going snapdeal ... :)
58	Suren	Mar 10, 2016	Yes	Suren  Kamath	Good for first timers.....
59	anilbansal9717	Mar 10, 2016	Yes	Good Product	I just open box
60	Infocus M370i 4G 8GB	Mar 10, 2016	Yes	Great Budget Smart Phone	Quick delivery and awesome budget phone. great built
61	Asim	Mar 08, 2016	Yes	Awesome Cell Phone...	Love to Buy......more in future
62	Ram	Mar 08, 2016	Yes	Nice mobile in nice price	I used many mobiles but it is very different mobile
63	Velu	Mar 08, 2016	Yes	Good phone for this price	This is good phone for basic use. When compare to Infocus m2(4.5") the screen size 5" and appearance is better. But the screen clarity is not better than m2. Although it is a good phone.
64	thakurlaxmi70	Mar 08, 2016	Yes	Excellent Product	who very nice
65	KM	Mar 08, 2016	Yes	VERRRRRRRRRRRY NICE	GOOD PHONEEEE
66	good	Mar 08, 2016	Yes	good mobile but	we dont have a chance to inset both second sim ans memory card at a time
67	Steve Umdor	Mar 08, 2016	Yes	so good....	its very.... good  i like snapdeal
68	manjunath r	Mar 08, 2016	Yes	good  product	Infocus M370i 4G 8GB this product is good
69	arghyadeep23	Mar 08, 2016	Yes	Good Product	gd product.
70	trkarthi286ck	Mar 08, 2016	Yes	Infocus m370i perfect phone	Best phone at cheapest price.
71	bharatmyadav	Mar 04, 2016	Yes	Good Product	Best mobile cemara qulity bed
72	good one	Mar 04, 2016	Yes	Awesome phone	it is a good one, nice touch, ok camera. but.... when we call someone,the voice of that person is very less.
73	haadi	Mar 04, 2016	Yes	good phone at this rate	Good phone at this rate
74	Suman	Mar 04, 2016	Yes	SUMAN S MANDAL	NICE PHONE IN 6000 RUPEES
75	xingyum98	Mar 04, 2016	Yes	Good Product	satisfactory
76	padmandas633	Mar 04, 2016	Yes	Good Product	achi phone .
77	sm	Mar 04, 2016	Yes	great phone for me!	this phone is good for any beginer. every thing comes handy & easy .
78	vijay	Mar 04, 2016	Yes	infects m370i	nice product in this price budget
79	CG	Mar 04, 2016	Yes	Infocus m370i	Good product and good  service
80	srinath	Mar 04, 2016	Yes	Good product	Phone was super I like it...
81	Dominic	Mar 02, 2016	Yes	Just Ok Item, but package was opened	The Package may a return, refurbished item since it opened.
82	Sonu	Mar 02, 2016	Yes	Nice looking	Nice product according to price
83	darlin	Mar 02, 2016	Yes	No seperate slot for sim2 and it is combined with memorycard slot and front cam is not good	No seperate slot for sim2 and it is combined with memorycard slot and front cam is not good.Other wise phone  would have been perfect.Best phone to buy in this range
84	m.rajasimman	Mar 02, 2016	Yes	Good product	Very nice mobile
85	vkbaghel123	Mar 02, 2016	Yes	Amazing phone	Very nice smartphone in this price
86	razaharis827	Mar 02, 2016	Yes	Infocus m370i 4g	Best 4g phone at this price camera is very sharp I am very happy with this product
87	kallembhoomireddy	Mar 02, 2016	Yes	Excellentphone	Good specifications  Satisfied .........
88	avakshay47	Mar 02, 2016	Yes	Super camera.perfect phone	Wonderful amzoning phone and low rate phone
89	prof.a.p.yadav	Mar 02, 2016	Yes	Awesome Phone	Nice phone,Long battery life,camera quality is good,liquid flow display,1 GB ram 8 GB rom.
90	radiator	Mar 02, 2016	Yes	infocus m370i	not so bad.
91	janibasha96	Feb 28, 2016	Yes	Dnt buy its problematic	Iam having speaker problem...its nt working.....
92	soorajagrawal999	Feb 28, 2016	Yes	Nice phone	Overall its good looking and nice specs 4g phone under 5500 but its camera should be better. And worst thing is that its charging wire is too short.
93	sanjaygref18	Feb 28, 2016	Yes	Good phone	Good phone
94	dineshchavan225	Feb 28, 2016	Yes	Dinesh chavan	Nice mob...I like this mob....but not received mi mobile biils....plz send mi mob billl
95	dhrubamijar	Feb 28, 2016	Yes	Awesome product	Thank you Snapdeal n ur courier partner. I recvd d product very early. As far as the quality is concern infocus is an incredible brand I am fully satisfy wt it.. I purchased 3 similar infocus phones in one week..
96	chethan.vatal	Feb 28, 2016	Yes	Good phone	Good phone at this price.
97	varma_vvn	Feb 28, 2016	Yes	Nice mobile with good features	Nice mobile with decent features...
98	yogeshjadhav511	Feb 28, 2016	Yes	Good mobile quality	I can use better quality mobile
99	chandrahaspoojary24	Feb 28, 2016	Yes	ತುಂಬಾ ಚೆನ್ನಾಗಿದೆ...ಆದರೆ...	ಒಂದು ಉತ್ತಮ ಮೋಬೈಲ್ ೫೦೦೦ ರೂಪಾಯಿಗೆ. ಆದರೆ ಸಿಮ್ slot ಮತ್ತು ಮೆಮೊರಿ slot ಒಟ್ಟಿಗೆ ಕೊಡಬಾರದಿತ್ತು. ಹಾಗೂ ಪ್ರೋಸೆಸರ್ ೧.೧ ಆದ್ದರಿಂದ ಸ್ವಲ್ಪ ಹ್ಯಾಂಗ್ ಆಗುತ್ತದೆ.. ಕ್ಯಾಮರ ಚೆನ್ನಾಗಿದೆ...ಮತ್ತೆಲ್ಲಾ ಪರ್ವಾಗಿಲ್ಲ..
100	ramsinghyadav178	Feb 28, 2016	Yes	GOOD MOBILE	I recieve this mobile on 30th jan 2016 and at my experience of last one month This mobile is good and all apps work finely without hanging .but one things is that its camera quality in low light is not sufficient. All about this is a good mobile in this price range. So rate  it 4 star.
101	chakri	Feb 26, 2016	Yes	good product	nice mobile in good cost
102	riteshphadnis	Feb 26, 2016	Yes	Awsum specs	NYC fine under dis price range
103	Bunty Sardwal	Feb 26, 2016	Yes	According to price It's fine	Hang issue, and very expensive accessories. If your display has been broke down and you want to change the display then you have to pay approx 3000 to 4000 for a single display.
104	nikhil.kaushik02	Feb 26, 2016	Yes	Good product	Overall experience of this mobile is quite good. Camera & performance is not soo good. If you want a good mobile for average use,go for it.
105	amankumar6862	Feb 26, 2016	Yes	Best phone	Best phone
106	isantu	Feb 26, 2016	Yes	Excelent one....	THis is a awesome one in this budeget..
107	Tuhin	Feb 26, 2016	Yes	Very bad speakers & earphone	Dont recommend this - the speakers & even ring tone get muffled. Not good for making calls
108	nsgkadlas	Feb 26, 2016	Yes	Very bad product by Reputed company	It has so many problems...like over heat while speaking...camera not opened....
109	viji.avk	Feb 26, 2016	Yes	Good Product	it's good...very nice Mobile
110	sparshtyagigr	Feb 26, 2016	Yes	Good Product	Best phone to buy in this budget but the camera is poor and it should have gorilla glass protection.
111	raj	Feb 23, 2016	Yes	infocus  m370i	nice one option are good,
112	dannyisaacjay	Feb 23, 2016	Yes	Good Product	its very nice
113	saquibshaikh88	Feb 23, 2016	Yes	Good Product	it's not the same, that's on the snap deal, design something different.
114	vinodwatgure7	Feb 23, 2016	Yes	Good Product	8mp camera quality  is not proper  just like 2mp camera & flash light quality low. otherwise better
115	Sreeni Vasulu	Feb 23, 2016	Yes	You  need to use Second SIM or Memory card... you cant use both .....	You  need to use Second SIM or Memory card... you cant use both .....
116	singhd107	Feb 23, 2016	Yes	Bad Product	this iw good tb so so in didnt able tu use sim 2 nd mamory card at same time. camera is also not good i am not happy with this
117	good	Feb 23, 2016	Yes	the mobile is very good it is easy to handle camera is so good and supports large games like asphalt	good   is very good
118	rajthamada	Feb 23, 2016	Yes	Excellent Product	mobile super
119	shobhan.roy33	Feb 23, 2016	Yes	Don't expect too much.	Pros: 1. Premium look 2. Camera 3. Low ram usage (50% avg.) 4. Upgradable to Marshmallow. 5. Sound quality is good. 6. 4G enabled.   Cons. 1. Touch is not that good. 2. The back is made of low quality plastic. 3. Processor is a bit slow 4. Internal Memory is less
120	sk	Feb 23, 2016	Yes	not bad as the price is not high.	Gud phone for this price. Camera is ordinary. Light weight. Company has cut the cost by using ordinary hardware. But not bad as the price is concerned.
121	sushilgharat2011	Feb 20, 2016	Yes	Very Disappointing product	The phone is very disappointing, dont buy it if u want double sim than dont go for it. The problem is that if u want to use double sim u could not used memory card & if u want to use expand memory than u cant use other sim. I puchase it on 28Jan2016 but after 5 days it start restarting continously.
122	jrangshira	Feb 20, 2016	Yes	Wow! Itz awesome	This phone is unbelievable.... Itz awesome ....works well more then expected...a very good one...itz only disadvantage is that sim 2 and m.card could b inserted at a time....the rest everything is good..i would rate 5 out of 5..                          Dnt think go for it ...itz awesome Believe that
123	RAFEEQ	Feb 20, 2016	Yes	BEST PHONE, WITH GOOD FEATURES	Good phone,cheap and best
124	tinku	Feb 20, 2016	Yes	nice and battery backup is awesome	nice and battery backup is awesome
125	Charle	Feb 20, 2016	Yes	Good Phone at this pries	Awesome phone at this price  but both sim & sd card at a time not enable  sim+sim or sim+sdcard any of one.
126	guna	Feb 20, 2016	Yes	ok type mobile in infocus	I think this mobile is the average mobile one infocus brand.  sim & memory card (or) dual sim without memory card
127	ykr.235	Feb 20, 2016	Yes	worth for the money...:)	But if you can afford another 2K extra you will get 16GB & 2GB RAM variant (Rs.7250) which is of much better spec...
128	totally disssatisifed	Feb 20, 2016	Yes	I am returning the phone	worthless product
129	jeevanrithish.1119	Feb 20, 2016	Yes	Unlike this product	I'm not satisfied in the product due to hanging problems
130	mohan	Feb 20, 2016	Yes	Infocus M370i	this product is not fully satisfaction
131	umesh	Feb 17, 2016	Yes	Perfect phone	all are best features.....................
132	antonyairflow	Feb 17, 2016	Yes	Good Product	phone better
133	pj	Feb 17, 2016	Yes	should gooo for this	awesome at this price
134	Karthikeyan	Feb 17, 2016	Yes	Good Mobile at this price!!!	>>> I want to know the 4G Band Frequency for this product..Basically 4g network requires Band 3 1800Mhz..In this Product 4G Band 3  Frequency was 1200Mhz , so how to i connect 4g network ? >>> how to insert sd card and nano sim ?
135	barot_pradhyuman	Feb 17, 2016	Yes	Excellent Product	great mobile yar
136	Karuna Keert	Feb 17, 2016	Yes	Infocus M370i 4G 8GB Black	Great phone decent performance. Very comfortable to use, great looks, great Camera,  good Quality product at this price. Thank you Snapdeal for a great deal
