Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	mahi	Mar 18, 2016	Yes	infocus m535m	all features of this phone best..........i like it
2	vinaya	Mar 18, 2016	Yes	One of the best product	I suggest this mobile to everyone because I feel it is one of the best mobile
3	b.g.shanthakumar16	Mar 18, 2016	Yes	Infocus mobile	Good in work
4	Guest	Mar 18, 2016	Yes	service excellent	Service is good
5	Mounika	Mar 18, 2016	Yes	Mobile is so cuteeee....	Mble was good but I am very much disappointed in two things...one thing is about Sim slots, and the other thing is USB cable ...the wire is too short to keep charge ..every time I used to keep support for the mobile..my suggestion is please give other slot SD card along vth dual Sim slot. And provide USB cable vth good length...
6	deva	Mar 18, 2016	Yes	superb mobile	It is just like xerox of my iPhone 6s rose gold with great performance... I like it
7	sachin kumar	Mar 18, 2016	Yes	good mobile in 10 k range best camera quality. welcome infocous team	its very good mobile , in 10 k range , touch very smooth , no heating issues  battery backup very good , very clear video quality 2 gb ram etc. very fantastic mobile . thanks snapdeal . plz buy it. its good for others companies
8	hekchache15	Mar 18, 2016	Yes	Awesome...	I bought this mobile a month ago and it was a good phone all the function are perfect and there is no hang problem. I would recomend it.
9	salins	Mar 18, 2016	Yes	infocus m535	good product. thanks.
10	divyeash	Mar 18, 2016	Yes	Awesome brand in focus	Overall awesome product just one con charger cable is too short..
11	santosh.vodnala	Jan 10, 2016	Yes	This aamazing phone	Iam saying after 1month this is giving good battery backup... i suggested  this phone to frnds.... they buyed this phone and thy are saying the phone is amazing....
12	newcrazy.ch	Jan 10, 2016	Yes	Excellent infocus	Awesome mobile
13	kotikrishna.o	Jan 10, 2016	Yes	Quality and slim	Good quality in all aspects.
14	abdemirza0000	Jan 10, 2016	Yes	Good phone but not the best.	Super fast delivery by snapdeal.  I have a Coolpad Note 3 which I bought for Rs.9000 and then I ordered this phone only for its looks.  Pros : *Good Camera but its front camera which is 8 mp shoots exactly as my Coolpad which is 5 mp and I doesn't found any difference. *Its touch is very smooth *Its performance is also good. *The phone is super sleek and looks sexy . * The speaker grill is next to the charger port which outperforms and better than my coolpad note 3 which has speaker at the back and the sound gets effected when a put down coolpad. Cons : *They have given hybrid sim means that you can use dual sim or one sim and memory card. *The earphones and  chargers disappointed me a lot. When you'll see the look of the phone and then chargers and earphones . *The phone heats up, I think it is because of the metal body. *Battery is only 2600 mAh as Coolpad has 3000 mAh. Final Verdict : If you are not a hardcore gamer and want to have a phone which is packed with great specs and also looks great than it is perfect. I am not disappointed much because  you cannot get get the packed with some heavy specs and also looks great at this price then it is not possible.
15	shreekrishna1994	Jan 10, 2016	Yes	Very stylish and good performance	This phone is really good with its style,rate and features  The thing I wud like to tel is dat its speaker quality is average,other dan this,every thing is fine
16	ROHIT KUMAR	Jan 10, 2016	Yes	great product	great product
