Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Mrs. Soni Kumari	Oct 04, 2015	Yes	Nice product.	its a smart and impressive set. Battery back up be enhanced.
2	tapu	Oct 04, 2015	Yes	just feel the classic beauty with power	Awesome Android phone with great features at such a low price.guys if are looking for a classic with beauty and great feature its a best phone.
3	vino	Oct 04, 2015	Yes	singal problem coming frequently	Tower not showing every 10 min and the main problem is total internal memory 8gb.. but only 1 gb only showing as internal memory . For 1 gb only we have option to install apps
4	karthik	Oct 04, 2015	Yes	nice phone	Nice phone
5	Jitendra Patel	Oct 04, 2015	Yes	Good	Good
6	Deepan	Oct 04, 2015	Yes	Intex Aqua Star 5.0 hanging & very slow	hanging & very slow
7	gandhi dhaval	Oct 04, 2015	Yes	nice	Its good
8	tush	Oct 04, 2015	Yes	low quaity camera	Icant capture night mode pic nothing seen in night capture picture...not so good quqlity camera..bettry backup is also not great..overall its average.
9	Zafar	Oct 04, 2015	Yes	Excellent Features @ Great Price	Intex Aqua Star 5.0 is beyond its brand value. The phone has great aesthetics packed with powerful specifications.  A bit disappointed with snap deal service. It took more than 10 days for the product to be delivered in Delhi..
10	Arun Chatterjee	Oct 04, 2015	Yes	Original Good Product & Perfect value	Product is performing as per expectation, Delivery Time should more earlier. Thanks to Snapdeal for delivery of original product
