Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	shweta	Jan 16, 2016	Yes	good service	Snap deal service very good But phone not very great
2	surubha	Jan 16, 2016	Yes	so good and nice	Nice app snapdeal thanks
3	abrol	Jan 16, 2016	Yes	Excellent	In this price ,it is really paisa wasool mobile,look is very good,touch is very good.
4	Sunil	Jan 16, 2016	Yes	good	good mobile but delivery late please improve the same....
5	Renu	Jan 16, 2016	Yes	Intex aqua xtream 2	Very nice phone and very good service of snapdeal
6	Brijesh	Jan 16, 2016	Yes	Brijesh Kushwaha	good.. but sensitivity is not as expected. back button is very less sensitive.
7	Bittu	Jan 16, 2016	Yes	Nice In Budget Price	Really its nice have such a feature phone in this price.
8	sandeep chhimpa	Jan 16, 2016	Yes	top class mobile	This product is very gud And top class ips display And 13mp camera is very gud Special thaks for snapdeal team
9	raju	Jan 16, 2016	Yes	Great offer	Really good offer on snap deal. Purchased while offer
10	Rohith	Jan 16, 2016	Yes	Best ever	It working better than my old smartphone
11	Sanjay	Oct 27, 2015	Yes	Extrem	Nice product.......... Only Camera Problem......... it is 13 megapixel but work as 2 mega pixel
12	vinaykr77`	Oct 27, 2015	Yes	Best Value for Money	You won't find any phone @ this price which is feature packed.
13	Mayank	Oct 27, 2015	Yes	Good but not upto the mark	Camera quality is not like 13 Mp and sound is also very low....but the performance of phone is very good.
14	DIPTESH PAREKH	Oct 27, 2015	Yes	NOT GOOD MOBILE FROM INTEX	VERY POOR  BATTERY , WORK ONLY 3-4 HRS. PRACATICALLY AND ALSO CHARGING TIME IS 3 HRS FOR MOBILE. PLS. DO NOT BUY THIS PRODUCT FROM INTEX. VERY BAD & AVERAGE MOBILE. NOT A GOOD EXPERIANCE AFTER BUYING . CAMERA AVERAGE OF 13MP BUT COMPARE THE RESLOULTION IS 8 MP. DO NOT PURCHASE THIS MOBILE
15	Meera	Oct 27, 2015	Yes	Its much better than 12K Phones.	Pros: Excellent Design.( Looks same as an i phone). Extremely Light weight. Perfect Selfie Camera(5 MP) with best picture and colors. Awesome back camera with good picture quality. ( 13 MP). Long lasting battery. Bright and beautiful screen.  NO cons have been observed . It is the best Intex phone I have ever observed.
16	Ash	Oct 27, 2015	Yes	Lightweight but solid performance	Using product for last 5 days..... Very good speed and responsive of with good and sober looks
