Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Senior Citizen	Dec 20, 2015	Yes	INTEX CLOUD FX MOBILE	This is an entry level smart phone, I purchased it after going through the reviews. I find that for a phone at this price it is satisfactory.
2	utkarsh	Dec 20, 2015	Yes	bakwaas phone , disappointed	i have lost my money i think , its having everything but its nothing , u got wi fi whatsappbut u cant use anything becozz its ram iss too low , i cant use even whatsapp properly .... dont buy it . .... disappointed from firefox nd intex both
3	karthik	Dec 20, 2015	Yes	okay for this price	except battery, everything is okay. For this price we can naot expect more than this. So, for the money we paid,it is okay.
4	RHK	Dec 20, 2015	Yes	Excellent Mobile	Excellent and awesome Mobile at reasonable price
5	mk	Dec 20, 2015	Yes	good	good experience  with snapdeal. intex cloud FX  has good features in low price
6	Sandy	Dec 20, 2015	Yes	Earpiece not working after few month, no service centre to repair.	Sorry to write review with some delay but really its earpiece stop working after few month. now device is only used for gaming purpose. Thanks for such video game.
7	Faisal	Dec 20, 2015	Yes	GOOD	1 YEARS LATE MY REVIEW ABT PRODUCT. it's a very nice mobile at the price.
8	Phanikumar	Dec 20, 2015	Yes	Good for this price	After abut 7 months of usage the mobile was working Good.  No lags,no hardware  or software problems.  Can't expect a very good camera, etc at this price. But it is value for money.
9	chinmay	Dec 20, 2015	Yes	Mozilla Fans gonna love it	Good . Only one with firefox os in india
10	kka	Dec 20, 2015	Yes	Worst Phone	sim1/sim2 issue, battery issue never buy this phone
11	kdv	Oct 02, 2015	Yes	Nice	It is nice to have this phone .Its have nice specification . Good lookin as apple.
12	BIJAY	Oct 02, 2015	Yes	BOITY	AVERAGE PRODUCT AS PER PRICE BUT GOOD FETURES.
13	good one	Oct 02, 2015	Yes	good	best phone as a gift item for someone ,best budget phone
14	Balu	Oct 02, 2015	Yes	Budget phone But not for smart users	This phone is good for smart phone beginners.
15	VIMAL	Oct 02, 2015	Yes	VERY NICE	THIS PHONE IS VERY BEST FOR USE ALL SEASONS
16	Bapi	Oct 02, 2015	Yes	Good mobile	This is a good handset of low budget. Sound picture all quality is good.
17	Prasad Kumar	Oct 02, 2015	Yes	Average product	Agree that the product comes at a low price. So I don't expect any performance. Being a new platform I don't even wish to see tons of apps in Market. But the phone stutters while doing even simple tasks as opening a dialer or gallery app. Products like these bring a bad image to  a budding OS. Would love to see middle to high end devices from Firefox/
18	Sachin	Oct 02, 2015	Yes	Intex Cloud FX	The phone has good looks, but not very good in its touch response due to slow processor. It has very less internal memory and so you cannot install other apps. Touch is also not very responsive. I would not suggest this phone if you have a budget of 2000. You can better take any basic phone which will not disappoint you as much, for sure.
19	Narayan Rana	Oct 02, 2015	Yes	better product	better product
