Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	akshauu	Apr 01, 2016	Yes	nycc... speed...  good... pice	This is my first android device and I had a thrill in using this device. Good job in making this mas...
2	Sebastian Muthuplackal	Apr 01, 2016	Yes	Worth bying	I use this phone for four months. I am fully satisfied with its configuration and performance. 3 gb ram really means it. I use more than 160 apps and did not feel any dragging still.
3	forhaddiu	Apr 01, 2016	Yes	Good Product	nice.but some scratch on back side and dust on lock
4	puja	Apr 01, 2016	Yes	good mobile	Good mobile good working
5	manjeetsinghraj.ms	Apr 01, 2016	Yes	Good Product	mobile is good puality,frant camera good but primary camera is not good.
6	PKP	Apr 01, 2016	Yes	ok best product	nice mobile
7	sonusaif786	Apr 01, 2016	Yes	Good Product	my intex cloud swift....
8	mohitgulia7	Apr 01, 2016	Yes	Best product at Superior price.	Very happy with service.
9	Prabha	Apr 01, 2016	Yes	mobile intex cloud swift	it was good
10	piyush mittal	Apr 01, 2016	Yes	everything great except the camera	got the delivery on time from snapdeal. i ll like to comment on the key features of the phone such as:- looks - great battery  - good touch screen  -  extremely good phone does not heat up ram -  excellent processor -  average camera - not satisfactory and this is the only feature in which this phone lags behind otherwise this phone is pretty cool.
11	gopal	Mar 17, 2016	Yes	very good mobile	nice mobile
12	rampadasingha973	Mar 17, 2016	Yes	Excellent Product	this product is very nice.I am very happy to use this phone.this phone is very fast and camera very good.
13	kakoty.rituraj	Mar 17, 2016	Yes	Good Product	light phone,  good cameras, 3gb ram,  16gb rom grt experience, I fill heating in the time of charge and continous running, 2days before I have use.
14	Prince	Mar 17, 2016	Yes	Its good quality	I satisfied
15	Mitesh	Mar 17, 2016	Yes	Great Mobile Phone	Best mobile in this price, performance is good, screen resolution also good, charging process very slower but all over best mobile phone and value for money.
16	krishna	Mar 17, 2016	Yes	Good Mobile	Good Mobile
17	Dilip Maghodiya	Mar 17, 2016	Yes	Intex Cloud Swift Mobile Very Nice	Very Very Nice  Intex Cloud Swift In Very Speed Very Nice Camera Is Beautiful
18	Praveen	Mar 17, 2016	Yes	Praveen Kumar Sharma	Snapdeal services are excellent and I am happy with Intex Cloud Swift 4G 3GB RAM/16GB ROM Mobile is also good.
