Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	shyam	Jun 13, 2015	Yes	best mobile	it is a good handset more sound voice clear
2	Manju	Jun 13, 2015	Yes	i would recommend the snapdeal to a friend again and again.	best mobile from intex & snapdeal. good bateery backup and best in a  featur phone range.  low  cost good phone and like it two much......
3	Ashish	Jun 13, 2015	Yes	Very good battery life but beware of same fraud merchants.	The phone is very nice to feel,long battery life,loud sound.Bought it on 15 may 2105 but I am not satisfied with the Merchant,they shipped second hand product to me.Seal was teared,phone was not in wrapper,Screen protection was removed,full of scratches,Box was teared from one side,Horrible packing just a polythene covering the box etc. I initiated a return. I warn everybody here that don't buy from merchant "Gemstoneindo".They are selling second hand phones.And one more thing this phone is discontinued 6 months before,but otherwise this is very good phone.
4	yog	Jun 13, 2015	Yes	perfect	its very comfortable & easy to use.specially for women.
5	ankit	Jun 13, 2015	Yes	ruf and tuff mobile	good design nice features and big screen  feel good in hand   it is very tuff
6	Arun Radan	Jun 13, 2015	Yes	superb	cheap and best product...............
7	baskaran	Jun 13, 2015	Yes	Mobile is good but details mistated	phone book memory stated is 1000 contacts but it having only 500 storage capacity.  shipment delayed too much it disappointed
8	Bharat	Jun 13, 2015	Yes	product is good	This is good product in low range mobiles with good battery back up.
9	Kaamini Chaudhary	Jun 13, 2015	No	Perfect. It doesn't get any better	Excellent service by Snapdeal
10	sud	Jun 13, 2015	Yes	grt phone	It's grt phone and so smoothly.. And good features
11	shubham	Mar 20, 2014	No	Excellent battery life	positive points:- Excellent battery life Solid external memory Economically priced Standard display...!!!... negative points:- Poor camera Average in-built storage...!!!... Intex Jazz is a feature phone with a decent display size, holding most good options still low-priced. The phone provides a brilliant talk time. This phone can be a good choice for people who travel a lot and it can act as a good substitute for your smartphone...!!!...
