Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	vishal patel	Oct 23, 2015	Yes	Good  products	Good service fantastic n I suggest another this product M fully satisfied
2	vivek	Oct 23, 2015	Yes	Worth it	Cons- 1-battery backup not good , 2- no inbuilt memory
3	song	Oct 23, 2015	Yes	it's a trendy phone	it's the best you could in this range..all upto the mark.
4	mitrasantanu56	Oct 23, 2015	Yes	Intex Turbo S5 Champagne White	Nice cute phone and fulfills the desired expectations as promised.
5	User	Oct 23, 2015	Yes	Nice product with fast delivery	Snapdeal has provided this product within 2 days very fast delivery compare to Flipkart..Product is also good for normal use..Back of phone is good but front may disappoint. Overall I will suggest this phone for normal and basic use.
6	Sanjib	Oct 23, 2015	Yes	Very good one!	Quality, features, everything is as expected!
7	patel gautish	Oct 23, 2015	Yes	Perfect. It doesn't get any better	nice phone.. very nice look
8	Ano	Oct 23, 2015	No	Cheap N Best.....	Best phone in this price range.
9	jeet	Oct 23, 2015	Yes	good	average good features and good quality
10	ncsrin	Oct 23, 2015	Yes	Nice	Nice phone weightless looking good. The software and apps are not sofistigated but old. Overall it is a good one for the budget.
11	kannangirifam	Jun 03, 2015	Yes	value for money	Good design and perfect battery backup
12	Vijju	Jun 03, 2015	Yes	NIce	Phone was nice .back of the phone is very nice.Front side may disappoint you .voice and feature are good
13	Amit	Jun 03, 2015	Yes	I would buy this product again and again	I bought Intex Turbo S5 last week. Its speaker voice is very clear and its battery backup is very good. This is a nice product. It has an other service which is automatic call recording. This product is simple and easy to use.
14	hit	Jun 03, 2015	Yes	good	Good
15	shah	Jun 03, 2015	Yes	good looks	good its ok normal looks n ok ok
16	koolrahul	Jun 03, 2015	Yes	Excellent Phone !!	It is a good phone in the given price
17	Riyaz	Jun 03, 2015	Yes	Must Buy	Its look Good With back Cover provide free in box easy to use
18	Vikas	Jun 03, 2015	Yes	Excellent product	I gifted this phone to my grandmother for its simplicity and ease of use. Besides, it reminds me of the good old Nokia days where looking for contacts and making a call was easier as ever. Pros: Easy user interface and a very chic design, somewhere resembling iPhone5s Cons: No external memory in case one wants to store extra data. Very few applications  Best uses: Voice quality of calls, battery backup is great
19	raj	Jun 03, 2015	Yes	so cool	It is good working. I am happy
20	manojmathur86	Jun 03, 2015	Yes	Great Bar Phone!	Awesome phone this is, I purchased this phone befor few days a go. Very easy interspace to use and battery backup is also very good, I liked all feachers in this phone. I will recommend this to my family and friends also.
21	raajsingh949	Feb 22, 2015	Yes	very good phone	Good dsigne
