Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	white	Mar 01, 2016	Yes	turbo super	Nice very slim and white is best
2	rick	Mar 01, 2016	Yes	bad	I have order white and silver color and it is the good one but they have send me the gold one which is really verybad and low memory,poor camera,etc.
3	Rajnish Kumar	Mar 01, 2016	Yes	Intex turbo s5 keypad	keypad is not better but battery backup full charge roughly work 2 days.
4	qdkhan	Mar 01, 2016	Yes	Good Looking	I give the advice to purchase that person who want to look like i phone and slim design, long lasting battery.
5	akki	Mar 01, 2016	Yes	Good mobile..!	Look is very good. light weight. English & Hindi two language support.  Battery lasts 1 week. box includes handset+charger with data cable+earphone+ extra battery+mobile cover!
6	Idris	Mar 01, 2016	Yes	Good product gud service	Snapdeal really gud deal. I order  do phone index Turbo value for money sound beautiful  with  batary backup  awesome  thanks snapdeal for a good product.
7	kannangirifam	Mar 01, 2016	Yes	Good stuff	Stylish phone with all features
8	Sunny	Mar 01, 2016	Yes	Nice	Nice..handy...and good looking phone at this price point.
9	Shekhar Yadav	Mar 01, 2016	Yes	Value to money. Such a nice phone. Elegant Design.	price worthy.
10	Manish Patel	Mar 01, 2016	Yes	I Like This Phone	Good Phone In Low Bajet Thanks Snap Deal.
