Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	somaviji	Mar 18, 2016	Yes	Excellent Product	decent mobile with good voice clarity. CDMA service  is very good
2	J3c	Mar 18, 2016	Yes	goodddddddddddddd	fittttttttt
3	up	Mar 18, 2016	Yes	upendra dutt	Nice phone
4	chandru	Mar 18, 2016	Yes	CDMA Phone	very good for the price
5	bobs11cricketers	Mar 18, 2016	Yes	Good mobile	I was looking for CDMA phone and I got this one with single sim it is good and cheap in CDMA range everything is fine no camera overall it is good.first I thought jivi is newo brand but after getting this I felt it is good as Nokia battery is also very good.
6	RBPradeep	Mar 18, 2016	Yes	JIVI C300 CDMA MP3 Mobile	The CDMA Mobile is really very good and compactible indeed. Voice Quality is good. Supports MTS CDMA Sim also.  Good and best budget CDMA Phone.
7	CHANDAN	Mar 18, 2016	Yes	CDMA good phone	Recording facility very good than other CDMA phone .key backlight is very good . My Reliance CDMA and Indicom CDMA support this mobile phone.
8	dev	Mar 18, 2016	Yes	jivi cdma	i send it for my mom and she was quite happy with the product,delivery has been made in 3 dayz while they have mention that it might take 7-10dayz.
9	kishore	Mar 18, 2016	Yes	Good	Product is good. Delivery time is perfect
10	Riphan Fargoes	Mar 18, 2016	Yes	JIVI C300 CDMA MP3 Mobile	It was good product with lower cost recently having some issue with it
11	Manoj	Jun 23, 2015	Yes	Best	Best product GOOd quality
12	SURENDRA	Jun 23, 2015	Yes	W	GOOD
13	Navin	Jun 23, 2015	Yes	Super	Perfect phone  for  cdma sim.best choice
14	Himanshu Gupta	Jun 23, 2015	Yes	very Good product	Very good prduct & easy To use who do not use smart phones. I suggest to every one to buy this product.
15	malay	Jun 23, 2015	Yes	good product.	good product,no network or heating problem,which is very much found in most CDMA handsets (not in big brand's mobile),
16	Bhati	Jun 23, 2015	Yes	Nice	Mobile good working but not working memory card slot & music player
17	abhishek	Jun 23, 2015	Yes	Very cheap phone	Sound quality is bad.Ringing volume is not audible even if its near to ear..no vibration mode...however battery life is good.will not recommend this device to bye.
18	Dolly	Jun 23, 2015	Yes	JIVI C300 CDMA WAS REALLY GOOD	LIGHT WEIGHT PRODUCT & THAT PHONE BOOK MEMORY WAS TOO TOO GUD & VERY USEFULL TOO..
19	Bikram	Jun 23, 2015	Yes	Good CDMA mobile	Good CDMA mobile,  battery is good enough,  mp3 sound quality is good, Keypad are nice to touch. Overall good deal.
20	jimmy	Jun 23, 2015	Yes	simply the best	Nice and handy  product with good speakers for music lovers, besides at an affordable rate which makes it soo attractive
21	Mahavir	Apr 23, 2015	Yes	Battery problem and phone getting heat	It gets heated while talking within 5 minutes. Battery is not good. voice also not clear.
22	CHANDRA	Apr 23, 2015	Yes	EXCELLENT PHONE AT THIS PRICE	VERY GOOD PHONE EASY TO USE AS I GIFT THIS MY MOTHER .
