Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	fsk4820	Feb 09, 2016	Yes	Excellent Product	good looking and fine service
2	amit	Feb 09, 2016	Yes	Nice pic super	Very nice pic
3	parthee.rkb	Feb 09, 2016	Yes	Ok perfect	Memery card not working
4	vimal	Feb 09, 2016	Yes	nice......	Good looking phone in this price.
5	gauravchavan55	Feb 09, 2016	Yes	Nice simple phone	Simple n tough..  All the basic features that a phone should have..  With a amazing price..  Good to gift ur grand..  Good sound clearity...
6	raj	Feb 09, 2016	Yes	Nice  phone	jv is tha very nice and good looking phone.m satisfied this phone
7	Rajiv	Feb 09, 2016	Yes	JIVIX57 Dual SIM G+G White	Black List  and Call Recording are working fine Back Light behind keypad is very nice shade of Blue (looks very nice in night specially) Camera is sluggish but I don't require it anyway But this phone is worth its price in this price range I recommend this product
8	quality is poor but quantity is good	Feb 09, 2016	Yes	battery is poor and also hanging	battery is poor and also hanging, battery is poor and also hanging, battery is poor and also hanging, battery is poor and also hanging, battery is poor and also hanging
9	Amit	Feb 09, 2016	Yes	it is good phone	This is a very good phone in this price.
10	Satish	Feb 09, 2016	Yes	Best Ph. in this price	best low bugut ph.
11	rohit	Jun 16, 2015	Yes	Don't judge a book by its cover"	nice phone
12	Shani	Jun 16, 2015	Yes	aAAA	it's good for its price.
13	rakesh	Jun 16, 2015	Yes	best service	Good
14	Akash	Jun 16, 2015	Yes	this item is very good	Comfortable for for low price phone
15	Veerappa Nelligudde	Jun 16, 2015	Yes	i every time purchase in snapdeal	Very best online shopping site. Timely delivered.
