Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Deepu	Dec 19, 2015	Yes	Very good phone	This is excellent Phone with so less price. The volume is good.
2	pls	Dec 19, 2015	Yes	Karbonn A1+ purchase from Snapdeal	Good phone for a person going first time for touch , android phones. Packaging was good. Delivery on time Personnel Courteous.
3	sanu	Dec 19, 2015	Yes	Perfect	Worthy for this price...all features are good...
4	rakesh	Dec 19, 2015	Yes	good product at that price	excellent lokking, timely deliover, good functioning
5	nimaeeee	Dec 19, 2015	Yes	My feelings	It's my first experience with snepdeal and its oosum I really like to buy some more productwhen we need orany occasion like DEEPAWLEE
6	Noor	Dec 19, 2015	Yes	Waste	Very Bad
7	shekhar	Dec 19, 2015	Yes	It is very nice and working very smoothly thank;s snapdeal	Karbonn A1+ Champ 256 MB Phone White-Silver is very good and working smoothly i trust only snapdeal.
8	Ash	Dec 19, 2015	Yes	i like to buy product here	good i like it
9	Selash	Dec 19, 2015	Yes	Simply nice	nice phon,but should not receive any apps in bt.. Already saved apps in sd card.in this apps are normally installed.cost wise ok this mobile
10	sarves	Dec 19, 2015	Yes	look s Ok	Battery is dead in 2hrs continues use in Internet communications
