Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	shilpi	Jan 21, 2016	Yes	Nice product	this is good in quality it is best in this price
2	Rudra	Jan 21, 2016	Yes	Good phone considering the price	Pros: Nice design, very handy All the features in this price Interface is nice and organised Front camera and flash  Cons: Battery Backup is not good...exhausts after 2-3 hours of constant browsing Included apps are backdated  At this price asking any more features would be a crime...below 3000 rupees this is the best smartphone of 2015!
3	MK	Jan 21, 2016	Yes	Good for the price	Good for :  Price  Androind OS  Capacitive touch  Blutooth and Wifi   Bad for :  Internal Memory(100 mb) Ram(200) Hangs Game of 40+ mb No tethering(No Hospot Creation)
4	Rishi singh rj	Jan 21, 2016	Yes	Very good	Very good price with chep rate  i m just loving it
5	SJ	Jan 21, 2016	Yes	Karbonn Android Mobile	A good mobile at a reasonable price but the battery power backup is too less. Gets exhausted within a hour and a half on continuous running of songs or internet. Battery power needs review and improvement.
6	karak	Jan 21, 2016	Yes	fastest delivery	I'm very satisfied with product & delivery timing . customer care support is very fast , i just love to shop here..grt job snapdeal
7	jazzy	Jan 21, 2016	Yes	Its cool product  and have good functions	I like this product its very good and stylish
8	lisa	Jan 21, 2016	Yes	Mobile phone	Perfect gift, bang before delivery day.😇excellent  ,keep it up, planning to order one more for gifting 😀
9	Neelam	Jan 21, 2016	Yes	Bindas	Mast ph hai bhai  Bt camera is too dull  Batery back up is too good
10	YADUVANCI	Jan 21, 2016	Yes	KARBONN A 108 GREU	NICE PHONE IN 2G BEST.  This is my first android device and I had a thrill in using this device. Good job in making this mas...
11	nani nice phone	Oct 15, 2015	Yes	KARBON A108 GREY	KARBON A108 GREY so good sobetter fine havea nice phone android nice so good
12	Paven	Oct 15, 2015	Yes	Value for money	I have bought this mobile for my dad. They took almost 10 days to deliver this product... (Please improve the delivery time). Regarding the product it is absolutely good for people don't use internet often,  worth to purchase and really value for money.
13	Hafeez.Mad	Oct 15, 2015	Yes	Good product	its all good product in low range i brought it for my Spare use of whatsapp & personal phone call but now i am using this for all  Excellent
14	mohit	Oct 15, 2015	Yes	Best Deal in snapdeal	This offer very good & best deal in this Product
15	Supratim Basu	Oct 15, 2015	Yes	Value for money	I gift  this mobile to my younger brother who is just 15 years old.  This is very basic android mobile. But almost all useful application can be downloaded & running smoothly.  Picture quality is not so good.  But in this price range this has worth for money.
16	naveen	Oct 15, 2015	Yes	Karbonn a108 mobile phone	Good phone at this price. But if you are looking for a quality camera, then this might be the one. Rest all the features good.
17	ALOK KUMAR	Oct 15, 2015	Yes	Best Price	As usual  service, delivery and quality of product purchased from SD  is excellent.
18	Moish	Oct 15, 2015	Yes	NIce	nice one for such price. just the processor too slow for internet connnection
19	Jk	Oct 15, 2015	Yes	Android phone at best price	Reasonable price  Good product Delievered in a day
20	Medddii	Oct 15, 2015	Yes	The product quality is good	Phone is working fine all the material use original and all function are working fine and that was i taking
21	shukla	Jul 09, 2015	Yes	Good  recommend this products	This is my first android device and I had a thrill in using this device. Good job in making this mas...
22	Rams	Jul 09, 2015	Yes	Quality Not good	Touch not working always struck the mobile.We have restart to work this mobile always....Camera also  not good
23	Venky	Jul 09, 2015	Yes	Yes	This is phone good
24	Robby	Jul 09, 2015	Yes	Nice	Very nice mobile low price nd bbest features I love it this is very fast slim nd dual sim all video support this is best phone
25	DK	Jul 09, 2015	Yes	vry nice	Vry nice one !  Thanx spandeal :)
26	lohith.bittira	Jul 09, 2015	Yes	Awesome	Nice budget phone in smart phone
27	Balu	Jul 09, 2015	Yes	phone	It's a nice phone
28	biswa	Jul 09, 2015	Yes	Houre phone	Most Houre phone in Karbon Model
29	Ankur Srivastava	Jul 09, 2015	Yes	PRODUCT IN GOOD PRICE	if you wanna buy a good android phone is good price and satisfactory band so you can buy !its good light weight handy mobile,with good function and features.
30	Sirohi	Jul 09, 2015	Yes	Karbinn A108 is good	very good product
31	SaiKalyankumar Akshintala	Mar 19, 2015	Yes	Average, Ordinary	Its Good
32	Myth	Mar 19, 2015	Yes	great thing In small package	For the price, the feature available in phone are amazing. This is the cheapest touch phone available in India, but worthiness is beyond the price. Must buy
33	priyanka	Mar 19, 2015	Yes	Great Stuff	Worth the cost !!
34	adi	Mar 19, 2015	Yes	Nice product	Good product at this price..
35	james victor	Mar 19, 2015	Yes	good mobile	nice display and rate also very low.very good
