Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	J	Nov 13, 2015	Yes	Good	its good  for the price....Value for money
2	athi	Nov 13, 2015	Yes	very slow	It is running smoothly until put SD card. After putting SD card it hangs lots more. But the product is OK.
3	simple man	Nov 13, 2015	Yes	perfect time and price and safety handled	Amazing price and sharp timing.perfect time and price and safety handled
4	manas	Nov 13, 2015	Yes	perfect	good looking phone slime and light weight..
5	AmolRaj	Nov 13, 2015	Yes	Karbonn A108	Nice product n very fast delivery....thanks snapdeal.....
6	Biki	Nov 13, 2015	Yes	This good for use 3g net browseng .......and also good for other	I am happy........no problems .......and  I also for service
7	REVATI RAMAN gupta	Nov 13, 2015	Yes	Best	This product is good quality product. i like this product.
8	Kalyan	Nov 13, 2015	Yes	Perfect phone for me	In this price best phone, so much features and good looking, deleivery time is also quick.
9	kumar	Nov 13, 2015	Yes	Good.	Working fine good product. Thanks.........................
10	owais	Nov 13, 2015	Yes	Love thiz phone	ilove this phone becoz of only on snapdeal it iz really dil ki deal i love snapdeal  the snapdeal makes festivals really great
11	thilak	Oct 07, 2015	Yes	Nice	You may deliver the product quicly,except that all are good . Budjet touch mobile with all options
12	nicemob	Oct 07, 2015	Yes	opinion  on  karban A108 mobile cell	you  have said that  rear camera is 2mp but  it  seems  it is not 2mp  please  check the  rear  camara once
13	Pawan	Oct 07, 2015	Yes	My first mobile from snapdeal thnqqq	the product was awesome for me thank you soo much
14	tapas	Oct 07, 2015	Yes	good phone	this is my first android phone and i liked using it..& it is overall good..but i must say that a lot of apps are not supported in this phone..the memory capacity and battery backup is poor..
15	Gopi	Oct 07, 2015	Yes	perfect phone in very low budget..	very nice product in low budget..snapdeal nice packing and very fast delivery..
16	ponchy	Oct 07, 2015	Yes	I recommended for you guys	Karbon a108 ,This is my first android device and I had a thrill in using this device. Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is good, speaker  too loud, installed apps are great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone
17	outstanding chip	Oct 07, 2015	Yes	very good phone	This is my first android device and I had a thrill in using this device.Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices.
18	rafi	Oct 07, 2015	Yes	go for the mobile	its briliant experiance with snapdeal and delivery provided by the snapdeal and also product was awesome experiance .
19	Prakash	Oct 07, 2015	Yes	Good product	All product are complete no complaints I m very happy with product
