Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Arnab	Mar 27, 2016	Yes	Very Good Mobail & Snapdeal Pacaging is very very good..	Very Good Mobail & Snapdeal Pacaging is very very good.. price is better than other site
2	naved.agr786	Mar 27, 2016	Yes	Good Smartphone	I m using this phone last 8moths. It is work perfectly without problem.
3	kumar	Mar 27, 2016	Yes	Nice Product. Delivery delayed	Good Product
4	mon	Mar 27, 2016	Yes	Good Product	I bought about 10 days ago for my sister it awesome and she loves it
5	Ravi kumar	Mar 27, 2016	Yes	Good phone at the price, Good seller.	i received this phone on snap deal 500 lesser price than other seller. Delivery was on time. Very good service.
6	mdraza798	Mar 27, 2016	Yes	Karbonn a6 turbo	This mobile is best
7	Abhinesh Trivedi	Mar 27, 2016	Yes	GOOd Product..	This product is good in this price...
8	lokesh	Mar 27, 2016	Yes	very very good	i must need a bill for this product
9	Aishwarya Sharma	Mar 27, 2016	Yes	Best Phone in this price range	Best Phone in this price range, Faster Delivery,
10	Sumitra	Mar 27, 2016	Yes	Simply Awesome	Awesome mobile by karbonn, in budget, n hats off to snapdeal delivery n customer care service... Thank you so much from my side
11	hira	Dec 21, 2015	Yes	best mobile at low price	This is a good android mobile at low price with 5 megapixel camera
12	Mrinmay	Dec 21, 2015	Yes	Not good as described	This is good specification for this price but quality is not as specification.
13	Nghaka	Dec 21, 2015	Yes	Its average	Nothing more to complain, the price is low and affordable and i did not expect much from it, but the camera is not as i expected. It is blurry, lack contrast, sharpness and features.
14	SANJAY	Dec 21, 2015	Yes	excellent product.	Value for money. An excellent buy  for the given price range ..
15	ASIF IQBAL	Dec 21, 2015	Yes	Awesome Mobile	Amazing Divice in this price Smart looks Butter Smooth Touch Awesome performace  Long Battery Backup Realy worth of Money Thank you SNAPDEAL for this Best Deal and Excellent Service
16	NAVIN	Dec 21, 2015	Yes	Karbonn A6 Turbo 4GB	Karbonn A6 Turbo 4GB - overall good performance for this price except display quality otherwise simply superbbbbbb
17	deepak	Dec 21, 2015	Yes	very helpful  online shopping site	this a very helpful online shopping site  i have book the mobile in this site and  and mobile deliver very fast i am thinking the snapdeal the gretest shopping site
18	Yjs	Dec 21, 2015	Yes	Mobile review	I recently purchased CarbonA6 turbo and the phone is okay.  The snapdeal  promptly delivered the product on time.
19	gowharbakshi	Dec 21, 2015	Yes	Karbonn A6 Turbo 4GB	Best budget android phone. the features of this phone are more than expected in a such low price range.
20	ayman	Dec 21, 2015	Yes	karb one A6	Nice mob and also nice to Snapdel. .I also more purchase in future..
21	Hiren	Nov 21, 2015	Yes	Great Phone Specially For Playing Game.	This Is Great Phone, best for single hand Using, all game are running perfectly,  great phone from Karbonn
22	Haffizur Rahman	Nov 21, 2015	Yes	Good product	Its best smartphone ever in this budjet we find iam very satisfied with this thanking you for wonderful product
23	nice look  good condition better stylis	Nov 21, 2015	Yes	good	Good production  good quality nice look  good wark  Camera bad otherwise  good  wark
24	p.ruhal686	Nov 21, 2015	Yes	Suprrrr	Great service,  great product  Good looks nd nycc features
25	Ganesh	Nov 21, 2015	Yes	Perfect,Excellent	The mobile quality is very good excellent in the price of mobile........Really snapdeal is a dil ki deal....
26	himal	Nov 21, 2015	Yes	nice one	One of the nice phone of karbon in such a low price...go for it now...
27	Muna	Nov 21, 2015	Yes	Mobile	Good quality.Good packing.perfect date handover.
28	anu	Nov 21, 2015	Yes	yes5	Super good...  my favoret webset  ....karbonn handset very good no issues internet super
29	ami	Nov 21, 2015	Yes	Nice mob	its fetur is easy. Good function baby study help full not a battery problem re charging
30	business partner	Nov 21, 2015	Yes	karbon a6 turbo 4 gb	Is a very good product it takes very good quality of pics having an in built memory 4gb and many others several good features
