Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Indra	Mar 28, 2016	Yes	hTC Desire 310 4GB White	hTC Desire 310 4GB White
2	NITESH	Mar 28, 2016	Yes	v.good	fantastic product
3	mudassir	Mar 28, 2016	Yes	good	Good product and service
4	basanna	Mar 28, 2016	Yes	iwould buy this product agin and again	very good
5	PUNIT KUMAR BHARTI	Mar 28, 2016	Yes	Not Good	It is not swift to use.
6	Mayank	Mar 28, 2016	Yes	Satisfied with the services	Wii surely recommend
7	APOORVA	Mar 28, 2016	Yes	AVG	AVG PHONE
8	raki	Mar 28, 2016	Yes	waste of money	waste of coste big issue with internal storage and we can't save app in memory card b.....st only 2gb to use
9	himan	Mar 28, 2016	Yes	value for money	Nice phone.powerful battery backup.nice camera in this price.but more better if flash provided.otherwise overall perpomance is very satisfied.I god it in well packed n good condition by snap deal.in bonus I got a flip cover with phone.that's wonderful.thanks to snap deal.this is a value for money like a well known brand HTC.
10	Diwakar	Mar 28, 2016	Yes	Really a Smart Stuff	It is a very good looking,smart, User Friendly Handy phone every one can use it easily, I became a fan of HTC Desire 310
11	sam	Sep 30, 2014	Yes	Awesome phone in this price range ...	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece.
12	sanju	Sep 30, 2014	Yes	good one	nice phone
13	rishi	Sep 30, 2014	Yes	I would buy this product again and again	this is  a very good set and set display very large which is very useful. these set's ram and proseesor is very good which is helpful in very fast downloading and file transfer easiliy one to another .
14	S.P	Sep 30, 2014	Yes	Htc desire 310	Its basic mobile android KitKat version. Battery backup good.
15	Pavan	Sep 30, 2014	Yes	Perfect	Everything is fine.
16	kannan	Sep 30, 2014	No	nice	wel, i m geeting the ram of 1GB... purchased from dubai 2 days before
17	guysnraw	Sep 30, 2014	Yes	Good for money	Get for what you pay
18	chinna	Sep 30, 2014	No	good phone	it is very good phone for internet brousing user,,,,,it gives very good battery backup capacity2000Mah
19	naveen	Sep 30, 2014	No	Ram mentioned is wrong	Every thing about the mobile is very good only 512 MB ram is not digestive but still HTC 512 Ram are better then 1GB ram of samsung micromax and Karbonn.  Request admin to change Ram from 1GB to 512 MB so that people does not get confused.  One draw back is quad core processor with 512MB ram not digetive
20	ashu	Sep 30, 2014	No	about ram	it's ram given on htc website is 512 mb not 1 gb.
21	Manu	Mar 29, 2014	No	Super Mobile	Nice Model & Nice Functions.. But FLASH Missing... SO SAAAAAD....
22	ROANK	Mar 29, 2014	No	512 mb RAM	AS PER OFFICIAL WEBSITE 512 MB RAM  http://www.htc.com/in/smartphones/htc-desire-310/#/
