Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	VIVEK kumar	Jan 04, 2016	Yes	heavy quality with 5inch screen	I have been using this device since a year. Battery backup is remain same as it was.I am giving four star bcz its headfone not working properly after 9th month.All over we can say htc is my favorite phone because it never hang while operating.
2	dhiraj	Jan 04, 2016	Yes	this is good product on this price	mobile is good but camera quality is not good , flash light of camera is very low but mobile is very good for this price and snapdeal service is awesome......
3	Mohit	Jan 04, 2016	Yes	Awesome Deal	This Phone is awesome. video and sound quality very good. love this phone and snapdeal service is awesome
4	Milky	Jan 04, 2016	Yes	Good to buy...worthy for money I can suggest	Ya good features and budget phone those are htc lovers normally come for this @this price range awesome features I will suggest to buy this phone,
5	prateek	Jan 04, 2016	Yes	nice phone	I ordered I for my parents I wanted to gift them a branded phone ,its there first phone and they love it .
6	sat	Jan 04, 2016	Yes	nice one	it a perfect device for me... nd the service of snapdeal is great.
7	dheerumunjal	Jan 04, 2016	Yes	good one	phone display & quality is ok but one problem with the phone is its back touch. its not as smooth as it should be.
8	mpbharambe999	Jan 04, 2016	Yes	Good	Good quality and 100 %genuine product by snap deal
9	Try to know	Jan 04, 2016	Yes	New to andoryed	Still getting aquinted. Know not much about it. Can't comment its quality.
10	User	Jan 04, 2016	Yes	Disappointing Experience	Phone has memory slot but not allowing the apps to moved to  memory card. Big disappointment!! :(
11	:)	Jul 22, 2015	Yes	Happy Customer	reached on time and its well worth its price.
12	jayhind maurya	Jul 22, 2015	Yes	amezing mobile in modren generation	This phone is wonderful in this modern generation. The touch and battery backup isincredible . this mobile is working fast.
13	senthilraja	Jul 22, 2015	Yes	good product	Good products  Very use full to me
14	satish	Jul 22, 2015	Yes	very good service	well and good service in this field
15	ranjeet kumar	Jul 22, 2015	Yes	best phone	Best mobile phone
16	achal gupta	Jul 22, 2015	Yes	Needs That Special Something	i have a problem in htc desire 516, it becomes too hot during charging as well as during call , i am using another android phone of samsung and not found this type of problem
17	samae	Jul 22, 2015	Yes	superbbb	Excellent. AAwesomeness  HTC mobile please purchase it..
18	aapicha	Jul 22, 2015	Yes	good	Good one....
19	Rahul	Jul 22, 2015	Yes	not excellent but above than good	I am satisfied with this cell phone. I advice you to bye it###rahul#. In this price this cell is too good & about it's brand nothing to say #
20	it's quietly awesome	Jul 22, 2015	Yes	this was my first Android phone and I am to have this wonderful phone branded by HTC it got all the required features pre loaded and that to of good quality in such a affordable range. if you are looking for branded phone with enough features, then go for this phone. believe me at last you will be satisfied.	awesome phone , I am loving it
21	Aswini	Jun 15, 2015	Yes	Good	Good
22	Ganesh	Jun 15, 2015	Yes	Best online shopping centre .	I got a really best product and I am so happy on snapdeals.com . Next time when I need any other products so I fast prepared snapdeals.com    Best online shopping centre
23	gauti	Jun 15, 2015	Yes	good	Not bad
24	augustine	Jun 15, 2015	Yes	htc oncemore(htc na summava)	no words to say about this device such a good device easy handling especially camera extra ordinary
25	shivu	Jun 15, 2015	Yes	it is good	I loved it.....
26	jitendra	Jun 15, 2015	Yes	best	Nice
27	amol	Jun 15, 2015	Yes	i would like to refer to all custmor	very good product
28	V.Guna Sekaran	Jun 15, 2015	Yes	Good	Good
29	HTC IS BEST	Jun 15, 2015	Yes	"I would buy this product again and again"	looking goods, and simple function in Htc desire 5164gb Dark Grey
30	raj	Jun 15, 2015	Yes	Perforamce is lajavav	battery backup is not up to mark.
31	ashish3529	May 23, 2015	Yes	One of the good stuff from the brand known as "HTC"	Htc Desire 516 is a good stuff. Battery backup is good. Front camera (2 mgp) is good for taking selfies. Android version needs to be updated. Back camera quality also needs to be updated. Storage place for apps should be selected manually by users which is a missing feature from this item.
32	pratibha	May 23, 2015	Yes	good product	This is the good product I have used this item this is the good product
33	vk	May 23, 2015	Yes	gd to bught	nice easy to handle nice camera
34	jay	May 23, 2015	Yes	desire you wish	Htc desire 516 is a good smartphone. Over all is good but the camera quality is not good compair to other 5 mega pixel. Its bettary backup is also not good but average. In this price this phone is gud....
35	RICHU	May 23, 2015	Yes	check the back key before you purchased this phone	Normally Phone was Ok. But performance is not Good. Specially Back Key is Not Working properly.
36	sunny	May 23, 2015	Yes	it is cheaper online purchasing by snapdeal.	It working well. I liked this shopping. Thanks snapdeal
37	rafiq	May 23, 2015	Yes	excellent product	Nice I love snapdeal
38	Aani	May 23, 2015	Yes	Excellent	Excellent phone for the mid range category. Nice camera nice RAM with the perfect inbuilt memory. Not to forget it has a great UI(user interface)  Plus now HTC has improved its after sales service also
39	mohan	May 23, 2015	Yes	ITS VERY GUD HANDSET	More battery,cheap rate,super handset
40	sur	May 23, 2015	Yes	nice	A great product by htc
41	redhills	May 11, 2015	Yes	good	Good device
42	htcmaniac	May 11, 2015	Yes	good mobile	Economical and simple
43	Neel	May 11, 2015	Yes	okkkkk	excellent
44	sri	May 11, 2015	Yes	mobile	Nice
45	ravi	May 11, 2015	Yes	i like this product very much	processor is very speed ,downloading speed is very fast ,
46	Suresh Kapoor	May 11, 2015	Yes	That's Good Stuff	the product delivered was as mentioned on the site. And was delivered well on time.
47	SUNIL ARORA	May 11, 2015	Yes	HTC desire its good	Yes it is still working                       Thanks
48	kalu	May 11, 2015	Yes	superb	It is too low to market cost. Very big thanks for that, dear SNAPDEALS. Chalte raho....
