Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	VIVEK kumar	Jan 04, 2016	Yes	heavy quality with 5inch screen	I have been using this device since a year. Battery backup is remain same as it was.I am giving four star bcz its headfone not working properly after 9th month.All over we can say htc is my favorite phone because it never hang while operating.
2	Shivendra pratap shahi	Jan 04, 2016	Yes	Its easy and safe	Time to time deals and easily found in our locations
3	Nik	Jan 04, 2016	Yes	Good Service & Original Product...	I like the Service of snapdeal & its originality.Snapdeal Provides Good doorstep service for customers.It was really a "Dil ki Deal"....Awesome Experience...
4	dhiraj	Jan 04, 2016	Yes	this is good product on this price	mobile is good but camera quality is not good , flash light of camera is very low but mobile is very good for this price and snapdeal service is awesome......
5	Mohit	Jan 04, 2016	Yes	Awesome Deal	This Phone is awesome. video and sound quality very good. love this phone and snapdeal service is awesome
6	Milky	Jan 04, 2016	Yes	Good to buy...worthy for money I can suggest	Ya good features and budget phone those are htc lovers normally come for this @this price range awesome features I will suggest to buy this phone,
7	prateek	Jan 04, 2016	Yes	nice phone	I ordered I for my parents I wanted to gift them a branded phone ,its there first phone and they love it .
8	sat	Jan 04, 2016	Yes	nice one	it a perfect device for me... nd the service of snapdeal is great.
9	dheerumunjal	Jan 04, 2016	Yes	good one	phone display & quality is ok but one problem with the phone is its back touch. its not as smooth as it should be.
10	sumu	Jan 04, 2016	Yes	######	not so good.intrnal memory is very little.
11	prethul	Sep 08, 2015	Yes	exp	super service by snapdeal...and ofcourse a cool product
12	mpbharambe999	Sep 08, 2015	Yes	Good	Good quality and 100 %genuine product by snap deal
13	Try to know	Sep 08, 2015	Yes	New to andoryed	Still getting aquinted. Know not much about it. Can't comment its quality.
14	User	Sep 08, 2015	Yes	Disappointing Experience	Phone has memory slot but not allowing the apps to moved to  memory card. Big disappointment!! :(
15	Abhi	Sep 08, 2015	Yes	Ausomeeee	Nice experience to buy a phone through Snapdeal....it gives assurance of quality.
16	:)	Sep 08, 2015	Yes	Happy Customer	reached on time and its well worth its price.
17	sriram	Sep 08, 2015	Yes	Awesome product	Awesome product.... it is working very  fast without stuck i like this product.............................................................................
18	excellent	Sep 08, 2015	Yes	Awesome phone	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices. If you are on minimal budget 10k - 15k then go for this. If you are concerned about the brand and status then no one can stop you from opting for other brands.
19	jayhind maurya	Sep 08, 2015	Yes	amezing mobile in modren generation	This phone is wonderful in this modern generation. The touch and battery backup isincredible . this mobile is working fast.
20	senthilraja	Sep 08, 2015	Yes	good product	Good products  Very use full to me
21	satish	Jun 27, 2015	Yes	very good service	well and good service in this field
22	ranjeet kumar	Jun 27, 2015	Yes	best phone	Best mobile phone
23	achal gupta	Jun 27, 2015	Yes	Needs That Special Something	i have a problem in htc desire 516, it becomes too hot during charging as well as during call , i am using another android phone of samsung and not found this type of problem
24	samae	Jun 27, 2015	Yes	superbbb	Excellent. AAwesomeness  HTC mobile please purchase it..
25	aapicha	Jun 27, 2015	Yes	good	Good one....
26	Rahul	Jun 27, 2015	Yes	not excellent but above than good	I am satisfied with this cell phone. I advice you to bye it###rahul#. In this price this cell is too good & about it's brand nothing to say #
27	it's quietly awesome	Jun 27, 2015	Yes	this was my first Android phone and I am to have this wonderful phone branded by HTC it got all the required features pre loaded and that to of good quality in such a affordable range. if you are looking for branded phone with enough features, then go for this phone. believe me at last you will be satisfied.	awesome phone , I am loving it
28	PITER	Jun 27, 2015	Yes	amazing phone	amazing phone at this price..
29	Aswini	Jun 27, 2015	Yes	Good	Good
30	Ganesh	Jun 27, 2015	Yes	Best online shopping centre .	I got a really best product and I am so happy on snapdeals.com . Next time when I need any other products so I fast prepared snapdeals.com    Best online shopping centre
31	gauti	Jun 11, 2015	Yes	good	Not bad
32	augustine	Jun 11, 2015	Yes	htc oncemore(htc na summava)	no words to say about this device such a good device easy handling especially camera extra ordinary
33	shivu	Jun 11, 2015	Yes	it is good	I loved it.....
34	jitendra	Jun 11, 2015	Yes	best	Nice
35	amol	Jun 11, 2015	Yes	i would like to refer to all custmor	very good product
36	V.Guna Sekaran	Jun 11, 2015	Yes	Good	Good
37	HTC IS BEST	Jun 11, 2015	Yes	"I would buy this product again and again"	looking goods, and simple function in Htc desire 5164gb Dark Grey
38	raj	Jun 11, 2015	Yes	Perforamce is lajavav	battery backup is not up to mark.
39	ashish3529	Jun 11, 2015	Yes	One of the good stuff from the brand known as "HTC"	Htc Desire 516 is a good stuff. Battery backup is good. Front camera (2 mgp) is good for taking selfies. Android version needs to be updated. Back camera quality also needs to be updated. Storage place for apps should be selected manually by users which is a missing feature from this item.
40	pratibha	Jun 11, 2015	Yes	good product	This is the good product I have used this item this is the good product
41	vk	May 23, 2015	Yes	gd to bught	nice easy to handle nice camera
42	jay	May 23, 2015	Yes	desire you wish	Htc desire 516 is a good smartphone. Over all is good but the camera quality is not good compair to other 5 mega pixel. Its bettary backup is also not good but average. In this price this phone is gud....
43	RICHU	May 23, 2015	Yes	check the back key before you purchased this phone	Normally Phone was Ok. But performance is not Good. Specially Back Key is Not Working properly.
44	sunny	May 23, 2015	Yes	it is cheaper online purchasing by snapdeal.	It working well. I liked this shopping. Thanks snapdeal
45	rafiq	May 23, 2015	Yes	excellent product	Nice I love snapdeal
46	Aani	May 23, 2015	Yes	Excellent	Excellent phone for the mid range category. Nice camera nice RAM with the perfect inbuilt memory. Not to forget it has a great UI(user interface)  Plus now HTC has improved its after sales service also
47	mohan	May 23, 2015	Yes	ITS VERY GUD HANDSET	More battery,cheap rate,super handset
48	sur	May 23, 2015	Yes	nice	A great product by htc
49	redhills	May 23, 2015	Yes	good	Good device
50	htcmaniac	May 23, 2015	Yes	good mobile	Economical and simple
51	Neel	May 11, 2015	Yes	okkkkk	excellent
52	sri	May 11, 2015	Yes	mobile	Nice
53	ravi	May 11, 2015	Yes	i like this product very much	processor is very speed ,downloading speed is very fast ,
54	Suresh Kapoor	May 11, 2015	Yes	That's Good Stuff	the product delivered was as mentioned on the site. And was delivered well on time.
55	admin	May 11, 2015	Yes	nothing negative in this	i give it 5 star. very well goes on this product. looks attractive and fast
56	Rahul	May 11, 2015	Yes	Good	Its a god product.. Some features are on top of any other devices in this price range.  Camera is not so good if u are looking over the brand name. Easy to use.Blink Feed is awesome.. Overall very much satisfied with the product..
57	SUNIL ARORA	May 11, 2015	Yes	HTC desire its good	Yes it is still working                       Thanks
58	kalu	May 11, 2015	Yes	superb	It is too low to market cost. Very big thanks for that, dear SNAPDEALS. Chalte raho....
59	HK	May 11, 2015	Yes	product is reasonable	looks are perfect..but camera quality is not that good.....
60	montu	May 11, 2015	Yes	great service	Nice phone.got really fast after ordering ,in just 2 days. Great response. Phone works good.packaging was good. Overall happy customer. Would recommend others.
61	s	Apr 19, 2015	Yes	Smart phone	Slim, bigscreen of 5 inch and also lowest price to highest performance to me.fine.
62	Suranjan	Apr 19, 2015	Yes	Good phone in this price range..	Good phone in this price range..and  I would recommend this to a friend and all..
63	Sri	Apr 19, 2015	Yes	really good phone	Good phone but battery backup is less. However, overall good looking, functionality is good
64	Neer	Apr 19, 2015	Yes	Average phone	Vry poor camera, resolution is also not good. Overall don't buy this phone.
65	sathishguna	Apr 19, 2015	Yes	pls don't buy	Very poor a
66	ANoop	Apr 19, 2015	Yes	Nice	Nice one
67	Faizan	Apr 19, 2015	Yes	Not Good	Bad battery back up, discharge so soon
68	Deepu	Apr 19, 2015	Yes	HTC Desire 516	It is nice phone with nice features in nice price with nice delivery.
69	Anil Vishwakarma	Apr 19, 2015	Yes	Perfect Mobile in this range	Good mobile in this range. HTC is a good brand. And I am happy with this mobile. Thanks snapdeal. I have not face any problem in this set.
70	Prasun karmakar	Apr 19, 2015	Yes	nice	Nice brand this price
71	yogesh	Apr 06, 2015	Yes	good but price more compare to other mob	Good product
72	sujil	Apr 06, 2015	Yes	Awesome phone in this price range ...	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece.Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp so iam very like htc
73	ezha	Apr 06, 2015	Yes	superb	Best phone at best price
74	Bhanu	Apr 06, 2015	Yes	not good	Poor
75	faheem	Apr 06, 2015	Yes	thats gud	I m using hts desire thats gud phone n easy to use n service is gud
76	JANGAM	Apr 06, 2015	Yes	Worty buy	Brought with snapdeal appdeal offer, received within 2 working days. Great quality of the product. Received in proper packing. Value for money. Easy to use even first time android phone users. Camera quality, Sound quality are awesome.
77	Srinu	Apr 06, 2015	Yes	Nice phone	This phone is value for the price and really good except the lesser internal memory compared with same range mobiles
78	Shub	Apr 06, 2015	Yes	Soo so so not soo GooD	Under 10 avg. phn. Nt go on Compny name HTC.
79	Anshul Negi	Apr 06, 2015	Yes	That's Good Stuff	Not that much great work by HTC on this phone but still HTC is HTC
80	satnam.sadhaura	Apr 06, 2015	Yes	not good	very poor Battery  backup heating problem
81	sai	Mar 26, 2015	Yes	perfect	Nice
82	Banu	Mar 26, 2015	Yes	Dissatisfied - Software failure	Applications are abruptly stopping every 2 minutes. Often getting error messages. Wasted money on a poor quality product.
83	BINOAD KUMAR	Mar 26, 2015	Yes	Perfect. It doesn't get any better	very beautiful mobile
84	guna	Mar 26, 2015	Yes	not good mobile htc 51`6	very poor camera , and battery not good.
85	paresh	Mar 26, 2015	Yes	very good	your service is very good and law budget compared to all other sites
86	Kapil khandelwal	Mar 26, 2015	Yes	Perfect. It doesn't get any better	good optins
87	Murli dhar	Mar 26, 2015	Yes	fantastic mobile best	Best for internet good looking
88	joseph (jojo)	Mar 26, 2015	Yes	awesome as always	having great fun with this mobile phones....... good for gaming and enjoying the camera quality also.........     i have fallen in love with mobile phones,.........................  go for it ...... its awesome phone at this price range...........coool apps support and great picture..... quality..... liked the sound quality also//.......
89	Rakesh	Mar 26, 2015	Yes	Not good	Do not buy this handset , totally problematic handset, hang problems & many more problems in this handset. I was buy this handset 15 days ago only
90	Qadir Hussain	Mar 26, 2015	Yes	Recommended	In the price range a good product..worth buy..
91	Sai	Mar 19, 2015	Yes	Good Quality	Good Quality, looking nice
92	Dattatray	Mar 19, 2015	Yes	Very good phone	Good colitis
93	fazle mateen	Mar 19, 2015	Yes	cellphone is awsome	Cell phone is awsome but a littel mistake is cover is diffrent from another model..
94	Rakesh Meel	Mar 19, 2015	Yes	Average, Ordinary	Some Problem Regarding Battery Backup,And Heating Camera Quality Average
95	viplav mandal	Mar 19, 2015	Yes	That's Good Stuff	its vry good and and this type of brand in this price
96	khoka	Mar 19, 2015	Yes	khoka	good
97	prasanna	Mar 19, 2015	Yes	SUPER QUALITY	EXCELLENT MOBILE GIVEN ME, THANKS
98	Raja	Mar 19, 2015	Yes	Great phone in this price range	I am happy with the device
99	decee	Mar 19, 2015	Yes	great, simple, easy, efficient...	simply the best as far as the ratings are concerned!
100	ravi mats	Mar 19, 2015	Yes	buy	good rffffffffftgtrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrrr
101	manjeet	Mar 04, 2015	Yes	lvly aap	i'm really happy vid d product n sevrice offered by snapdeal.... I'll prefer to shop on snapdeal only as I appreciate its fxning n hv also recommended to my frns n relatives..:-) :-)
102	reddy	Mar 04, 2015	Yes	fn	gd
103	brijpalbisht	Mar 04, 2015	Yes	Good	Good one
104	Asim	Mar 04, 2015	Yes	not good	Not good
105	Sumit Jindal	Mar 04, 2015	Yes	More than just for Phone calls... :)	This is the best phone in this price by HTC. the camera quality and htc touch sence are so cool... and if you listen the music on this phone than you feel that your money spent is worth it on this phone. becoz it's really nice... so my openion it's a superbbbbbbb!!!!!! phone.
106	sudha	Mar 04, 2015	Yes	good product	Value of money
107	ImranKhan	Mar 04, 2015	Yes	Good phone at a reasonable price.	Bought this phone to my mom and she likes it. The last HTC phone I'd used was wildfire and htc was expensive then in 2009. Desire 516 is good phone to normal usage. Loved the charger provided as it charges the battery to full in about an hour. I'm using the same charger for my note 2. The phone does not freeze for normal usage. Did not notice any heating issues.and the battery back up is decent too.HTC phones are good looking, unlike Samsung which look plasticy and cheap. The build quality of desire 516 is very nice and sturdy. I liked the phone although haven't put it to test with heavy apps. video calls what's app and similar applications work normally. Camera quality is decent. This phone is worth the money.  I got a free flip cover which normally costs about 500-800 rupees. In short I'm satisfied with the Purchase and would recommend it at the current price.
108	Bhagavan	Mar 04, 2015	Yes	not satisfied	if u r a HTC lover, then only u buy this phone. Otherwise it waste of money. poor camera quality.  product delivered 5 days after the order placed.So not a bad delivery.
109	darpank	Mar 04, 2015	Yes	Nice product to buy	Worth spending on this phone
110	tetalli sireesh reddy	Mar 04, 2015	Yes	Not Good	this phone take charging so much time but charging down fastly and touch also not working speedly
111	praveen	Feb 12, 2015	Yes	I would buy this product again and again	This is my first android device and I had a thrill in using this device. Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion)
112	Sahil	Feb 12, 2015	Yes	A Good Smartphone	A very decent smartphone at a good price.
113	ZAAD	Feb 12, 2015	Yes	AWWSSSMMMMMM SMART PRICE	I JUST HAPPY OF DIS PHONE, GREAT CAMERA, ACCURACY ETC ETC ESPECIALLY ITS PRICE IS WOOW IN MA BUDGET JUST GO FOR IT GUYZZ..WORTH PRODUCT..EVERYTHING IS PERFECT..MMMMUUUUAAAHHHHHHH TO DIS PHONE :)
114	krishna	Feb 12, 2015	Yes	Best	Product is best and working good
115	Pradeep	Feb 12, 2015	Yes	Not a good phone	Screen clarity is low. internal memory is 4 gb.2 gb will be taken by OS.we should install apps in remaining 2gb. we cant move apps to external memory card. older version of OS.
116	jittu	Feb 12, 2015	Yes	not so good	Micromax.unite2 is better than this product. It is available at half of this prize.. sometimes it's backspace button not work properly. Not suggest to go forward to purchase.
117	sat	Feb 12, 2015	Yes	its good	very good product at this price
118	dev123	Feb 12, 2015	Yes	good phone	this is a good phone
119	SK	Feb 12, 2015	Yes	good one	good phone ata budget cost
120	Shishu	Feb 12, 2015	Yes	set is a good one	Initially i was bit scared purchasing my phone from snap deal.but now I can say to every person please go ahead.
121	Mukesh Mishra	Jan 23, 2015	No	Planning For New Cell phone	Hey Every one! I would like to inform you about HTC Desire 516 4Gb  i am planning to change my old phone  The HTC Desire 516 sports a 5-inch LCD 540 x 960 pixels multi-touch display with 220 ppi pixels density. Encased in a classic full black colored body, it weighs around 173g and has a 9.7mm thick body. The HTC Desire 516 operates on Android v4.2 Jelly Bean platform with HTC's Sense UI on top.  Processor and RAM  The HTC smartphone is equipped with a quad-core Qualcomm Snapdragon 200 processor which is clocked at a speed of 1.2GHz. The onboard memory (RAM) is 1GB which further aids to the processor speed and performance.   Camera and Storage  The handset is packed with dual cameras; 5MP rear camera and 2MP front facing camera. Like every other HTC phone, even this phone quirks with camera quality. Even though the resolutions are less, they offer good quality videos and photos. The device comes with ample storage memory which is further expandable via microSD slot.   Connectivity and others  For staying connected with other devices, the HTC phone features Bluetooth, Wi-Fi, USB port, 3G etc. It is fuelled by a 1,950mAh battery, which claims to offer 9 hours of talktime and 220 hours of standby time on 3G networks.  Verdict This 5-incher falls under the mid-range phablet category yet packed with impressive features like a powerful processor and decent cameras. The device lacks an HD display but still renders great visuals. Great option if you are looking for a budget phablet with a good brand value.
122	pavan kumar	Jan 23, 2015	Yes	dont purchase product based on offer	The product received is physically good , not working properly within 10days , lack of coordination visible till delivery of product. totally item sent to company for repair within one month as it is coming under warranty.  As on overall not satisfactory
123	jaggu	Jan 23, 2015	Yes	nice	good my phone is working in good condection i am feeling happy by using this phone
124	aryan	Jan 23, 2015	Yes	gud to use	Really nice to have it
125	ARISH.	Jan 23, 2015	Yes	only looking good	Looks good.   Inside empty. . Its my first parchase from htc  Desire 516. Gsm.  But its futures the most important thing is camera.  But according to camera its -00001. Only look good
126	VEMBULI	Jan 23, 2015	Yes	good	Superb........
127	Raj	Jan 23, 2015	Yes	Nice	Under 10K this is the best mobile
128	digvijay	Jan 23, 2015	Yes	it could be a better	battery back up is not so good
129	Ashwani	Jan 23, 2015	Yes	good mobile in budget	Nice gadget
130	raj	Jan 23, 2015	Yes	good phone @ decent price	gud phone @ d price !
131	Anbu	Jan 03, 2015	Yes	Good	Good
132	deep_c_b	Jan 03, 2015	Yes	Good Mobile....	Good features Good buy price.....
133	Pankaj Yadav	Jan 03, 2015	Yes	Average, Ordinary	phone features are good. only problem is with phone speaker while calling.  delivery took more than 10 days which was little disappointed.
134	surbhi jindal	Jan 03, 2015	Yes	That's Good Stuff	Its a good phone under this price
135	Inder	Jan 03, 2015	Yes	snap deal is best  for online shoping	I buy HTC 516 is a good phone. It's delivered to me on the very right time.Thanks. amoral.
136	Sumit Jindal	Jan 03, 2015	Yes	Its very good mobile	This is the best phone in this price by HTC. the camera quality and htc touch sence are so cool... and if you listen the music on this phone than you feel that your money spent is worth it on this phone. becoz it's really nice... so my openion it's a superbbbbbbb!!!!!! phone.
137	Anubhav Singla	Jan 03, 2015	Yes	That's Good Stuff	Great deal. Totally worth the price and contrary to the negative comments listed here. Snapdeal offered this price which is far low than the one in the local markets. :)
138	Prasenjit Sanyal	Jan 03, 2015	Yes	That's Good Stuff	Hi It is a good communication android device with dual sim and 1.2 processor and good 5 mp camera with excellent features, screen appears better than Samsung mobile, battery consumption is more in android phone, same here also. please check the always fluctuating price before you purchase .. i feel bad as price slashed down soon after my purchase!
139	Aviz	Jan 03, 2015	Yes	Headache	Camera, Touch, Navigation Keys, Battery backup, heavy weight Sim slots, OS.. all r just vogues..
140	A.K.¥.	Jan 03, 2015	Yes	it's awesome device	It's so nice and useful phone.... and thanks for your service... I will place the order in the night at 02:30 am. And order delivered within 3 days. So that your service is too good... And this is my 5th mobile phone that i ordered from here... Thanks snapdeal
141	adi	Dec 28, 2014	Yes	Nice phone.. Go for it	HTC mob. At this price.... Great... Thanks snap deal.. :)
142	Rinku	Dec 28, 2014	Yes	nice phone	Phone is good. But 4GB memory is not enough for all applications of andriod. It do not allow to move apps to sd card, that moves in other company phones in old models.camera is good.
143	dharm	Dec 28, 2014	Yes	i will come back soon at this site	Nice shopping site
144	Srinath	Dec 28, 2014	Yes	Average, Ordinary	mobile getting heat, battery backup  is very low and camera clarity is not that much good
145	suchi.rajat	Dec 28, 2014	Yes	Good phone!!	Good phone and features are also fine, I had reviewed most of the phones in this segment but HTC seemed to be the winner. And as I have used HTC phones before I know they are reliable.
146	MANAS	Dec 28, 2014	Yes	NIC PHONE	IT'S GOOD
147	prasanta	Dec 28, 2014	Yes	'dont judge a book by its cover'	this htc516 mobile is ok as it like to be.the only issue is cam picture quality,it is not that good like samsung & sony.on the other hand snapdeal web shopping has no comparision with others.u will get great deal here.
148	Naresh	Dec 28, 2014	Yes	awesome	Superb
149	john	Dec 28, 2014	Yes	htc	very nice mobile
150	shekar	Dec 28, 2014	Yes	a very good product and great service	love shopping in snapdeal
151	kesavan	Dec 17, 2014	Yes	nice product	It was a nice phone past four yeras am using only HTC brand only.
152	ashok win	Dec 17, 2014	Yes	htc 516	very nice
153	tejas	Dec 17, 2014	Yes	good product	nice
154	jimz	Dec 17, 2014	Yes	goog and afodable	nice one
155	GHANSHYAM	Dec 17, 2014	Yes	Htc Desire 516 4gb Dark Grey by HTC	Snapdeal has a best of the best services. The product is ORIGINAL and is in BEST working condition. Service was fast.   SNAPDEAL LIVES !!!!!!!!
156	Sarmina Yasmin	Dec 17, 2014	Yes	That's Good Stuff	It's a superb combo of quality and class. Amazingly stunning performance! Go for it!
157	rp	Dec 17, 2014	Yes	good	Good
158	Ishrat Zainulabuddin Jainekhan	Dec 17, 2014	Yes	Perfect. It doesn't get any better	Good Quality, Delivery on time
159	sudam	Dec 17, 2014	Yes	super super super	I have use many type of smart phone. Like Sony xperia c, lenovo s850. Samsung galaxy grand. But this s is super.
160	SINGH	Dec 17, 2014	Yes	HTC D516	Good Phone but battery backup in not good
161	NAWAB	Dec 14, 2014	Yes	I PURCHASE HTC DESIRE 516 4GB DARK GREY	I PURCHASE THIS PRODUCT FROM SNAPDEAL . THAT IS REALLY GOOD PRODUCT ,ITS PERFORMANCE IS GOOD. TOUCH IS VERY GOOD AND FAST TO OPERATE.ALSO THE HEAD PHONE SO GOOD.DISPLAY IS ALSO BETTER.5 MP CAMERA IS SO GOOD PICTURE CLEARITY IS SO GOOD AND ALSO VIDEO IS VERY CLEAR AND SMOOTH.NICE VIEW.
162	john	Dec 14, 2014	Yes	perfect	good
163	JK	Dec 14, 2014	Yes	Awesome phone	This is the best phone in this price by HTC.
164	ullas	Dec 14, 2014	Yes	average	poor camera clarity
165	vivek daga	Dec 14, 2014	Yes	That's Good Stuff	good phone in budget and the touch is also very smooth
166	AKS	Dec 14, 2014	Yes	GREAT DEAL	DELIVERY SERVICE IS EXCELLENT AND PRICE MAKING AWESOME
167	Jay	Dec 14, 2014	Yes	Perfect	Perfect fit and excellent
168	SHIVA	Dec 14, 2014	Yes	htc 516	GOOD PHNE, BUT BATTERY ABCKUP IS NOT GOOD.
169	Niks	Dec 14, 2014	Yes	A Cool one..	Though i think the phone is not up to the money..But daa the name Htc On the phone is very costly..You can get such configuration in 6000 now a days But i have to say the camera Quality is Very high...I love This Phone..But sometimes It get stuck During very High processing..
170	ASHISH	Dec 14, 2014	Yes	GOOD PHONE	GOOD PRODUCT. BEST BUY ONLY WHEN DISCOUNTED.
171	kumar_kumarpritham	Dec 06, 2014	Yes	good one	Good one
172	banty	Dec 06, 2014	Yes	very good product	till now very good performance.
173	Dedha	Dec 06, 2014	Yes	Htc desire 516	nice phone
174	seshu	Dec 06, 2014	Yes	super item.................	best product in best price..................
175	Manoj patel	Dec 06, 2014	Yes	Diply issues	HTC Desire Disply is very bad.
176	pandurang	Dec 06, 2014	Yes	goog product	good product & Service
177	sachin	Dec 06, 2014	Yes	Excellent mobile	Nice
178	TARIQUE	Dec 06, 2014	Yes	Great shopping experience	Perfect mobile
179	Amit	Dec 06, 2014	Yes	nice	very nice
180	ritsarora	Dec 06, 2014	Yes	good phone	Good phone
181	SHAILENDRA KHARWAR	Nov 17, 2014	No	good	good
182	YUSUF	Nov 17, 2014	Yes	NOT SO USER FRIENDLY	I LIKED THE PRODCUT BUT CAN'T SAY PERFECT
183	Naren	Nov 17, 2014	Yes	Nice phone.	Over all good package.
184	Sanjay  K	Nov 17, 2014	Yes	thin mobile	This is a nice thin mobile with great sound. It has a large screen for video calling or watching movies.
185	Dinesh	Nov 17, 2014	Yes	This is a very good device	Delivery is quite impressive
186	Parth	Nov 17, 2014	Yes	excellent and good stuff ever .	Good services always. Snapdeal site is the also the best and popular site too .There service and review are also good about my htc it is excellent in condition  I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices. If you are on minimal budget 10k - 15k then go for this. If you are concerned about the brand and status then no one can stop you from opting for other brands.
187	satish	Nov 17, 2014	Yes	htc	osum mobile
188	ravindra	Nov 17, 2014	Yes	good	very fast delevary...and very safe delevary
