Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	juanasoares36	Mar 28, 2016	Yes	Good Product	It's a good mobile with nice features...got the exact piece as wanted
2	vibhor gupta	Mar 28, 2016	Yes	great set!!!!	great set!!!!!!!!
3	dash.rinki.soumya	Mar 28, 2016	Yes	Excellent Product	nice phone
4	sahabha26	Mar 28, 2016	Yes	Good Product	best for selfie, best video quality.
5	uttammalik570	Mar 28, 2016	Yes	Malik uttam	H Good so feel
6	shyamkuntal1234	Mar 28, 2016	Yes	Good Product	Good phone & good deal on snapdeal
7	Abhi	Mar 28, 2016	Yes	look are good htc	Thanx snapdeal i awaly purchesh onlline shoping snapdeal and deliver by time to time and orginal product deliver thankssssssssss
8	SurajKaran	Mar 28, 2016	Yes	Awesome!!!!	Good Packing
9	parmarkanti58	Mar 28, 2016	Yes	Don't buy friends totally west of money	Htc 620 looks good but processor very slow and camera quality is very poor. Phone  hanging problem too so pls dnt buy frnds.....
10	Ayur	Mar 28, 2016	Yes	Timly delivered ..	Awesome service and perfect product.
11	hardik	Jan 16, 2016	Yes	good good good	happy with the seller or service do cont
12	ultimate buyer	Jan 16, 2016	Yes	nice phone	very nice phone by htc at this price range.. liked it
13	xyz	Jan 16, 2016	Yes	Good Phone	Have been using this phone for a year now. working fine. only recently a few hangs witnessed.
14	Akhilesh	Jan 16, 2016	Yes	Nice job before time	Awesome delivery
15	vithobshet23	Jan 16, 2016	Yes	awesome mobile lovers just grab this phone	Super guru
16	Rony	Jan 16, 2016	Yes	Very Good to purchase	Very Good...worth to buy...
17	ravi	Jan 16, 2016	Yes	good product	awesome experience with htc
18	ck	Jan 16, 2016	Yes	good phone	good phone in that price range
19	RUTA	Jan 16, 2016	Yes	HTC DESIRE 620 G	GOOD AND FAST DELIVERY BY SNAPDEAL
20	simma	Jan 16, 2016	Yes	super prodect	I am really very happy
21	ankit	Dec 22, 2015	Yes	perfect phone	Excellent in use.try it never hang
22	nagasunilmanohar	Dec 22, 2015	Yes	Ok product	OK but not satfiee with product. With in the same price u can mobiles with better features
23	Anandan.G	Dec 22, 2015	Yes	Htc desire 620G mobile	3g and camera are very nice. Everyone is working in easily.
24	urmila devi	Dec 22, 2015	Yes	good phone for its price	bought the phone from snapdeal and is expected of a htc phone.
25	Rushi Gosavi	Dec 22, 2015	Yes	Best Brand.....	Thanks For Giving Dil Ki Deal....... ....................... Such A real & Branded product....
26	Amazing shoppee	Dec 22, 2015	Yes	I love snapdeal	Its amazing i found snapdeal team is doing a great job I want to say all of the online buyers that snapdeal is the right choice for you
27	Mus	Dec 22, 2015	Yes	hTC Desire 620 G very good quality	hTC Desire 620 G very good quality phone in this range so good experience  touch is very   nice  battery is good
28	gaurav	Dec 22, 2015	Yes	very nyc product ,, i recommended to my all friends	very nyc product ,, i recommended to my all friends,,, its very high speed mobile in good rate in this mobile the ram,memory,processor all  are good and fast. i always shoping with snapdeal and i trust alot on snapdeal product.
29	Sudipta Sen	Dec 22, 2015	Yes	Nice product, I am very happy	Nice product, Good looking and satisfy with price,  I am very happy, Snapdeal delivery before delivery date with safety.
30	SATYAM	Dec 22, 2015	Yes	BEST DEAL IN PRICE and QUALITY	HTC is good brand in mobile, this model have best quality in this range, with good display quality, and camera is also very sharp,  with valuable price. We are satisfy with this.
31	Rajat saxena	Nov 29, 2015	Yes	Vry vry good	Snap deal are the best app for online shoping and trusted brand many time i m purchase product for snap deal and always fully staiafied
32	Sharul	Nov 29, 2015	Yes	Before time shipping and value for money product	The product delivered in very perfect condition amd also on time   The product was fab . Fully stisfied
33	JP Kumar	Nov 29, 2015	Yes	Very good mobile	I love this mobile very much. Its a very best mobile at this configuration and rate. I have bought  the same mobile 5months back but it lost. But i donot buy other mobile and now again i have bought the same mobile this time
34	sujeet	Nov 29, 2015	Yes	Good phone overall	Good phone overall, battery last long cameras are okay, sometimes hangs though... but am enjoying it
35	Suri	Nov 29, 2015	Yes	Giod mobile and delived good product	Good mobile phones Wil be able to come on over faster than the others  Keep it up
36	SONU PRASHANT	Nov 29, 2015	Yes	quiet good	overall performance is good but u will not get android 4.4.4 (working on 4.4.2).sound quality is just kk
37	sukhdeep	Nov 29, 2015	Yes	orignal product	This site will be send original product to custemers
38	hey	Nov 29, 2015	Yes	not satisfactory	The touch has started missing its original place.  I bought this phone in Jan this year .  At first it worked well but from last 4 months I have been facing this problem.
39	i was purchased new mob on snapdeal..	Nov 29, 2015	Yes	no 1...	very nnice...snap deal is the one of the well good website for purchase online on that sside i will satisfied...
40	Prit	Nov 29, 2015	Yes	nice	good product .. I am happy with timely delivery by snapdeal
41	Jayanta	Nov 20, 2015	Yes	Good Phone	It has been 9 months now and no lagging or heating issues with the phone.
42	akash vashisht	Nov 20, 2015	Yes	superb experience	Its like sone pe suhaaga this htc phone comes wd unparallel features nd perfect time bound delivery by snap deal Thanx snapdeal to make my festival so colorful
43	Ananth	Nov 20, 2015	Yes	Good one	I happy shopping with sanpdeal .. Because I got this with a 3days.. Thank u sanpdeal
44	MY SNAPDEEL	Nov 20, 2015	Yes	EXCELLENT SERVICE	My choice always Snapdeel only I am recommend to my friends and families  I love it
45	Arun	Nov 20, 2015	Yes	htc desire 620G	the product recieved is simply superb and of good good quality . I have ordered the same item from ebay and they didnt send me the item even after 15 days and for refund and other options i have wasted almost 25 days behind that , after that i have ordered the same item from snapdeal and got it within a weak. im totally satisfied and the product i recieved is simply superb.thank u snapdeal.
46	sunnykhajuria4	Nov 20, 2015	Yes	Htc desire 620 g  I.M PANKAJ SHARMA	This is. the best phone in the communications
47	sandeep	Nov 20, 2015	Yes	htc Desire 620 G	Very good phone. Very less price in snapdeal when comparing with others.  I recommending Snapdeal for you guys...
48	subratalp	Nov 20, 2015	Yes	Product is good	Delivery is very fast. I got this item within 3 working days.
49	vivek	Nov 20, 2015	Yes	Great mobile.	I am using this mobile from last 11 months. No issue found. Great mobile.
50	Adarsh	Nov 20, 2015	Yes	wonderful prize	snapdeal is the best online purchaseing site
51	Sunil	Nov 02, 2015	Yes	very good phone	The phone is very good and snapdeal delivered a genuine product
52	ajay	Nov 02, 2015	Yes	htc desire 620g	best non chinese phone under 12k good design light weight very good grip
53	Moh	Nov 02, 2015	Yes	Nice	Very very Nice Phone, I like this phone.
54	anil	Nov 02, 2015	Yes	htc desire 620g	i like it.... battery back is good and  camera is nice pic shoot.
55	Prash	Nov 02, 2015	Yes	Htc 620 g	I got the right product which I ordered, snapdeal provides a best service
56	bunny	Nov 02, 2015	Yes	Review of htc dedire620	Best experience and i like to dil ki deal snpdeal
57	Priya	Nov 02, 2015	Yes	Good smartphone	Good looks...good camera...sound quality is ok..
58	urvashi	Nov 02, 2015	Yes	Great experiencs	First time i brought it from snapdeal wid lot of confusion..bht dis is a perfect piece..
59	amol	Nov 02, 2015	Yes	Awesome	Greate deal  thank u snapdeal .dil ki deal
60	Vishal gupta	Nov 02, 2015	Yes	Good working handset. ?	Working so smoothly I love my handset hTc 620 G
61	Nitu	Oct 23, 2015	Yes	htc desire 620 G	happy with the htc desire , good camera and  hd  display
62	balasubramanian.s	Oct 23, 2015	Yes	HTC 620 G	Awesome phone in this price range This is my first android device and I had a thrill in using this device. Good job in making this mas...
63	prince	Oct 23, 2015	Yes	Awesome phone	good inbuild quality as htc always provide  HD Display Robust Configuration HTC Sense UI Impressive cameras Great & Sharp Images  cons: avg battery life
64	krish	Oct 23, 2015	Yes	gud one	as per price the product is excellent. quality is very good.
65	vicky	Oct 23, 2015	Yes	Htc desire 620g overall a perfect phone in this range.	First of all thanks to snapdeal for faster delivery.Packing of product iz very much safe.  After using a week I must say this is a perfect phone in this range.the design and look iz awsome. Light in weight. The performance iz absolutely amazing.no lagging at all. Smoth in use. Camera quality iz perfect. Front cam iz not upto the mark. Sound quality iz decent... very stylish to carry in hand.
66	HTech	Oct 23, 2015	Yes	Awesome	This product is superb and 100% genuine.
67	bhola	Oct 23, 2015	Yes	review	good mobile , good look but touch is not very good .
68	dev	Oct 23, 2015	Yes	nice mobile	It is very gd mobile. I am using this ph and it is a very gd ph.
