Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	ni8.fly	Mar 16, 2016	Yes	Such a gr8 deal	Huge save only on snapdl wow delivery, packing everything 5/5 and the fon?! Its nothing to say just deal
2	rishabhkantsharma231	Mar 16, 2016	Yes	It is worth .	I m happy with htc and snapdeal too...😃
3	kirit	Mar 16, 2016	Yes	Perfect Delivered amazing price.................	Product and Delivry by snapdeal is just aowsm Product is aowsm..but the delivery by snapdeal is just aowsm.....i recieved my product.Good...
4	kiccha	Mar 16, 2016	Yes	htc desire 820	Good working no problems only ,overall super
5	milan	Mar 16, 2016	Yes	Very nice phone.	Nice and stylish. Good battery life. Using since 4 months. No problems so far
6	vicky	Mar 16, 2016	Yes	awsome	The phone is best, no hanging problem, battery lasts longer than other android phones.  Snapdeal delivered it  before time as always  Fun shopping on snapdeal loved it
7	Saurabh	Mar 16, 2016	Yes	Nice buy	Its a very nice buy...only issue i noticed is that sound is low comparatively... User freindly. Worth sale price :p
8	Rahul	Mar 16, 2016	Yes	Very fast and secure delivery	Once again snapdeal deliver the product well in time and the product is nice as they show. Thanx snapdeal:)
9	koti.s	Mar 16, 2016	Yes	Awesome Mobile..	Shipping and Product was too good and got the correct product.
10	..	Mar 16, 2016	Yes	Great buy!!!	Good phone. Great features . On time delivery.
11	sankar	Oct 15, 2015	Yes	HTC desire 820	I like a mobile HTC desire 820 and received as safely and quickly
12	akki	Oct 15, 2015	Yes	nyc product	the product from htc is very good .but i recieved a quiet defective piece .its screen comes outside . otherwise itss it good product
13	Sachikanta Naik	Oct 15, 2015	Yes	Very good mobile	Must have this one.i am loving it. Thanks to the seller for providing genuine product.
14	RJ	Oct 15, 2015	Yes	Awesome Buy	Awesome product, awesome experience......its a best but!!!
15	vinodreddy	Oct 15, 2015	Yes	Perfect	Delivery is good, but I didn't get offers which listed on the website
16	chandu	Oct 15, 2015	Yes	i like it	this was really good one , i'm loving it. the price offer was remarkable , thanx snap deal team for such a good offer.
17	R.J. Naam to suna hi hoga	Oct 15, 2015	Yes	HTC desire 820s	Show looking good Slim sate  I waana HTC desire 820 s Dule sim
18	karthi	Oct 15, 2015	Yes	Htc	Happy but camera is not so much good photos are blare
19	Anand Adhikari	Oct 15, 2015	Yes	Reveiw of Htc desire 820	Guys, the service of snap deal is ossmm...and the product quality is also very good. I have received my product in time.
20	Samad	Oct 15, 2015	Yes	Performance	Product is good but sometimes some fubction does not work properly
21	bhaskar	Sep 20, 2015	Yes	htcdesire 820	happy with this product and i will recommend this product to others
22	pramod	Sep 20, 2015	Yes	Looking very good	Awesome phone.smoth in use photo quality is brilliant
23	good	Sep 20, 2015	Yes	HTC desire 820s	nice mobile and delivery from snapdeal was very good and in time.
24	shekhu	Sep 20, 2015	Yes	Dilo ki deal...snapdeal	Just ordered this fon  and got it in 4 days...!! Luv the service...nyc packing...good brand new product...snapdeal u nailed it!!!
25	SURENDRA SINGH	Sep 20, 2015	Yes	NOT BAD	SCREEN RESOLUTION NOT BETTER, MY ORDER NOT CONFIRM AT A TIME , I AM RECEIVE CONFIRMATION AFTER 5 DAYS
26	snap deal really give dil ki deal	Sep 20, 2015	Yes	HTC desire820s good phone	I m  very happy to purchase form snap deel and from now onwards I will purchase anything fem snap deal only.Good service by snap deal:)
27	kundan	Sep 20, 2015	Yes	Any products	Suggested to all my friends please purchase only online purchase through snapdeal
28	Unnikuttan	Sep 20, 2015	Yes	Good Phone	Good phone with nice features, user friendly
29	tru	Sep 20, 2015	Yes	Best product	I just love my phone n thank you snapdeal that why we have dil ka. Connection
30	Rohit	Sep 20, 2015	Yes	Great price & Good performance :)	Till now no lags & good battery. You can go for it.
31	Dr.vikas katkar	Aug 10, 2015	Yes	Regarding service and htc 820s mobile	Service of snapdeal is very good and getting order in short period is awesome along with maintained quality of order. But there is no final bill of my product so please arrange it and provide me as soon as possible.
32	saem	Aug 10, 2015	Yes	awesome phone	good phone in this price and camera and performance is also very good.
33	Kartik	Aug 10, 2015	Yes	Great phoe	perfect in this range. Although the camera could hav been better. This ain't 13mp.
34	chetanyom	Aug 10, 2015	Yes	Must go for it	Must go for it have it and enjoy it  htc is very nice
35	Chandan	Aug 10, 2015	Yes	Awesome	After lost my previous phone LG G2......I wud just say...Must buy or u will die.......
36	yogesh ji	Aug 10, 2015	Yes	i feel ooooosssssssmmmm to joine the snapdeal.....	i soo hpy with every product like htc s 820 puma bag any many more . i am compt satify with the swt and perfect site
37	Parvinder singh	Aug 10, 2015	Yes	i'm very happy with this phone. Thanks snapdeal	Awesome phone
38	pallavi	Aug 10, 2015	Yes	best phone	best phone
39	hafiz	Aug 10, 2015	Yes	i would buy this product again and again superb phone good f	Perfect phone
40	somshekar	Aug 10, 2015	Yes	good	Nice one
41	Shailesh Kumar Suman	Jul 02, 2015	Yes	Perfect. It doesn't get any better	good
42	gags	Jul 02, 2015	Yes	snapdeal is good online shoping site ...	phone is good bt camera qyality is good and heated on charging
43	rokzz	Jul 02, 2015	Yes	bestem best	awesome product from htc .
44	Yuga	Jul 02, 2015	Yes	Htc	On freaturs HTC has shown 16 gb internal mermory. I have got 12.3 gb and for using 8 gb. Where other brands giving 14 gb.
45	Satyam Bhanu	Jul 02, 2015	Yes	Excellent phone	Excellent phone,no hanging issue at all even high quality gamea like asphalt 8 are also running veryy smoothly,camera is awesome,the mobile is light weighted also abd very slim
46	ckgupta	Jul 02, 2015	Yes	Htc 820s	I am satisfied with it.
47	Jitender	Jul 02, 2015	Yes	Awesome Phone	good product
48	deyonline	Jul 02, 2015	Yes	That's Good Stuff	It was awesome...but still waiting for the INVOICE?????
49	Madhukant maurya	Jul 02, 2015	Yes	better service and good phone	phone is so good and slim, and snap deal service is so fast. i like it
50	suraj	Jul 02, 2015	Yes	i would buy this product again and again	It's very great mobile never before
51	Srini	Jun 27, 2015	Yes	HTO DESIRE 820 S DUAL SIM	The mobile tat i was looking for at a better price by snap deal,nicely packed,well delivered
52	Raj	Jun 27, 2015	Yes	This is very good phone with this prize	Very nice phone. Good camera,sound,touch.Worth for money. Only problem I come up with is heating problem.
53	Arnab	Jun 27, 2015	Yes	GO FOR IT....	Good phone..sound,video quality and touch is just awesome..camera is poor in low light..but in daylight it is awesome..battery is average..working good..very fast phone..fantastic outlook..image quality varies with battery..but overall it is a good phone..go for it..
