Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Gopala Krishnan	Mar 28, 2016	Yes	4G mobile Good product and nice working.	Good product and nice working. worth for spend money
2	neerajmahobiya74	Mar 28, 2016	Yes	Excellent Product	good experience....
3	ssaravanan240	Mar 28, 2016	Yes	HTC 820 g plus	Nice protect but 1gb ram and 32 gb expendable memory it's oly  prblm
4	Chinnu	Mar 28, 2016	Yes	snap deal is very bad and fake service	i had book hTC Desire 820G+ 16GB with 2GB RAM but snap deal was send another mobile with 1GB RAM  when ever i called to snap deal their response also is not good  so dear friends don't purchese any item in snap deal ................
5	manifreak4	Mar 28, 2016	Yes	superb nice phone thanks to snapdeal	thank u snapdeal for giving me htc 820 at this cost. it is really nice phone and its my first android mobile.. thank u
6	Satish	Mar 28, 2016	Yes	My HTC desire 820 White	No damage no fault great performance real product with great discount
7	shiva	Mar 28, 2016	Yes	Good, could have been better	Its a good economical phablet. Its a HTC Phone so not many issues.  battery backup is ok. Camera is good, among the phones of same range. Phone speakers are good.  one con: Screen Res could have been better I feel more than 1024X768.
8	Kanch	Mar 28, 2016	Yes	Excellent product	Best price compared to other sellers with good quality, worth buying
9	Santhosh	Mar 28, 2016	Yes	average	average phone with bad camera. Could have bought 1+1
10	Bheemraj	Mar 28, 2016	Yes	as price as product quality	very shinee look overall good product can be buy
11	mavi	Jul 30, 2015	Yes	htc 820	it is awesome     ,,look is perfect    ,,,,,,,,,,,,and the performance is good
12	afsar	Jul 30, 2015	Yes	good pohne	good pohne, battery backup is average,never hang/slag, picture quality awesome, camera quality best.
13	AG	Jul 30, 2015	Yes	Nice product	Very very nice phone. touchpad and other features are very good. Only drawback is the battery which is an issue with most of the smartphones.
14	Vaibhav	Jul 30, 2015	Yes	Perfect	hTC Desire 820 16GB White  Is best mobile and very fast delivered on snapdeal
15	Harsh	Jul 30, 2015	Yes	Its perfect	Nice Product , Best in its price Range with a big brand.  Pros -  Both Cameras Processor Brand Name HTC touch No hanging problem till now...
16	$@ur@bh	Jul 30, 2015	Yes	Nice phone	Nice phone, good battery backup, excellent camera
17	terry	Jul 30, 2015	Yes	would like to make similar purchases in future	Loved it..good product quality
18	Anandh	Jul 30, 2015	Yes	Nice phone at affordable price	Very satisfied with the performance and battery life. Battery lasts a full day with internet ON.
19	savy	Jul 30, 2015	Yes	best phone within this range	I like phone very much. I found its display good. ToUch is smooth. Processor speed is good.  Storage space is sufficent.Camera quality is awesome. compatible with every device.battery life is good. It's been an awesome experience to use this phone.
20	abhilkichu	Jul 30, 2015	Yes	EXCELLENT PHONE	good design.. excellent display..slim ..good performance...good storage space
21	Kittu	Jun 16, 2015	Yes	Nice Product at a good cost.....	Thanks to snapdeal for offering a nice product at a cheap price
22	russou	Jun 16, 2015	Yes	should buy	Nice deal This is my first android device and I had a thrill in using this device. Good job in making this masterpiece. Pros: Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp Cons: Battery backup is poor, speaker not too loud, installed apps are not of great use, quite heavy (personal opinion) Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices. If you are on minimal budget 10k - 15k then go for this. If you are concerned about the brand and status then no one can stop you from opting for other brands. By Amar from, delhi
23	rinnie	Jun 16, 2015	Yes	A very good product within budget	Just an amazing phone as I had dreamt off. I am using this phone since 5 months. After watching the phon, my 6 classmates too bought same phone. The HTC 820 is not only winning the hearts with dashing looks but also cuz of its performance. Phone is amazingly fast. Can perform multiple tasks efficiently without any pause.  I liked no. Of things about the phone which would be hard to mention in this small column just like when phone is ringing and when you hold the phone, its volume level gets decreased. this makes your phone insanely smarter than others.  Pros - Amazing primary and selfie camera, fast processor and handsome looks  Cons - Device heats too much sometimes when you are using it without any pause. this hurts. I feel like my hand will burn  Overall - Phone is amazing. I won't like to give away my phone for the world
24	Sovan Manna	Jun 16, 2015	Yes	amazing device, gorgeous looks and slim desgine	amazing device.. I had a thrill in using this device. Good job in making this masterpiece. Touch is great, nice looks, very fast and no lags,very nice display, clear and crisp. but speaker is not so loud. Overall: I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone
25	venkat	Jun 16, 2015	Yes	really dis snapdeal is good	I am really loving this snapdeal shopping site.in snapdeal prices are as low as possible than other shopping sites.
