Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Ritish	Mar 12, 2016	Yes	HTC's best	awesome phone!
2	rjgpt6	Mar 12, 2016	Yes	Awesome phone	Full fill all my requirements...thanks HTC
3	anil_kumar1814	Mar 12, 2016	Yes	Amazing phone	Amazing phone
4	sunil	Mar 12, 2016	Yes	htc one m8 eye	product are supab thaks to HTC and peaking is perfect
5	garvishmodi82	Mar 12, 2016	Yes	HTC M8 SUPER MODEL	Thanx Snapdeal and team giving me best mobile in best (lowest) price. Phone is too good, nice battery back up, amazing sound effect, Camera quality and Slow motion is fine.....  And once again u r the best in online shopping snapdeal.. Totally satisfied  5 out of 5
6	HTC One M8	Mar 12, 2016	Yes	Awesome Purchase	The smartphone is for everyone who are heavy gamers, moderate - heavy users and photography enthusiast who can not afford to buy a dslr.  There may one or two ifs and buts, which are really nothing and don really matter. Stylish, powerful, handy,  the list goes on n on.
7	Amit	Mar 12, 2016	Yes	Once again HTC M8.....	Bought the same model couple of years back when it was newly launched . Had amazing experience having the phone unfortunately i lost the phone .  Explored the market but found none of the models matching the experience i had with  HTC M-8 so opted to go for buying M-8 again at a perfect value of 21500/- . Happy to have M-8 again at a superb price and express delivery... Cheersss
8	jai29759	Mar 12, 2016	Yes	*****	Most awarded mobile brilliant brilliant brillant qualitey
9	aman493	Mar 12, 2016	Yes	Htc	Like it thanks snap deal.best buy with low cost but need to improve in packaging
10	C D Chandran	Mar 12, 2016	Yes	HTC is indeed an awesome phone and a good price	I had an HTC before. Now when I wanted to bye a phone for my daughter, I thought of HTC. It will make a perfect surprise gift. A very good quality phone , strong and sturdy.
11	naveen	Nov 16, 2015	Yes	Awesome Phone	Phone is good but they delivered it after 7 days.
12	amj	Nov 16, 2015	Yes	Would love recommending this phone to anyone	Camera quality-Perfect Heating issues-Better than most of d phones in d same price Look-STUNNING
13	dhiraj	Nov 16, 2015	Yes	Get great deal for HTC one M8 Eye	Excellent and prompt delivery by Snapdeal before time, Product was excellent,
14	Dish	Nov 16, 2015	Yes	The device is amazing, worth every penny	Everything about the phone is a class apart and the delivery was also done in time.
15	Ankshru	Nov 16, 2015	Yes	HTC One M8 ...Silver	Superb product Great service from Snapdeal..quik and prompt Was worried initially but later satisfied.. would reccomend Snapdeal and HTC One M8 to other customers as well
16	ashu	Nov 16, 2015	Yes	m8 eye an awesome package	screen - good built quality - nice  touch - flawless cpu speed - fast but boom sound speakers were not that booming , it is good bt not the best headphone sound - loud & clear cant get any other better option in this price range just go for it M8 eye is value for money
17	Syao	Nov 16, 2015	Yes	Awesome!~	Its Been 10 Days... And it works perfectly fine... Thank You Snap Deal.. :)
18	Bikram	Nov 16, 2015	Yes	Every thing i need in a phone	I go for 3 things in a phone. 1. Good looks and solid construction 2. Diff.  Not tht evry one use  like apple which evry 2 person is using. 3. Good performance  This thing scores top in all of thm ... And at this price its unmatched from top contender company.
19	Abhay Singh	Nov 16, 2015	Yes	HTC One M8 EYE	Excellent packaging , Fast delivery , Best Deal online better than Flipkart & Amazon.   Keep it up Snapdeal !
20	am	Nov 16, 2015	Yes	Nice product	This product is very nice to use . Though it misses some of the features which the m8 has like ir blaster and nfc. Overall its a power packed android phone with an intelligent camera. Do go for this phone if you are ok with the missing features.
21	Bharat	Oct 24, 2015	Yes	HTC One M8 Eye	Nice phoneand wasdelivered beforetime . Thanks snapdealand HTC
22	DS	Oct 24, 2015	Yes	Superb product	Shipped fast. Completely satisfied. Great device! I wish it had fast charging.
23	RKM	Oct 24, 2015	Yes	Worth the price	A very good phone. Satisfied in all aspects.
24	hbhk	Oct 24, 2015	Yes	excellent phone	excellent phone. htc for a good price. loved this phone
25	Marcus the magnificent	Oct 24, 2015	Yes	Smart phones doesnt gets any better then this.	This is the best android phone I've ever owned, you don't get any more features at such affordable price. I'm extreamly delighted by the phone's performance. If you have the budget then you can't get a better phone then this. Processor works smoothly, I've not experienced lag while multitasking. This phone is simply crafted to perfection.
26	Kunal	Oct 24, 2015	Yes	Five star	This is great phone
27	karan	Oct 24, 2015	Yes	East or West hTC is the best	The HTC One (M8) (Review | Pictures) is a critically acclaimed device with an iconic design. However, quite a few critics, professional and otherwise, have panned its UltraPixel camera, since competing smartphones take better pictures. HTC's idea was to use a camera sensor with fewer but larger pixels, to capture more light per pixel, but this didn't impress many people. The company then tried to make up for it with another idea, Duo Camera, which used a second lens to capture 3D depth information and enable new photographic tricks. When reviewing the One (M8), we found it to be more gimmicky than actually useful.  Thankfully, HTC has been listening to all the feedback. At a recent press meet in Mumbai, a top executive at the Taiwanese company stated that HTC might have oversold the UltraPixel concept.
