Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	sohel	Jun 16, 2015	Yes	best mobile	verry nice mobile  iball andy 4.5k 6
2	chauhan jagdish D.	Jun 16, 2015	Yes	good for our selfs	very nice product.i am happy to use all I BALL product.very nice touch,camera,battery etc. & clear sound.so many my friends have I BALL phone, they use and happy.when i charge mobile phone 1 hour per day its still properly work.i have I BALL ANDI 4.5 K6 last two years (almost) & its never hang.some of my friends are happy to use my I BALL ANDI 4.5 K6 mobile phone in lunch time and tea break time.every time i suggested to my friend use I BALL MOBILE PHONES. I BALL product is better than others.
3	SHER SINGH	Jun 16, 2015	Yes	Average, Ordinary	camra was not so good as i expected......its like 5mp
4	tps	Jun 16, 2015	Yes	very good	very good
5	Rajesh Kumar	Jun 16, 2015	Yes	Not Good	Camera is not good, battery backup is also not good
6	Pramod Pawar	Jun 16, 2015	Yes	i ball andi is good	good
7	Muhammad Fazil Muhayiddeen	Jun 16, 2015	Yes	Perfect. It doesn't get any better	Good phone for the price. Camera and battery are great. Delivery was fast than expected.
8	Naveen Soni	Jun 16, 2015	Yes	Awesome phone in this price range ...	It is best in budget. I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices.Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp
9	Hari	Jun 16, 2015	Yes	Ok...	Its works for its cost..
10	nitish	Jun 16, 2015	Yes	nOTHING CAN BE BETTER THAN THIS	VERY GOOD MOBILE EASY TO USE & WITH KITKAT OS A PEFECT MOBILE AT LESS PRICE .
11	jiggi	Dec 24, 2014	Yes	good phone	Less budget phone with all facilities . Like it but battery backup is less acompare to other in this phone.
12	Bitling	Dec 24, 2014	Yes	Very Nice	It is a Very good Mobile in low cost
13	ashe	Dec 24, 2014	Yes	good to buy	good to use and best in price
14	Atir Nayab	Dec 24, 2014	Yes	i would like to advise other to buy	very good it is much better then it looks, awsome features attractive looks in specification it is written it has jelly bean but actually it has 4.4.2 kitkat camera quality is also good but front camera is very low i'm not satisfied with front camera overall the product is good
15	sasikumar	Dec 24, 2014	Yes	i would like to by	Best cell phone
16	Shirish	Dec 24, 2014	Yes	I would be happy	This is my second mobile, it's fully loaded gadget, gives 1GB ram,camera is awesome, resolution is great, but I don't like two things which is its poor design and  heavy weight
17	K John	Dec 24, 2014	Yes	A good phone	Phone is good but its audio is not as good as samsung or other standard phones.Anoher  problem is, its accessories like screen guard and flip coverss are not available in the local market. if these are issued along with the phone, it would be fine for which no problem whether to charge or not.
18	sandip	Dec 24, 2014	Yes	very good	low rate more facility,
19	joy	Dec 24, 2014	Yes	GOOD PRODUCT	VERY GOOD PRODUCT GOOD MONEY VALUE
20	Raj	Dec 24, 2014	Yes	Great buy	Excellent product at a great price :)
21	satish	Dec 02, 2014	Yes	iBall Andi 4.5K6	Screen is very delicate and ear phones are low quality, Camera is poor.Slim in size
22	Shahab Siddiqui	Dec 02, 2014	Yes	Unbelievable	Very high resolution, Light weight, slim, Good looking phone with affordable price
23	Kathir	Dec 02, 2014	Yes	Very Good Product	Cheap & Best Picture quality is so good
24	ARUN.D	Dec 02, 2014	No	Perfect. It doesn't get any better	good shopping experience... courier deadly slow.....
25	MONI	Dec 02, 2014	Yes	EXCELLENT MOBILE	Excellent mobile and features, 8 mp camera 1gp ram high speed stylish slim screen size 4.5 inch always excellent
26	rahul upadhayay	Dec 02, 2014	No	That's Good Stuff	its a good phone in small range price . all function are going well . touch is very smooth compare with Samsung and Micromax. sound quality is good. but the headphone provided by company is not good. camera quality is  really 8.1 mp,video quality is also good.   only drowback is battery backup..  poor when you are using internet.
27	Amu Jeff	Dec 02, 2014	Yes	Technology Loaded	This product is good. Thanks to snapdeal
28	Chanakiyan	Dec 02, 2014	Yes	iBall Andi - Good mobile	iball Andi 4.5K is very stylish looking Mobile and handelled very easily, i will refer by more other persons.
29	som	Dec 02, 2014	Yes	Average Phone	good smart phone but poorest battery life & camera quality also so poor. max 3 hrs if ur using net
30	bd	Dec 02, 2014	Yes	avg product...........	battery quality low
31	Mondal	Sep 09, 2014	Yes	iBall Andi 4.5 K6 Black	so nice...
32	vinod	Sep 09, 2014	Yes	very nice phone	good good good
33	eeeshhh	Sep 09, 2014	Yes	Overall good...	User friendly and good....
34	ram	Sep 09, 2014	Yes	camera veryyyyyyyyyy bad	camera&battery; waste
35	Ravindra	Sep 09, 2014	Yes	this is very good smart mobile	This is good smart mobile with all good specifications.  Only problem of battery performance. I am not expected as 1600 mah battery this much low performance.   I think iBall need to work on this and get it improve of battery performance. then this model smart mobile will rock on sales.  Other than battery performance, overall is very good with this price range.  My kid is very much liking to play games on this mobile, comparing with Samsung galaxy S dues 2. He is disporting with battery performance.
36	Nusrathullah	Sep 09, 2014	Yes	iball mobile iam next buy	iball product is very good quality for touch &sound; camera clearity very smooth nice gooooooood.
37	CRD	Sep 09, 2014	Yes	Value for money	Got more than I bargained for at a very good price. Big screen size, awesome audio output, superb touch screen, multipe pre-loaded apps...all packed in.  The camera is good. Pictures are good. It's only the video quality thats a let-down  Overall, a good buy for me.
38	Ramesh	Sep 09, 2014	Yes	iball andi 4.5 k6 seems a good smartphon	iball andi 4.5 k6 seems a good smartphone.... but it's camera quality is poor. It has * megapixel camera but dosen't have that much quality. otherwise speed, touch, storage capacity is good. One thing which I like that it has lots of ram free so we can run more apps. I played 3D games like Tank Recon, Frontline Commando 2 not any lag is there.  This is very good smartphone except it's camera.
