Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	sohel	Jun 16, 2015	Yes	best mobile	verry nice mobile  iball andy 4.5k 6
2	chauhan jagdish D.	Jun 16, 2015	Yes	good for our selfs	very nice product.i am happy to use all I BALL product.very nice touch,camera,battery etc. & clear sound.so many my friends have I BALL phone, they use and happy.when i charge mobile phone 1 hour per day its still properly work.i have I BALL ANDI 4.5 K6 last two years (almost) & its never hang.some of my friends are happy to use my I BALL ANDI 4.5 K6 mobile phone in lunch time and tea break time.every time i suggested to my friend use I BALL MOBILE PHONES. I BALL product is better than others.
3	SHER SINGH	Jun 16, 2015	Yes	Average, Ordinary	camra was not so good as i expected......its like 5mp
4	tps	Jun 16, 2015	Yes	very good	very good
5	shiva	Jun 16, 2015	Yes	dont get mobile	mobile was over eating..
6	Rajesh Kumar	Jun 16, 2015	Yes	Not Good	Camera is not good, battery backup is also not good
7	Pramod Pawar	Jun 16, 2015	Yes	i ball andi is good	good
8	ik1234	Jun 16, 2015	Yes	I am happy, this is nice phone in budget	I am happy, this is nice phone in budget
9	Muhammad Fazil Muhayiddeen	Jun 16, 2015	Yes	Perfect. It doesn't get any better	Good phone for the price. Camera and battery are great. Delivery was fast than expected.
10	Naveen Soni	Jun 16, 2015	Yes	Awesome phone in this price range ...	It is best in budget. I am happy with the device and I think it is a great smartphone and people should really buy it rather than buying a high end smartphone like Samsung or some others which offer similar features for high prices.Touch is great, nice looks, very fast and no lags, headphone provided is great, very nice display, clear and crisp
11	Hari	Mar 28, 2015	Yes	Ok...	Its works for its cost..
12	wasim	Mar 28, 2015	Yes	Good one	love to use it.........
13	nitish	Mar 28, 2015	Yes	nOTHING CAN BE BETTER THAN THIS	VERY GOOD MOBILE EASY TO USE & WITH KITKAT OS A PEFECT MOBILE AT LESS PRICE .
14	jiggi	Mar 28, 2015	Yes	good phone	Less budget phone with all facilities . Like it but battery backup is less acompare to other in this phone.
15	Bitling	Mar 28, 2015	Yes	Very Nice	It is a Very good Mobile in low cost
16	ashe	Mar 28, 2015	Yes	good to buy	good to use and best in price
17	Atir Nayab	Mar 28, 2015	Yes	i would like to advise other to buy	very good it is much better then it looks, awsome features attractive looks in specification it is written it has jelly bean but actually it has 4.4.2 kitkat camera quality is also good but front camera is very low i'm not satisfied with front camera overall the product is good
18	sasikumar	Mar 28, 2015	Yes	i would like to by	Best cell phone
19	Shirish	Mar 28, 2015	Yes	I would be happy	This is my second mobile, it's fully loaded gadget, gives 1GB ram,camera is awesome, resolution is great, but I don't like two things which is its poor design and  heavy weight
20	K John	Mar 28, 2015	Yes	A good phone	Phone is good but its audio is not as good as samsung or other standard phones.Anoher  problem is, its accessories like screen guard and flip coverss are not available in the local market. if these are issued along with the phone, it would be fine for which no problem whether to charge or not.
21	sandip	Dec 08, 2014	Yes	very good	low rate more facility,
22	joy	Dec 08, 2014	Yes	GOOD PRODUCT	VERY GOOD PRODUCT GOOD MONEY VALUE
23	Raj	Dec 08, 2014	Yes	Great buy	Excellent product at a great price :)
24	satish	Dec 08, 2014	Yes	iBall Andi 4.5K6	Screen is very delicate and ear phones are low quality, Camera is poor.Slim in size
25	Shahab Siddiqui	Dec 08, 2014	Yes	Unbelievable	Very high resolution, Light weight, slim, Good looking phone with affordable price
26	Kathir	Dec 08, 2014	Yes	Very Good Product	Cheap & Best Picture quality is so good
27	ARUN.D	Dec 08, 2014	No	Perfect. It doesn't get any better	good shopping experience... courier deadly slow.....
28	MONI	Dec 08, 2014	Yes	EXCELLENT MOBILE	Excellent mobile and features, 8 mp camera 1gp ram high speed stylish slim screen size 4.5 inch always excellent
29	rahul upadhayay	Dec 08, 2014	No	That's Good Stuff	its a good phone in small range price . all function are going well . touch is very smooth compare with Samsung and Micromax. sound quality is good. but the headphone provided by company is not good. camera quality is  really 8.1 mp,video quality is also good.   only drowback is battery backup..  poor when you are using internet.
30	Amu Jeff	Dec 08, 2014	Yes	Technology Loaded	This product is good. Thanks to snapdeal
31	Chanakiyan	Oct 30, 2014	Yes	iBall Andi - Good mobile	iball Andi 4.5K is very stylish looking Mobile and handelled very easily, i will refer by more other persons.
32	chinni	Oct 30, 2014	Yes	iBall Andi 4.5K6	This phone is better phone in this price range. 1 GB RAM, 1.3 GB for apps, 1.3 GHz dual core processor.. 4.5" qHD screen. the touch screen is very much responsive and ear valume is not good. The Phone has all the properties as per the specs given on iBall site. It has accelerometer, magnetic sensor, proxymity sensor, ambient light sensor and GPS. The phone has iBall OTA. I use this phone for normal/personal use. When I have opened 4-5 documents I observed a little (1 Second or so) hangover or lag in executing the touch responsive command. I have not used the phone to play games, so i cant say how the phone will behave in its response. Internet speed is also very good no hangups or drop down in internet connectivity.
33	som	Oct 30, 2014	Yes	Average Phone	good smart phone but poorest battery life & camera quality also so poor. max 3 hrs if ur using net
34	ankit	Oct 30, 2014	Yes	awesome product	its full value for money... nice mobile.with awesome specs
35	bd	Oct 30, 2014	Yes	avg product...........	battery quality low
36	Deepesh	Oct 30, 2014	Yes	Good Product, Flipcover required	Hi,  I have used the device, it good on performance. I am having difficulty in finding good Flip Cover for the device.   Thanks
37	Mondal	Oct 30, 2014	Yes	iBall Andi 4.5 K6 Black	so nice...
38	Tanmoy	Oct 30, 2014	Yes	Good for with in 10000	very good product.fast,high contrast ration,smooth touch.
39	vinod	Oct 30, 2014	Yes	very nice phone	good good good
40	eeeshhh	Oct 30, 2014	Yes	Overall good...	User friendly and good....
41	ashish	May 12, 2014	Yes	iball k6	value for money product
42	ram	May 12, 2014	Yes	camera veryyyyyyyyyy bad	camera&battery; waste
