Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	pks	Mar 20, 2016	Yes	iBall Andi 4L Pulse 4GB Dark Grey	camera is very poor. screen is very low in pixel and quality
2	i ball	Mar 20, 2016	Yes	i ball andi 4 l pulse	touch is smooth
3	Sally	Mar 20, 2016	Yes	Price perfect	Yes it is over 4 months of real day-night use and wow not a reason to complain. Steady performance and no lags.
4	psudheerr	Mar 20, 2016	Yes	Good handset	I would say it's worth all bits price wise.
5	S Mahaboob Basha	Mar 20, 2016	Yes	Iball andy mobile	Very gud because, my mobile got repair after one month of purchase.  I went to customore care. the mobile was sent to Hyderabad or Mumbai I don't know.  After few days I got a message that, the mobile cannot be repaired.  A new mobile will be replaced in the place of my mobile.   So I thank u to snapdeal for its care. Love to shop on snapdeal.
6	Moon	Mar 20, 2016	Yes	good phone ,value for money but...used for general purpose only	good phone ,value for money but...used for general purpose only
7	sd.moulali	Mar 20, 2016	Yes	average mobile	not bad phone   overall average phone..............
8	poovarasan	Mar 20, 2016	Yes	I ball	This is the I ball phone is very very nice packing and very excellent delivery no any body damage I love it Mobil for I ball low price and high quality thanks for snapp deal
9	good	Mar 20, 2016	Yes	SWAMYMERUGU	Mobile is good and snapdeal service is excellent
10	aj	Mar 20, 2016	Yes	Great phone in this range	Pretty good phone. I only hope they ugrade it to Windows 10. Please note, this phone has no call recording option.
11	Arka Banerjee	Sep 27, 2015	Yes	Great. Cant be better.	As i have used lumia i know what windows is. nice entry to windows by iball. the phone has many pros 1.windows 8.1 so no lag whatsoever 2.1 gm ram is a boon.  3.Quadcore snapdragon processor made the phone super fast. can handle almost all types of app and games.  4.Call or voice quality is loud and clear  update the phone to windows 8.1 update 2 and the phone becomes more awesome. folders can be created. cortana comes on. settings menu gets greatly organised  Back camera quality is ok can be improved by iball Front vga camera is ok ok in daylight only  the only pros is the internal 4gb memory out of which 1.5 gb is free and the rest is occupied by the os. sd card can be addes. move all your app to sd card or install apps or games directly into the sd card. store video or photos in sd card to make most of the inbuilt memory. apps and games can be moved to sd card like android.   overall a great phone if you ar planning to buy a windows smartphone go for it. it has overything office, onedrive, cortana.
12	Sandeep Mishra	Sep 27, 2015	Yes	Iball andi 4l pluse handset is good for this range	I happy with the service given by snapdeal becouse this is my first experience for purchase a product by online.
13	shibin	Sep 27, 2015	Yes	Very good phone	Very good phone but camera 📷 is not good but everything  ok
14	suri	Sep 27, 2015	Yes	iball andi	its working very good. and given good quality.I am satisfied about this purchace
15	kukki	Sep 27, 2015	Yes	I ball Andi 4l pluse	It was great experience to purchase the ibal  from snapdeal.
16	Krishna	Sep 27, 2015	Yes	Parfect Phone That I Want	Good Hanset Not Hang Like Othwe Windows Phone
17	abhay saxena	Sep 27, 2015	Yes	awesor phone with this price range	i buy this phone for 4k its worth for money
18	japi	Sep 27, 2015	Yes	overall phone is good but bad thing is its camera	overall phone is good but bad thing is its camera
19	sandy	Sep 27, 2015	Yes	Nice phone	Nice phone i like iBall phone it very smart window 8.1 vvvv cool.
20	RIYAZ KHAN	Sep 27, 2015	Yes	iBall Andi 4L Pulse 4GB Dark Grey	I AM VERY HAPPY AND SATISFY WITH THIS PRODUCT.  THANKS SNAPEDEAL
21	suresh	Aug 29, 2015	Yes	Phone feature	The phone is soooooo nice and feature is good
