Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	santosh trivedi santri	Nov 26, 2015	Yes	santosh trivedi	Nice phone iball with 2gb ram Good hardware quality by iball company nice service by snapdeal i m satisfied by this phone
2	Bubul	Nov 26, 2015	Yes	Good One	Ready to used at current scenario and also worthwhile in this market solution types competition
3	Nevs	Nov 26, 2015	Yes	I BALL PRODUCTS ARE VALUE FOR MONEY	This is my 2nd I-Ball product and for the value it is great. Moreover the service and prompt delivery of Snapdeal is worth mentioning.
4	harryspark	Nov 26, 2015	Yes	Good product	Purchase all product from SnapDeal its very good service
5	must have gadget	Nov 26, 2015	Yes	best value for the money	except for the courier, which gave me anxiety by sending a message that my office was closed even when I was in the office, which was obviously open till 6.30 pm , the experience has been nice
6	Firoz	Nov 26, 2015	Yes	Nice Product	Good product. Paisa Vasool.... Very nice service by Amazon.
7	kiranpal	Nov 26, 2015	Yes	Sexy phone	It's very sexy mobile phone,  awesome futures and very fast.
8	vel	Nov 26, 2015	Yes	Iball andi 5 xotic	Good and nice looking with internal capacity good processor
9	Mukesh	Nov 26, 2015	Yes	Mobile phone	Its very slow to find out contact saved in it.  Also its processor is poor and very slow.
10	Anand	Nov 26, 2015	Yes	Nice	Value for money and quite handy product. I liked the elegance
11	vijay vishwakarma	Sep 12, 2015	Yes	I am happy with my phone	Nice phone easy to Handel , easy to use super touch and I am happy to purchase this phone
12	abhishek	Sep 12, 2015	Yes	good	Good
13	kannan	Sep 12, 2015	Yes	"Don't judge a book by its cover"	mobile is good but flash is not good
14	ani	Sep 12, 2015	Yes	I ball Andi 5X xotic	A very good phone at this price with 2GB RAM & 16FB internal memory  Good camera quality... Little bit disappointed with battery of 2300mah
15	Brijendra Kumar saxena	Sep 12, 2015	Yes	excillent mibile iBall	Nice product in reasonable price
16	Asif	Sep 12, 2015	Yes	good one	Not bad in the range of 8k
