Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	shiv	Mar 25, 2016	Yes	good product	very good product
2	sdf	Mar 25, 2016	Yes	iPhone 4S 8 GB Black	very nice &easy; to handling
3	somanathbiru	Mar 25, 2016	Yes	Excellent Product	Thanks snapdeal to give me a very nice product. This is my dream hand set . am very happy with snapdeal's service. Thanks to all staff of snapdeal.
4	hary	Mar 25, 2016	Yes	good product	Using  from 6 months, no issue yet. Battery life last only one day, rest all the things are great.
5	Palash	Mar 25, 2016	Yes	iPhone 4S 8 GB Black	very much satisfied with the deal. have been using for more than 5 months now, no regret. And also happy with the service of Snapdeal. thank you Snapdeal!
6	Arka Bera	Mar 25, 2016	Yes	GOOD even on 2016	Pretty outdated, but still a good phone to have. No objection about Snapdeal delivery.
7	radhikatanna397	Mar 25, 2016	Yes	Iphone 5s 16 Gb	Thank you snap deal for awasom smart phone I loved it. It's very handy phone
8	Guest	Mar 25, 2016	Yes	Fa Ris Uju	Really i liked   Ozum
9	Guest	Mar 25, 2016	Yes	Apple I phone 4s	Awesome phone snap deal rocks 👍🏻fast delivery
10	Guest	Mar 25, 2016	Yes	it very nice	Su Su Su superb
11	Areem	Feb 11, 2016	Yes	good mobile	it is very good and best mobile and it is very beautifull but one problem the bateery backup is not good
12	S3	Feb 11, 2016	Yes	GOOD PRODUCT	GOOD PRODUCT
13	apple iphone	Feb 11, 2016	Yes	appleiphone4s	good condition
14	Sunny	Feb 11, 2016	Yes	Apple Iphone 4s	Nice received in 3 days................ Great Service................ Genuine iphone......................
15	ANJESH	Feb 11, 2016	Yes	ANJESH KUMAR	THIS PRODUCT IS AVERAGE
16	bluedhiman	Feb 11, 2016	Yes	good one from all iphones	good phone
17	Sreenu	Feb 11, 2016	Yes	Good Looking and worthy for price	so far so good as I used for seven days..
18	Lakshmi	Feb 11, 2016	Yes	iPhone 4s review	Recieved in good condition
19	muzee	Feb 11, 2016	Yes	satisfied with product	great phone
20	Santosh	Feb 11, 2016	Yes	Santosh Patil	Good one but pries is at higher level.
21	BHOGAVI	Dec 25, 2015	Yes	Shop in snapdeal with satisfaction	This is my 4th product purchasing through snapdeal. Trust me its always been a good experience in here right from the best price till the delivery Everything is jus near to perfect . Shop in snapdeal with satisfaction
22	Sid the listener	Dec 25, 2015	Yes	Iphone 4s- excellent phone and superb delivery by Snapdeal	Value for money phone. Superior Hardware and good investment for this price. Someone said," If you don't have the iphone, you don't have the iphone". yes its absolutely true.
23	JB	Dec 25, 2015	Yes	Perfect choice	Good service,delivery came in time, and we can never complain about iphone
24	M.D.	Dec 25, 2015	Yes	Moradiya Dharmik	Experts Quality...               100 Percent Original...
25	saikatdas8906	Dec 25, 2015	Yes	Good and perfect...	Good and perfect..delivery in time....product is really good...
26	chirag	Dec 25, 2015	Yes	great phone. now in great price	first iphone. quick delivery. great black color
27	Asingh	Dec 25, 2015	Yes	Value for money	This phone is still the best design by Apple. I am biased towards medium screen size and durable body and this model fits in both requirements. Snapdeal did have a good network of sellers and hence you can find this phone at competitive price.
28	avi	Dec 25, 2015	Yes	nice...............	this is best product with best camera and battery backup, go for it.........
29	Ravi	Dec 25, 2015	Yes	I PHONE 4S 8 GB BLACK....	I phone 4s was delivered on time... Just a small observation,I couldn't find I cloud logo anywhere. Only Apple logo was there on both sides of the box.
30	inturi	Dec 25, 2015	Yes	100% satisfied..	very nice..speed delivery..100% satisfied..thank you very much..I am happy with the device and I think it is a great smartphone
31	pankaj	Dec 03, 2015	Yes	apple I phone 4s	Apple 4s very good phone easy to use user friendly browsing speed is good battery life good speaker volume very clear
32	rsonone56	Dec 03, 2015	Yes	I phone 4s black	Thanks to snapdeal delivered before delivery date... And great phone and also genuine and great experience by using the phone
33	Jitin	Dec 03, 2015	Yes	iphone 4s 8gb	First i tell that the product is cheaper than any other sites ........ and even the back cover was good
34	Rick	Dec 03, 2015	Yes	Excellent Phone	Still rocks ....even though this is old model but its Apple ..they make the products that really last and best thing is iOS is compatible and thanks to Apple for taking care of their own old models. it runs smooth on iPhone 4S...iOS9 ..loving it.   Thanks for prompt delivery and nicely packed in the double boxes for protection during the transit.
35	Vijay	Dec 03, 2015	Yes	Nice Product @ lowest price	Great experience with this product on snapdeal portal. It was my first iphone and i was also very excited to own it.
36	Anand	Dec 03, 2015	Yes	anand pathak	i am very happy with your service ,,but you need put pin inside the box otherwise very good
37	Avinash s	Dec 03, 2015	Yes	i phone 4s black	Avsm phn good quality nd spcl thanks for snapdeal this is best deal i m happy this product
38	Deepanshu	Dec 03, 2015	Yes	iPhone	iPhone ka nam kam  price m and amazing speed
39	Vijaykumar T	Dec 03, 2015	Yes	Thank you snapdeal	Good product and service is also very good.
40	SD	Dec 03, 2015	Yes	Best hardware and software combination.	You have to use it to know the differences.
41	Rupam	Nov 23, 2015	Yes	i phone 4s review	First of all Thanks to snap deal for their delivered even before the date mentioned on the site.. It made me happy.  best phone i have ever used... Everything about it is awesome.. Awesome camera ... Front camera is also good.. For me 8gb is not enough but i can manage... I must say if you are bored with android or windows try ios its awesome.. And best price is here (snap deal)..go for it guys... You will not regret after buying this.... :)  Thank you..
42	Arjun	Nov 23, 2015	Yes	good	Got in good price.... and fast delivery with safe...
43	sachin	Nov 23, 2015	Yes	iphone	Very good phone I get through ur best service which creates my best impression
44	Chayan	Nov 23, 2015	Yes	Apple iPhone excellent.	An excellent product and also very good service.
45	nabbu	Nov 23, 2015	Yes	happiest moment	i phone 4s 8 GB Black pic quality is clear and good and its touch is fine...i m happy to have it and buy it online in cheapest prize
