Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	good product	Mar 03, 2016	Yes	Best piece found. Working good till date	Product is perfectly good and delivery service found satisfactory
2	Guest	Mar 03, 2016	Yes	Best product from Apple	In my view IPHONE 4S is the best iPhone from Apple.Packing is excellent & delivered in tym
3	Guest	Mar 03, 2016	Yes	iphone 4s .	its a good phone
4	Guest	Mar 03, 2016	Yes	Good Deal By Snapdeal	Still working in great condition
5	himanshu	Mar 03, 2016	Yes	good buy, recommended	its a good phone
6	Milind Pundekar.	Mar 03, 2016	Yes	Iphone 4s 8gb white -best buy !	I purchased i phone 4s 8 gb white in Oct 2015 from SD , delivery next day with proper packing ,product is also genuine , i got the same in 13,341 only.  After purchase you can confirm from Apple for perticular product from ID. if it is activated before you wont able to do the registration !  So, overall i got nice product from apple through SD.
7	Vikul	Mar 03, 2016	Yes	Battery is not good	Battery not works more than 4 hours if we used cont.
8	Reddy	Mar 03, 2016	Yes	Original and good products	I purchased I phone 4s through snap deal.it was delivered in 3 days time and the product also good Original piece.we fully satisfied with snap deal service.
9	Ankit	Mar 03, 2016	Yes	I am happy to have iphone	Its is very nice and original product. I am very happy to have this phone. Delivery is good. Price is good.
10	Pulkit Lall	Mar 03, 2016	Yes	Great Deal	This purchase was for my friend and he was very happy to find such a great deal. He loved it and is thrilled to use this device.
11	Ssnjeev	Nov 24, 2015	Yes	iPhone 4S 8GB White	Old Version. Not bad for iPhone lovers and curious to know  about iPhone. One should also feel the difference between cheap and costly mobile phones
12	ABC	Nov 24, 2015	Yes	Nice phone in this price range	This is my first iPhone from apple . This phone is working properly. It is a good choice in the given price range.
13	Manu	Nov 24, 2015	Yes	Service	Very good service and delivery in time.and delivered original product.packing also very good.
14	SURYA	Nov 24, 2015	Yes	Iphone 4s 8GB white	Very good Packing use Sefton and bubble with seal box .it is good seller. I am happy with all services snapdeal
15	shashank	Nov 24, 2015	Yes	awesome	4s is really awesome, reasonable Apple under 12k
16	Happy	Nov 24, 2015	Yes	Awesome	best phone i have ever used... Everything about it is awesome.. Fits into your hand no lagging easy update to the latest ios9 ... Awesome camera ... Front camera is also good.. For me 8gb is not enough but i can manage... I must say if you are bored with android or windows try ios its awesome.. And price is also ok...go for it guys... You will not regret after buying this....
17	Karthikeyan	Nov 24, 2015	Yes	Good quality	Hi I am karthiKeyan I have bought two iphones from snap deal and i m satisfied with it.
18	Diwakar	Nov 24, 2015	Yes	Nice exp	It was a good exp dealing with sanpdeal . Also the delivery was done on time .
19	BhoirPravin	Nov 24, 2015	Yes	Great product without ant fault	I am using this phone great product at all I always purchased online products from snapdeal. Snapdeal is the best selling products online shopping.
20	pankaJ	Nov 24, 2015	Yes	good phone	a good and faster service provide by snap deal , and i am happy with phone and  snap deal service
21	Guest	Nov 01, 2015	Yes	Awsome product	Awsome .... In this price u can also buy another smartphone but apple is a brand its camera quality is better than other smartphone .... Its features was unique ..... If ur mobile give problem u can change your iphone in the service center and they will gives u a new iphone ... And also gives u new headset and charger on the replacement of other
22	madhusudhang1993	Nov 01, 2015	Yes	nice	Phone is good an smooth.delivered on time. Good service.
23	Navh	Nov 01, 2015	Yes	The best purchase of my 3 yrs of online purchasing.	Writing this review after 1 month of using the product. 1. received the product within a week with original Apple unopened Box packing.  2. Iphone was un-used as it was checked and registered at online apple website. 3. product working fantastic even after 1 month with no issues .  4. this is my 3rd phone after 1, 1 year use of samsung galaxies and xperia-C android (cost ~20,000) and if this phone is 9/10 the other two are 2.5/10 if compared. 5. still no alternative to Apple iPhone 4s in this range.  6. and most imp i got this product at just Rs 11500/- (after 1300 cash-back from sbi cash back offer)
24	electricgood3270	Nov 01, 2015	Yes	Good product at this price point	NICE product and delivery of product is instant
25	Chandu	Nov 01, 2015	Yes	iphone 4S 8GB	My first iphone  which weighs a ton perhaps the strongest phone in the world.
26	Guest	Nov 01, 2015	Yes	Keep it us snapdeal	Thank you for providing us such a perfect product at a such low price Thank you Snapdeal
27	Annu	Nov 01, 2015	Yes	Soooo cute phone..	Guys am really telling..4s performence is very nice  n little bit slow while opening apps..
28	susanta debnath	Nov 01, 2015	Yes	Iphone	Very good this phone  and color is very nice
29	Anni	Nov 01, 2015	Yes	I phone	I like to use my new I phone. It is very fast.i like your seller and service and the phone was also very good.
30	Kamal Kumar	Nov 01, 2015	Yes	Owsome phone in low budget	It is very nice phone very good performance is is upgradable operating system but weight of this product not so good but overall very good phone and service of Snapdeal to deliver it very good and o don't have any problem in this phone I always prefer Snapdeal to my all friends for online shopping most trusable website simple return policy
31	angeeraguru	Oct 22, 2015	Yes	iphone4s	product is excellent iphone is definitely best in the world
32	shetty	Oct 22, 2015	Yes	i am happy wth the product	i am happy with the product.thank u snapdeal
33	rahul	Oct 22, 2015	Yes	Amazing	If u people ..use this phone..i m sure...u forget all other phone its my promise
34	jslnk138	Oct 22, 2015	Yes	Awesome phone	ease the life world in hand awesome services of the website got my phone within 5 days ..thanks a lot good team work
35	Sahil	Oct 22, 2015	Yes	wow	Superb handset quick delivery cheapest price available on all portals
36	VIRU	Oct 22, 2015	Yes	Awesome Phone in this price range	First time ordered phone online via snapdeal and it was really very nice experience.
37	Prashant	Oct 22, 2015	Yes	awesome	totally awesome mobile with premium quality , received with good packaging
38	jahan	Oct 22, 2015	Yes	awesome	awesome...............................................................................................................
39	santu	Oct 22, 2015	Yes	iPhone 4S 8 GB White	supper & CHEAP RATE IN THIS WEB SIDE.................................................................................................
40	neelu	Oct 22, 2015	Yes	IPHONE 4S	good looking phone with good fixture...best buy on snapdeal...sabke dil ki deal..
41	Akshay	Oct 13, 2015	Yes	About invoice	Invoice is not downloading...Please mail me invoice as my phone is having problem & need to show it service center.
42	sazad	Oct 13, 2015	Yes	I phone	good product m happy with it n thanks snap deal
43	Rohit	Oct 13, 2015	Yes	Good product	A better Delivery time would have fetched you guys a five-starrer review. Nonetheless, a good product.
44	Anil kumar	Oct 13, 2015	Yes	I PHONE 4S	Its great having i phone and the price also little bit economical, people who are looking for i phone must have a knowledge of i tunes and always must have a internet facility in your phone, the product delivery is quick as flipkart. overall my rating out of 5 is 4.5/5
45	Vinay	Oct 13, 2015	Yes	I phone 4s	The product was delivered even before the date mentioned on the site.. It made me happy.
46	Manas	Oct 13, 2015	Yes	iPhone 4S 8GB	This phone is awesome. Apart from the heating issue ( a little while charging or using Wifi for longer time) it works nicely. You can really enjoy the brand. I am happy with my first iPhone. Go for it guys.
47	Sunita	Oct 13, 2015	Yes	Iphone	iPhone 4s is super to use. I recommend it to all
48	Raju	Oct 13, 2015	Yes	I phone 4s	I phone 4s is better.to handle. Getup very fine.I seems dt i phone is too gd
49	Chndu	Oct 13, 2015	Yes	AMAZING PHONE	T his is my first i phone which i purchased from snapdeal with 10% cash back offer, i got the cash back recently.. and the iphone 4s white is really amzing with it looks and design even though little bit heavy,  using it from past 3 months ,mobiles get little bit heated while charging...  A basic start up phone for i phone users.. who want to use the upgrade i phone versions in the future... Really nice to shop with snapdeal with great offers...
50	Raj	Oct 13, 2015	Yes	Awesome product..........	As like brand says about the product........
