Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	nickybhau	Mar 26, 2016	Yes	Cool phone in this price range	I have got ths phone in perfect condition and thank you snapdeal for perfect elivery.i guess ur are earning the trust back
2	Guest	Mar 26, 2016	Yes	The name sake iphone	Lacks the feel.
3	Shivi	Mar 26, 2016	Yes	What i can say for it . Keep calm and be happy	A mush have deal
4	shiv	Mar 26, 2016	Yes	iphone 5c is good but next time purchasing 7s	iphone really nice cell
5	slyr	Mar 26, 2016	Yes	worthy product	got delivered on time and satisfactory product as always
6	Nitin	Mar 26, 2016	Yes	Nice  Fone	Good phone to buy.  and Nicely packed product.
7	Vijay	Mar 26, 2016	Yes	Awesome Product	very good product...thanks to snapdeal and sellers to delivered the original phone :0)
8	Abhishek	Mar 26, 2016	Yes	awesum phone.good price good product	awesum phone.good price good product.iphone is the best
9	jayesh	Mar 26, 2016	Yes	iPhone 5C 8 GB White purchased recently	Very good product and delivered in time  as committed; true value for money
10	NARAYAN	Mar 26, 2016	Yes	Good product	The product quality is good but the only thing is memory capacity is not sufficient for storing the data
11	Prasad	Nov 23, 2015	Yes	Best deal..	I bought iPhone 5C with best deal ever.  Product is quite good and I also updated it to latest iOS version. Very happy with the deal..
12	Mayur	Nov 23, 2015	Yes	Awesome iPhone	This a great experience to have a iphone, Snapdeal delivery was above expectation !!
13	karan	Nov 23, 2015	Yes	iphone review	Awsme delivry on time and product recievd in good condition and i think its a awsme site for shoping
14	Sarfuddin	Nov 23, 2015	Yes	Marvallous Phone	Marvallous Phone...Ever used....You must buy
15	Kabir	Nov 23, 2015	Yes	Good value iPhone	Good buy at an affordable price during the sale.
16	Appled	Nov 23, 2015	Yes	best deal at best service	Quality product from snapdeal. Delivery was on time.
17	Kaushal	Nov 23, 2015	Yes	Excellent product and excellent service by snapdeal.	Honestly speaking initially I was hesitated because of previous reviews about snapdeal. But those all reviews are fake and just to damage the reputation of snapdeal. I am truely satisfied by snapdeal's service. 100% satisfactory. Genuine product with honest service. So don't believe on rumours. I am going with five stars. Thanks snapdeal for wonderful shopping experience.
18	kul	Nov 23, 2015	Yes	adorable product providing by snapdeal	i bought iphone 5c from snapdeal and the product is absolutly real and it wors properly .. price is also very low then the other online shoping sides ... so thnxx to snapdeal adorable phone and top class service 😘
19	VIVEK KEDIA	Nov 23, 2015	Yes	SMART MARKETING	THE PROMPTNESS IN DELIVERY AND THE PRODUCT RECEIVED IS   GOOD AND I AM SATISFIED
20	anj	Nov 23, 2015	Yes	Budget IPhone	It is a nice phone by Apple. Camera is good and phone works perfectly. It is worth a Shot
21	Moon	Oct 24, 2015	Yes	Iphone is d ultimate choice of mine	D phone is good. IOS is d best OS.... Safe also. D phone looks great though it consists plastic body. Metal body looks good bt dt nt means plastic body looks cheap plastic may also b nice in looks. Its camera is superb. Battery also. Dere is only one problem nd dat is space... Bt I can't say dis is d phone's problem at all. I hv chosen d 8gb phone so it's my flaw. But in 1 word i just can say it is d best phone in dis price. Thumbs up APPLE
22	Nipun	Oct 24, 2015	Yes	Overall Remarks	It's been close to 5 months since I bought this product and till now, I am happy with how the product has performed.
23	raj	Oct 24, 2015	Yes	Good product	I got my iPhone 5c white colour in good condition and best rate  snapdeal rate is always lowest then other sites and store also
24	simranj72	Oct 24, 2015	Yes	Awseome phone at an awsome price	Recently purchase the phone and was a bit doubtfull while purchasing, but i must tell you this is the most best iphone you can get at this price. It was packed beatifully by the seller and same day dispatch. Pros 1. Very Cheap prize 2. IOS 9 upgrade. 3. Very smooth 4. Good build quality  Cons 1.Plastic body 2. 8GB memory  But even plastic body looks attractive with premium and good plastuc used. Everyone should go with this phone if you have a budget of 20K
25	Nidhi	Oct 24, 2015	Yes	Good	This product is awwsum in use... As by looks also.. I would defination prefer this nxt time also
26	Mak	Oct 24, 2015	Yes	its an I phone after all	got this at a great discount, the phone is worth it. my wife wanted to try an iphone and she is loving it now
27	NA	Oct 24, 2015	Yes	Good budgeted iphone	Good budgeted iphone. Should only go for it if want to have an iphone experience but within your budget.
28	sumit	Oct 24, 2015	Yes	Price and delivery service are good	Price and delivery service are good I received my order on time
29	Chandu	Oct 24, 2015	Yes	Good one	Very good one perfectly the original one with all original accessories
30	Yogesh	Oct 24, 2015	Yes	Apple iPhone 5c	Awesome mobile working smooth just like an apple iPhone hahahaha its cool
31	Nisar	Oct 13, 2015	Yes	Excellent	I am very very happy with this iPhone .when I was ordering this phone I had little doubt about that. But after receiving this phone I am really very happy.also found original I iPhone.earlier I had doubted
32	Yash	Oct 13, 2015	Yes	Very good	Very good service by seller. Faster delivery and proper packing.
33	katrix	Oct 13, 2015	Yes	iPhone 5C 8 GB White	Good Price. Great Seller. Genuine Product. Fast Shipping. Recommended*****
34	Amit	Oct 13, 2015	Yes	Good phone at reasonable price	Good product and packing was also good only issue with courier service..they took more then 10 days to deliver .
35	Amit	Oct 13, 2015	Yes	Excellent	Excellent product. Can be recommended to my friends and family members.
36	M A Khan	Oct 13, 2015	Yes	Good Phone Good Service	I M Happy With iphone5c and snapdeal services. i would recommended Snapdeal service my near & dear
37	Dinesh	Oct 13, 2015	Yes	Excellent I phone	Worth in this price. Excellent features. Overall performance is Good
38	Vasan90	Oct 13, 2015	Yes	Dont buy from sanwaria texpro seller	They have sold this Iphone on interest free emi scheme. Even though the phone was available from other sellers at a cheaper price. But no interest part has been credited to my account till now. Snapdeal hasnt taken any action on this issue. Dont buy on fraudulent schemes.
39	Raj	Oct 13, 2015	Yes	Review	Mobile was got no hang smooth  touch  performing well
40	roni	Oct 13, 2015	Yes	rohit	Awesome iphone in this price range. i would recommend this phone
41	Tanvi devani	Oct 04, 2015	Yes	Good	Features are good....but the phone gets heated after some time
42	Surbhi	Oct 04, 2015	Yes	Found my dil ki deal...	Easy and quick returns... Original products...  Good job snapdeal...keep it up!!!
43	Vivek	Oct 04, 2015	Yes	Wonderful phone at lowest price as compared to other sites	This is the first iPhone that I bought. After using android for 3 years, I was not satisfied with the performance. So, thought of going for iPhone. Though, I didnt want to go for iPhone 6S as it was very costly for me. So, decided that I will buy iPhone 5C.  Snapdeal has provided me a very great deal as compared to other sites. Also, the delivery was very prompt as well.  Pros: Sleek phone, looks sexy, no lags, really great headphone, got upgrade to iOS 9  Cons: Plastic body
44	mgr	Oct 04, 2015	Yes	manager	Service quality is very good and level of interactions have been good.
45	Ranjit	Oct 04, 2015	Yes	iPhone 5C	genuine product delivered within scheduled timframe. Thanks snapdeal !
46	Prabir Das	Oct 04, 2015	Yes	Good product	good as like iphone,  apple , and snapdeal service was good
47	Amol	Oct 04, 2015	Yes	Mr.	Good product. Worth buying. Nice phone. Timely delivery by snap deal
48	Dhanshekar	Oct 04, 2015	Yes	Dhanshekar	Good , product is satisfied which I got from Snapdeal
49	jeeva	Oct 04, 2015	Yes	Good product good price	IPhone 5c good product on good price. Within one day I got the product though in site specied 3 working days.
50	Mel	Oct 04, 2015	Yes	Melanie	Good price, Great phone, very happy to own one. Recommending to everyone
51	Tushar prajapati	Sep 25, 2015	Yes	Iphone 5C	its nice to deal with Snapdeal. good shipping service at all...
52	Yuvi	Sep 25, 2015	Yes	Iphone 5c	I am very much happy with my product thanks to SNEPDEAL.
53	Raj	Sep 25, 2015	Yes	Amazing iPhone.	It's really 100% worth to buy this product. I am fully satisfied with this product.
54	Kev	Sep 25, 2015	Yes	Excellent product packing &  Service	It's  good Value for the money paid . The  Item was well packed and delivered  on time .
55	Dhruv	Sep 25, 2015	Yes	Excellent phone	Have switched from android to apple and i am pretty satisfied with iPhone 5c . Excellent camera , crisp display . The battery  issue has been solved with the latest ios9 update .
56	Murugan	Sep 25, 2015	Yes	GOOD	Satisfied and will buy more products from Snapdeal
57	Ranganath	Sep 25, 2015	Yes	Good Mobile but its memory will be filled faster its just 8GB limit	Good Mobile but its memory will be filled faster its just 8GB limit
58	Triveni	Sep 25, 2015	Yes	Excellent Product	Excellent Product & Good Service by Snap Deal.
59	rajesh	Sep 25, 2015	Yes	iPhone	offer product is available, customer care also good
60	Asad	Sep 25, 2015	Yes	Flawless deal	Bought this for my dear wife as a surprise. Got delivered on time!
61	San	Sep 08, 2015	Yes	IPhone 5c	The piece delivered in good conditions... Received a discount of 1000rs on free charge coupon. Delivered within 2 days before committed delivery.
62	POWER	Sep 08, 2015	Yes	Worth buying from sd	Worth buying from snap deal due to its competitive price and good service Thanks sd for the phone at this price
63	sherry	Sep 08, 2015	Yes	Very satisfied	Genuine product quality great.. Overall perfect
64	Rocks	Sep 08, 2015	Yes	Rakesh Garg	Good Product, Do not hang. Samsung products are pathetic. Used Grand Qauttro which use to take 20-30 seconds to open even contact list.  Apple is quality product. Only problem is you need to pay for everything.
