Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	orange	Mar 08, 2016	Yes	Received on time.. As mentioned	Received within the time of delivery. Package is firmly packed and delivered safely. Becoz its Apple...
2	subhankarpradhan1999	Mar 08, 2016	Yes	Good Product	I am very happy with this iphone and once again lots of love for snapdeal ...to quick deliver my product😍😍😍😍
3	Tarique	Mar 08, 2016	Yes	Brilliant phone	Happy with the product
4	subhadeep	Mar 08, 2016	Yes	Very nice and smooth phone	Very fast delivery got latest iOS thanks snapdeal
5	Macste	Mar 08, 2016	Yes	Need better checking on products	Good, keep it up snapdeal
6	endlessamu	Mar 08, 2016	Yes	mast hai  i m lovnit	ek no service
7	Nandu	Mar 08, 2016	Yes	iPhone 5s - 16 gb	the mobile was packed in good condition with 1 year manufacturer warranty. 100% genuine product!
8	RamR	Mar 08, 2016	Yes	A great phone	Even though newer models are now available, the 5S is still a great buy.
9	Guest	Mar 08, 2016	Yes	good price	Nice product compared to market price
10	Deepak Mahtha	Mar 08, 2016	Yes	iPhone,Brand dat matters	iPhone 5s is bestest among all the iPhones created by Apple.Real value for money and thnx to snapdeal for faster delivery.
11	Devashish	Mar 03, 2016	Yes	Feed back for my purchase	I am satisfied with the product and the service given by snap deal
12	Guest	Mar 03, 2016	Yes	GoodProduct	I like my new phone
13	Ramakant	Mar 03, 2016	Yes	iPhone purchase	I was little reluctant to buy iPhone online, i heard about the stories of duplicate phone, but as i received it was good quality stuff. happy customer.
14	JOY	Mar 03, 2016	Yes	AWESOME PRODUCT GUYS !!! SURELY GO FOR IT ...	This is my First Apple Device and got it in very decent condition Guys. Fully original Sealed !!! Salute to TEAM SNAPDEAL for their effort and wonderful packaging of the iphone ... As you all know that there is no need to say much about the Brand APPLE but Snapdeal makes it just Better than others. Very much happy with the price and the product. Thanks a lot Snapdeal !
15	mayur	Mar 03, 2016	Yes	Ultimate snapdeal	Good phone best best snapdeal price  SNAPDEAL ultimate shopping love this
16	Seraj	Mar 03, 2016	Yes	Awesome Phone	Awesome Product but packaging was not good
17	smbaliga2005	Mar 03, 2016	Yes	Apple is just apple	Nothing to About apple, one need to buy to know about it. that proverb is correct, if you don't have an i phone, you don't have a phone.
18	Guest	Mar 03, 2016	Yes	good delivery	Satisfied with the product 👍👍👍👍👍🏻
19	basant	Mar 03, 2016	Yes	Good product	I got gud product from snap deal. . Thx
20	Rijud	Mar 03, 2016	Yes	Genuine product	When its come mobile we sometimes hesitate to buy online      I am fully satisfied with snapdeal      I got a genuine Apple 5s       What more I can wish
21	Harsil, Spaniel	Feb 28, 2016	Yes	Worked as planned	Thanks for aranging this product, delivered on time. Price reasonable
22	chranji lal	Feb 28, 2016	Yes	ont ok  your sarvis	im receve   m t box in delivery
