Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	vishal	Apr 02, 2016	Yes	Awesome phone	my first apple product
2	Rohit	Apr 02, 2016	Yes	5 star product and 5 star service	Product : No expert reviews here. iPhone is the best you can get in market. Bought it for my wife and she was not that happy with the front and rear camera which I have to admit. None the less, the phone itself is a gem to use. Puts you in premium category between friends.  Service : Snapdeal has always been favorite even if I have bought products from all other site. Best product pricing, i.e. 17805 (ordered from app), exceptional delivery and excellent packaging. Service was icing on the cake for the pride which I feel after buying the product.
3	iphone 5s	Apr 02, 2016	Yes	good service and good product	very good product.good service from snapdeal got a latest iphone  in cheap price . I recommend to buy from snapdeal rather than amazon or flipkart which has higher cost with poor service
4	Hi	Apr 02, 2016	Yes	Dil ki deal	Very nice iphone,nice deal,dil ki deal snapdeal
5	Avi	Apr 02, 2016	Yes	Great iphone glagship	Nice phone.... Nice snapdeal service....
6	yesh	Apr 02, 2016	Yes	awesome phone	nice product
7	VivekR	Apr 02, 2016	Yes	Great Phone ThankYou Snapdeal	finally ! The wait is over best phone ever.... Best packing and the product is too good......
8	Chinna L	Apr 02, 2016	Yes	Super deal	Nice product and very very nice service by Snapdeal
9	Guest	Apr 02, 2016	Yes	ExcellentProduct	iPhone is the best mobile in india
10	Anuj	Apr 02, 2016	Yes	Super smart phone	Wonderful cell phone, this is perfect phone
11	Shai	Mar 30, 2016	Yes	Awesome Phone	Got the phone last week , well packed and delivered earlier than the given delivery date. After using the phone for 3 4 days I can say that the product is awesome .
12	shilu pangrak	Mar 30, 2016	Yes	good product	nice phone and good delivery turn around time
13	Indrakar	Mar 30, 2016	Yes	Beautiful product	Reliable product
14	abhishek.2758864	Mar 30, 2016	Yes	awesome phone	i was in doubt before the order.but after buying i am satissfied.Its light in weight and finger scan is awesome.security is strong
15	Guest	Mar 30, 2016	Yes	ExcellentProduct	Impressed with my phone
16	dine	Mar 30, 2016	Yes	very good product	packing and everyting is good....
17	ABA	Mar 30, 2016	Yes	Excellent Product	Amazing product ..... Excellent delivery by the seller with good packing
18	Praveen	Mar 30, 2016	Yes	iPhone 5S SpaceGrey	Nice Phone Ever
19	Sriram	Mar 30, 2016	Yes	As Expected! Gifted my Dad his first iPhone.	Delivery was a bit of a pain. The new courier guy reported that address was incorrect and took the package without even ringing the doorbell. Had to raise a complaint to GoJavas and get the item delivered again.  But having said all that about delivery, the product was up to my expectations.  Packaging was excellent.  Product is 100% genuine.  The exchange offer was good too. (Got rid of my old desktop)
20	ismailakhtar786	Mar 30, 2016	Yes	Excellent Product	thanks snapdeal for my iPhone 5s deliver in two days...
21	csp	Mar 28, 2016	Yes	Good price.	Got sealed packaged phone satsfid with the service and phone
22	ashish	Mar 28, 2016	Yes	good purchase	perfect packaging and product
23	Guest	Mar 28, 2016	Yes	ExcellentProduct	Awesome.....I m just loving it
24	rajasthan.medical	Mar 28, 2016	Yes	Excellent Product	I appreciate ur team work
25	Guest	Mar 28, 2016	Yes	GoodProduct	This is the packing level of snapdeal for an iPhone.  Not got as per standard delivery date.
26	mShubham2007	Mar 28, 2016	Yes	Awesome Product.	Most powerful Mobile phone on Earth.
27	tanmaya.cool	Mar 28, 2016	Yes	Good Product	it's a awesome phn but I m bit surprised that it is assembled in China...and I thought it may be bit more wide...anyways a great experience with iPhone n thanks to snapdeal...
28	Guest	Mar 28, 2016	Yes	ExcellentProduct	Grt service
29	tiwari.chintu	Mar 28, 2016	Yes	Excellent Product	great phone
30	Guest	Mar 28, 2016	Yes	GoodProduct	Good phone and good delivery by snapdeal
31	ANU	Mar 27, 2016	Yes	i phone 5s	really awsm phone thanks to snapdeal team
32	Sasi	Mar 27, 2016	Yes	Value for Money	Gud Product
33	Padma	Mar 27, 2016	Yes	Best phone	Best for serious users. No nonsense like Android phone
34	ameresh	Mar 27, 2016	Yes	fast delivery	nice service by sd.
35	saaksshinag95	Mar 27, 2016	Yes	Excellent Product	love it was scared of the old delivery news regarding iphone sales on snapdeal but was a relief on buying a one geniun product at such low price and that too on time 😘.
36	vaisak.vaisakraj11200	Mar 27, 2016	Yes	Good Product	looking good
37	Nahom	Mar 27, 2016	Yes	Purchase of iPhone 5s	It's really good and genuine product. It works fine still now no issue. Some times it is heating little (watching videos, browsing internet, charging) but it is quiet common compare to other phones... Overall everything is fine. Nice response from snapdeal and good offer.. thanks.
38	manjadht	Mar 27, 2016	Yes	Excellent Product	Awesome phone
39	piyush	Mar 27, 2016	Yes	awesome phone awesome service awesome price	the experience of ios at such a price is a blessing, spcly for people who love small phones...so dont wait switch over to iphone before this phone runs out of stock
40	madhu	Mar 27, 2016	Yes	nice product fast delivery	nice product genuine feb 2016 manufactured battry backup is low but nice phn
41	Abc	Mar 24, 2016	Yes	Only Satisfactory	Only satisfactory
42	Sanjeeb	Mar 24, 2016	Yes	Amazing one best thing	Good one but I cant  create folder . Call recorder is not available
43	sAMar	Mar 24, 2016	Yes	PRODUCT IS GOOD	THERE IS HEATING PROBLEM WHEN 3G NETWORK IS USED
44	Rakesh	Mar 24, 2016	Yes	Nice service by Snapdeal	WOnderful in time delivery by Snapdeal. Product absolutely fine.
45	vivek	Mar 24, 2016	Yes	apple i phone	average products
46	Kishan	Mar 24, 2016	Yes	Best deal with snapdeal.	Best phone at best price,i like the configuration .
47	ranaps094	Mar 24, 2016	Yes	Delivery before Time!!!	No Comment plz
48	Guest	Mar 24, 2016	Yes	Superv Experience	Arar aap k paas Iphone nehin hain to aap k paas iphone nehin hain.....as simple as that.... But One thing I got a differnt chargr dnt knw why.... Othrwse thumbs up to snapseal & apple
49	Bleezebub	Mar 24, 2016	Yes	BEST ever......	Best ever available in the market.
50	amanroop	Mar 24, 2016	Yes	Super_Fast_Shipping	Excellent Product & super fast shipping
51	prasannambbs1010	Mar 21, 2016	Yes	Reached fast, product is aweeesuuum, snapdeal does a good job	Thank you snapdeal, hopefully our deal continues
52	Kabirx7	Mar 21, 2016	Yes	Great Design.	Perfect Smartphone.....
53	Mahesh	Mar 21, 2016	Yes	Iphone 5s, Iphone 5s	Delivered before on time. Nice service. Good product and delivered with care.
54	suji	Mar 21, 2016	Yes	good services	really reliable on snapdeal
55	lallydhi	Mar 21, 2016	Yes	Excellent Product	great feeling to buy this phone
56	MAK	Mar 21, 2016	Yes	IPHONE 5S WITH GOOD CAMERA QUALITY!	BEST EVER PHONE!!
57	P2	Mar 21, 2016	Yes	Goo packing perfect condition	Goo packing perfect condition
58	SHINDE.	Mar 21, 2016	Yes	No Tile Plz.	It is advised you to check your iphone status with below 2 steps. 1.where to find your iOS device's serial number, IMEI/MEID, CDN, and ICCID-          https://support.apple.com/en-in/HT204073 2.enter your serial number, IMEI/MEID, CDN, and ICCID in the link given below & see it's status,warranty&purchase-; https://checkcoverage.apple.com/gb/en/ NOTE:if you find any problem plz use 14 days RETURN POLICY.                                         Technical Problems -as the iphone 5s has metal body it 'll heaten up quickly when we play processor strained action games (like SHADOW FIGHT,ASPHALT 8,CLASH OF TITANS) -iphone has genius sensors like Motion sensor,Ambient Light sensor. They don't work at night so you will feel better with normal phone (8MP+) at night.   Except these two tech problems all other features are BADASS!
59	Guest	Mar 21, 2016	Yes	GoodProduct	I love iTunes....the most !!
60	zaid_skhan	Mar 21, 2016	Yes	Excellent Product	absolutely amazing
61	Amit	Mar 19, 2016	Yes	Owesome Price Range	My iphone came in 1 day .very fast service with the geniune Iphone product good packing. Great music experience with itunes  camera is owesome ....slowmotion rocks..   Thanks snapdeal
62	Sunnet	Mar 19, 2016	Yes	Very Good Product	I do not think I need to say about an iphone. It is a great product.
63	Dan	Mar 19, 2016	Yes	apple Iphone 5s	Great product and most importantly timely delivery provided by snapdeal :)
64	Guest	Mar 19, 2016	Yes	ExcellentProduct	Reliable, reasonable and rapid services. Thanks snap deal for my iPhone.  Thanks for colourful and hottest deal.
65	Viks123	Mar 19, 2016	Yes	Viks123456	Very good experience
