Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Mrinal Mukherjee	Apr 01, 2016	Yes	Seamless !!!	Every apple product is a one stop product , this being no less.I ordered it on 28th March , was delivered on the 31st , hence extremely satisfied with the delivery.Coming to the product , this piece is absolutely fantastic.Awesome display , Awesome Camera and Battery life.The only Con which i felt was that it generally heats up(occasionally) during charging , but then that's common with all the Apple Products. Final Verdict : Hell yes ! Go for it people ! its worth the buck ! Cheers Snapdeal ! Cheers Newgen Partners !
2	SS	Apr 01, 2016	Yes	good iphone, best value	prompt delivery, excellent phone, best price
3	Piyush	Apr 01, 2016	Yes	Nyc phone iPhone 6	Awesome phone
4	sandy	Apr 01, 2016	Yes	good service  from  snapdeal	no need to discribe about iphone
5	Happy	Apr 01, 2016	Yes	Iphone 6 is so cool	The product is awesome.
6	kuldeep	Apr 01, 2016	Yes	Good services	Fast delivery got Next day from order and genuine product
7	skt	Apr 01, 2016	Yes	Superspeed Delivery by Snapdeal	The iPhone is great, nothing to review on it. Snapdeal sent a genuine product within a day, 100% positive.
8	Sandip	Apr 01, 2016	Yes	My iPhone sandy	Product is very good
9	Guest	Apr 01, 2016	Yes	ExcellentProduct	Btr ecprnc but plz improve your packing of box
10	vaneet	Apr 01, 2016	Yes	fast delivery	on time delivery
11	Ravi	Mar 26, 2016	Yes	Wonderful and Amazing!	Got the product in the next day of my order with neat packing in bangalore. Hats off to Snapdeal. We love you so much.  Iphone 6 is very slim and  very stylish. You will feel the difference with other android phones after purchasing. I felt that  :-)
12	Mohit	Mar 26, 2016	Yes	It has less network compatibility	less network compatibility
13	preatykhan	Mar 26, 2016	Yes	Good Product	selfie iPhone 6
14	Ayush	Mar 26, 2016	Yes	Iphone 6 silver Very good	Thnks SD for providing me a genuine product.
15	Genuine product	Mar 26, 2016	Yes	Snapdeal higly recommended	Excellent service
16	samik	Mar 26, 2016	Yes	received within 2 days	ordered at late evening and delivered within 2 days! great service. thank you snapped
17	Suraj Kumar	Mar 26, 2016	Yes	Great Phone in budget..	this is the my first iphone and my experience in good and if i am taking about its delivery too awesome snapdeal deliver this product within two days cool nnnn..
18	varun	Mar 26, 2016	Yes	Amazing phone	Overall a great phone. The battery last a significant amount of time longer than the 5s. This phone runs very fast, it has amazing processing capability, and is perfect for anyone looking for an upgrade. The speakers work great and the phone recharges quickly. The phone contains everything one might want, I recommend this completely for anyone searching for a new phone.
19	Zul	Mar 26, 2016	Yes	Good product and on time	All as described
20	Avinav Kapur	Mar 26, 2016	Yes	iPhone 6 (16GB)	Good Phone, Good Price, Good Service by snap deal,
