Review No.	Reviewer Name	Date	Verified Buyer	Title	Review
1	Guest	Mar 17, 2016	Yes	ExcellentProduct	Buying this phone was one of my best decisions. Premium feel, fast performance, terrific camera and what not. Well, the name is enough for you to know that you're not going to waste your money if you buy it. I highly recommend it. I've been using it for almost 10 months and I don't have any issues whatsoever.
2	Guest	Mar 17, 2016	Yes	ExcellentProduct	No other thing better than #Snapdeal  Love the Product Love the Delivery Love the Entire Buying Process #DilKiDeal 😘
3	Guest	Mar 17, 2016	Yes	nice phone	Liked it very much 😊
4	VISHAL PATEL	Mar 17, 2016	Yes	Great Offer from Snapdeal.	I'm used iphone since 2007, no one can beat apple and apple item, I have 5 iphone for my family member. ipad and imac too.  Love Love And Love only for Apple and Snapdeal.
5	i phone	Mar 17, 2016	Yes	i phone 6 plus	excellent experience with snapdeal
6	nick	Mar 17, 2016	Yes	reliability	to be very honest i must say that snapdeal  is the only e-commerce site which is the most reliable and genuine site where you will be able to access some of the most genuine and  original product! i bought iphone 6 plus on 8th of november and i recieved the product within 5 days, so its pretty fast delivery in terms of my residence! thank  you snapdeal for you service i wish all the best to the management for even a better success!
7	Sandeeshah	Mar 17, 2016	Yes	Trustful  online brand	Committed on time delivery an trust worthy online site really once we purchase from here we are not at all in tense regarding the product security an money both in fact the delivery is also on time an customer care is supporting a lot keep it up
8	Satzzzz	Mar 17, 2016	Yes	Got the phone at right time and right price	What an awesome quick delivery made by snapdeal and at promised price it way too cute, above all it is well packed and good condition.
9	SAJI	Mar 17, 2016	Yes	I phone 6plus prestigious phone	Snapdeal is the best choice to buy all electronic products and all other product with original branded items with ultimate safety
10	Monesh Dalal	Mar 17, 2016	Yes	Awesome Experience- Delivery before committed timeline	Best experience had with snap deal, promt response and great deal. None of the online portal can beat this price. Wonderful and extremely satisfied with overal service. Thanks team Snapdeal. Would like to continue with purchase on ongoing unbelievable deals.
11	Aman Nagpal	Nov 21, 2015	Yes	Great phone with Commitment from Snapdeal and Seller	I am really thankful to seller and snapdeal providing me a beautiful product at great price value . I would like to tell you others as apple centre is claiming that after purchasing on web you will not be getting warranty that is wrong they are misleading us to buy from from there showroom .Buying from Snapdeal my iPhone 6 plus gold is having a valid warranty and Valid purchase invoice .  Thanks a ton snapdeal and cheers to your team for efficent delivery .
12	Pratyaksh	Nov 21, 2015	Yes	Amazing product.... Fast delivery	I ordered this phone during the festive season in November (Diwali) and to my surprise I got the product within 3 days(tier 2 city). Thanks to Snapdeal :D  - The packing was good and the product is genuine. The price is easily 5-6 k less than what retail stores are offering. The phone is slim and easy to hold.   - Nice camera quality and cool display. I've used Android phones ranging from Samsung Note to Asus Zenfone 2 but iOS is a different experience altogether.   - The phone comes with iOS 8 and you'll have to update it to iOS 9 yourself.  - Battery life is mind boggling specially if you are an Android user. I am a heavy gamer yet I easily have 30-40 percent battery when I go to sleep.  - Overall it's a great phone to buy and full marks to Snapdeal for the excellent packing and amazingly quick delivery.
13	Aditya Vats	Nov 21, 2015	Yes	Very good in its delivery, phn is also good.	Very good in its delivery, phn is also good, nd seller is best in its class.
14	Jeet	Nov 21, 2015	Yes	iPhone 6 Plus awesome one	Battery too awesome.....................
15	Harish	Nov 21, 2015	Yes	Nice change from android	Got one in original sealed pack from seller though the pack could have been shock proofed better in the outer cardboard. Fast delivery in two days was surprising.  Have been using from two weeks and am happy with it. Recent upgrade to ios 9.1 has been surprisingly great with no bugs or issues as of know. Will list all the pros and cons I felt compared to my android.  Pro s  lag free os  Pretty thin for people who dislike bulky phones.  Camera low light performance is awesome specially if the in phone camera editing app is used.  Some of the Apps from app store really great very intuitive, though not free.  Some of the great functions of android now in ios 9.1  The best battery life I ever experienced. light to moderate use 7 to 8 hrs screen on time.  Speaker quality is satisfactory.  All the google services can be used and is a hassle free transition from android.       Cons  Customizability still android is better. Gets boring sometimes looking at the home screen.  Pretty slippery.  Bezels are big.  Have to get used to not having a back key.  Screen resolution is 1080 p only but good lcd panel.   So overall take an iPhone if you want a change from android but some earlier reasons for change like premium design and materials used might not be relevant now as there are equally great premium designs coming out in android scene.
16	Aayushi	Nov 21, 2015	Yes	iPhone 6 plus	Good product. Good service by snap deal from order to  Delivery. Happy with service
17	chiru	Nov 21, 2015	Yes	I phone 6plus	I like this phone very much I phone 6plus is extra ordinary with special features and special settings....
18	Parikshit	Nov 21, 2015	Yes	Perfect	1.Good packaging 2.Delivery in 72 hours 3.Perfect Phone iPhone 6 plus
19	Koboo	Nov 21, 2015	Yes	Apple i phone 6 +	Looks are good, ease of handling 5.5 display makes it convenient to use
20	Shubham	Nov 21, 2015	Yes	Perfect	As compare to other ,this phone outstanding  thanks to snapdeal who give me this in gud price ..
21	aarushi	Oct 18, 2015	Yes	yippie yay !!	I loved the product... smooth sassy classy beautiful.. elegant... worth it... beyond comparison... I've been an android user for more than five years.... but never felt so comfortable with my device... shout out to apple ;)
22	Jayesh	Oct 18, 2015	Yes	Superb	Got the og product not 2 worry only problem with delivery was little bit late
23	katrix	Oct 18, 2015	Yes	Awesome!!!	Genuine Product. Fast Shipping. Awesome Offer!!!
24	harsh	Oct 18, 2015	Yes	Apple i phone 6plus	Gr8 convienience to shop with gr8 discounts by snapdeal.thanks
25	Sumanta	Oct 18, 2015	Yes	Iphone 6 plus	Quick delivery. Original product. Delivered within 2-3 days.
26	Ddr3 ram	Oct 18, 2015	Yes	Good job snapdeal	It's  just awesome.... Phone Iphone is an  iphone
27	ChaituSvsk	Oct 18, 2015	Yes	Awesome delivery.. Awesome Product..	Got the product within 24 hours. Delivery is Awesome. Thank you Snapdeal for the fast delivery. No need to say about the product. Everything is awesome..  Simply loved it..
28	Abhii	Oct 18, 2015	Yes	Excellent phone with excellent feature	I am very much happy with the quick response and best cost of snapdeal. Really amazing.
29	Iphone6 plus	Oct 18, 2015	Yes	Very good	Really happy with the product and seller
30	K Roy	Oct 18, 2015	Yes	Flawless smartphone by Apple	Apple delivers as it says. I purchased the phone a week back. Its touch sensitivity is hyper smooth, just like running your finger across water. Its camera is awesome. Sound quality is superb. I have been using 7 mobiles which are of Nokia, Samsung and Asus. But this is something which I am going to love for a long long time. Worth every penny which rolled out of your pockets.
31	rakesh	Sep 26, 2015	Yes	rakesh sarkar	Good product with good sevice also good delievery
32	DK	Sep 26, 2015	Yes	Great	Great product and delivery is too fast. Its really nice experience.
33	karan	Sep 26, 2015	Yes	Nice product	Smooth touch, functions and other applications.
34	Guest	Sep 26, 2015	Yes	Amazing product	Satisfied with the product fully , no technical problem as well as  original product.
35	Pri	Sep 26, 2015	Yes	Regarding service , quality packing and handling and the main thing delivering the product at time	Keep going u guys realy doing a good job
36	RIDHIMA	Sep 26, 2015	Yes	Superb	Iphone which I got is having wow look.when I opened it was looking like a new born baby.Really amazed to use this phone.
